
[00:00:00.000 --> 00:00:03.620]  二零二五年的御府祈靈修四十天
[00:00:03.620 --> 00:00:07.000]  我的時間關係有些跳了
[00:00:07.000 --> 00:00:09.440]  今天來到第四十堂
[00:00:09.440 --> 00:00:11.100]  第四十天
[00:00:11.100 --> 00:00:14.100]  題目「我主我神」
[00:00:14.100 --> 00:00:15.600]  主耶穌復活的第三
[00:00:15.600 --> 00:00:18.700]  「睡了之人 初熟的果子」
[00:00:18.700 --> 00:00:21.520]  今次講的經文是
[00:00:21.520 --> 00:00:26.220]  保羅的《哥林多前書》
[00:00:26.220 --> 00:00:27.760]  讓我們先禱告
[00:00:29.760 --> 00:00:30.760]  讚美耶穌
[00:00:30.760 --> 00:00:35.360]  祢自己是我們睡了之人初熟的果子
[00:00:35.360 --> 00:00:36.660]  讚美上主
[00:00:36.660 --> 00:00:39.760]  祢命定了整個救贖計劃
[00:00:39.760 --> 00:00:41.260]  祢命定了復活
[00:00:41.260 --> 00:00:43.760]  以死勝過死亡
[00:00:43.760 --> 00:00:45.760]  以死亡復活
[00:00:45.760 --> 00:00:49.760]  去勝過人類最大的困境
[00:00:49.760 --> 00:00:52.760]  記得當天亞當夏娃犯罪
[00:00:52.760 --> 00:00:55.260]  吃了這個分別是惡說的果子
[00:00:55.260 --> 00:00:57.260]  結果是死
[00:00:57.260 --> 00:00:58.760]  和祢隔絕
[00:00:58.760 --> 00:01:00.760]  是祢自己救贖
[00:01:00.760 --> 00:01:02.760]  付出代價
[00:01:02.760 --> 00:01:04.760]  於是我們有新的生命
[00:01:04.760 --> 00:01:06.760]  得著永生
[00:01:06.760 --> 00:01:07.760]  讚美上主
[00:01:07.760 --> 00:01:09.760]  多謝祢的救贖
[00:01:09.760 --> 00:01:13.760]  主祢是睡了之人初熟的果子
[00:01:13.760 --> 00:01:15.760]  耶穌基督就是這個初熟果子
[00:01:15.760 --> 00:01:17.760]  我們將熟果子
[00:01:17.760 --> 00:01:18.760]  會一樣的
[00:01:18.760 --> 00:01:22.760]  同樣有復活的身體與生命
[00:01:22.760 --> 00:01:23.760]  讚美祢
[00:01:23.760 --> 00:01:26.760]  多謝祢為我們勝過死亡復活
[00:01:26.760 --> 00:01:28.760]  願祢得著榮耀稱讚
[00:01:28.760 --> 00:01:30.760]  國度權柄榮耀
[00:01:30.760 --> 00:01:31.760]  全是祢的
[00:01:31.760 --> 00:01:32.760]  直到永遠
[00:01:32.760 --> 00:01:34.760]  阿門
[00:01:34.760 --> 00:01:36.760]  讚美上主
[00:01:36.760 --> 00:01:38.760]  很重要的經文
[00:01:38.760 --> 00:01:40.760]  哥林多前書十五章
[00:01:40.760 --> 00:01:43.760]  每一年復活節都要講的
[00:01:43.760 --> 00:01:45.760]  哥林多前書十五章
[00:01:45.760 --> 00:01:48.760]  非常重要的一章聖經
[00:01:48.760 --> 00:01:49.760]  第十七字就說
[00:01:49.760 --> 00:01:52.760]  基督若沒有復活
[00:01:52.760 --> 00:01:56.760]  你們的信便是徒然
[00:01:56.760 --> 00:01:59.760]  你們仍在罪裡
[00:01:59.760 --> 00:02:01.760]  就是在基督裡
[00:02:01.760 --> 00:02:04.760]  睡了的人也滅亡了
[00:02:04.760 --> 00:02:05.760]  我們若靠基督
[00:02:05.760 --> 00:02:08.760]  只在今生有子亡
[00:02:08.760 --> 00:02:11.760]  就算比眾人更可憐
[00:02:11.760 --> 00:02:13.760]  基督裡睡了的人
[00:02:13.760 --> 00:02:16.760]  如果沒有復活也滅亡
[00:02:16.760 --> 00:02:18.760]  做基督徒只是在今生有子亡
[00:02:18.760 --> 00:02:21.760]  比別人好少少
[00:02:21.760 --> 00:02:23.760]  罪裡的快樂都放下了
[00:02:23.760 --> 00:02:26.760]  就算比眾人更可憐
[00:02:26.760 --> 00:02:29.760]  這些又大又螢光的字
[00:02:29.760 --> 00:02:33.760]  但基督已經從死裡復活
[00:02:33.760 --> 00:02:35.760]  成為睡了之人
[00:02:35.760 --> 00:02:37.760]  初熟的果子
[00:02:37.760 --> 00:02:39.760]  但阿拉這個希臘字
[00:02:39.760 --> 00:02:44.760]  是表示著和前面有所不同
[00:02:44.760 --> 00:02:47.760]  你很帥
[00:02:47.760 --> 00:02:51.760]  但是其實不是
[00:02:51.760 --> 00:02:56.760]  但阿拉這個希臘字很重要
[00:02:56.760 --> 00:02:59.760]  基督是已經過去式
[00:02:59.760 --> 00:03:01.760]  過去式
[00:03:01.760 --> 00:03:05.760]  已經復活了
[00:03:05.760 --> 00:03:10.760]  聖經多次將死亡叫做睡了
[00:03:10.760 --> 00:03:13.760]  弟子們昨晚有睡嗎?
[00:03:13.760 --> 00:03:15.760]  有,睡了,臨睡怕不怕?
[00:03:15.760 --> 00:03:17.760]  怕睡不著
[00:03:17.760 --> 00:03:19.760]  睡著不怕
[00:03:19.760 --> 00:03:21.760]  好累,死了
[00:03:21.760 --> 00:03:23.760]  睡了
[00:03:23.760 --> 00:03:25.760]  睡了,不知幾舒服
[00:03:25.760 --> 00:03:27.760]  因為我知道明天會醒
[00:03:27.760 --> 00:03:29.760]  睡了之人
[00:03:29.760 --> 00:03:31.760]  初熟的果子
[00:03:31.760 --> 00:03:33.760]  初熟的果子有兩個意思
[00:03:33.760 --> 00:03:35.760]  一個
