
[00:00:00.000 --> 00:00:01.640]  在剛才木討的時候
[00:00:01.640 --> 00:00:07.740]  我們請弟兄姊妹起立向長者致敬
[00:00:07.740 --> 00:00:09.660]  我就想問一下弟兄姊妹
[00:00:09.660 --> 00:00:13.640]  你哪一個在你家裡有長者跟你一起住的?
[00:00:13.640 --> 00:00:14.800]  可以握握手
[00:00:14.800 --> 00:00:16.600]  也有很多
[00:00:16.600 --> 00:00:18.540]  那麼跟長者一起住
[00:00:18.540 --> 00:00:21.400]  你有沒有留意一些地方要注意的地方?
[00:00:21.400 --> 00:00:23.560]  我想到
[00:00:23.560 --> 00:00:25.080]  這個有太太經常跟我說的
[00:00:25.080 --> 00:00:27.740]  我就不是很留意到
[00:00:27.740 --> 00:00:29.140]  其實應該要留意到的
[00:00:29.140 --> 00:00:31.800]  就是究竟煮飯的時候
[00:00:31.800 --> 00:00:33.720]  你要留意吃些什麼
[00:00:33.720 --> 00:00:35.540]  因為如果你一家大小
[00:00:35.540 --> 00:00:37.520]  你去煮飯
[00:00:37.520 --> 00:00:41.080]  可能小朋友喜歡吃某些開胃的食物
[00:00:41.080 --> 00:00:42.600]  可能喜歡某些食物
[00:00:42.600 --> 00:00:44.160]  你又喜歡吃某些東西
[00:00:44.160 --> 00:00:47.100]  但是長者可能就要留意了
[00:00:47.100 --> 00:00:49.220]  因為他身體的情況
[00:00:49.220 --> 00:00:51.940]  可能有些是有些疾病
[00:00:51.940 --> 00:00:54.960]  你可能就要去戒口
[00:00:54.960 --> 00:00:57.880]  有些可能不能夠太硬
[00:00:57.880 --> 00:00:59.260]  看看是什麼食物
[00:00:59.260 --> 00:01:02.120]  你不可以每餐都給豆腐他吃的
[00:01:02.120 --> 00:01:04.080]  可能又不夠營養
[00:01:04.080 --> 00:01:06.400]  所以你就要想很多的心思
[00:01:06.400 --> 00:01:07.300]  哪些是有營養
[00:01:07.300 --> 00:01:08.760]  但是又容易入口
[00:01:08.760 --> 00:01:11.500]  又不會讓他沒有口渴
[00:01:11.500 --> 00:01:14.880]  所以這個也是跟長者生活裡面
[00:01:14.880 --> 00:01:16.640]  我們都會有一些的心思
[00:01:16.640 --> 00:01:18.100]  為什麼我會說這件事情呢?
[00:01:18.100 --> 00:01:19.960]  不是因為我想著會煮飯
[00:01:19.960 --> 00:01:22.440]  因為一直在思考思想
[00:01:22.440 --> 00:01:23.640]  今天是敬老禮拜
[00:01:23.640 --> 00:01:24.940]  這個禮拜其實
[00:01:25.940 --> 00:01:28.820]  站立在台上裡面作為講員
[00:01:28.820 --> 00:01:32.700]  我們都好像是去將一些的糧食去分配
[00:01:32.700 --> 00:01:34.940]  想一想在講道裡面
[00:01:34.940 --> 00:01:37.040]  今天是一個敬老禮拜
[00:01:37.040 --> 00:01:39.040]  我們要跟長者講
[00:01:39.040 --> 00:01:41.180]  又要跟我們這些年輕人講
[00:01:41.180 --> 00:01:43.260]  究竟裡面的內容
[00:01:43.260 --> 00:01:45.640]  怎樣去合適大家的口味呢?
[00:01:45.640 --> 00:01:51.580]  或者適合大家在宿靈裡面的胃口呢?
[00:01:51.580 --> 00:01:53.320]  所以今天就用了
[00:01:53.320 --> 00:01:57.260]  《約翰福音》第十九章二十五到二十七節
[00:01:57.260 --> 00:01:58.540]  你看看我題目的
[00:01:58.540 --> 00:02:00.660]  看你的母親看你的兒子
