
[00:00:00.000 --> 00:00:04.720]  今天繼續講到的題目叫做「帶來合一奮進的議會」
[00:00:04.720 --> 00:00:07.320]  其實《使徒行傳》是充滿著很多危機
[00:00:07.320 --> 00:00:09.920]  很多困難的記載
[00:00:09.920 --> 00:00:12.160]  如果大家有用心去讀《使徒行傳》
[00:00:12.160 --> 00:00:14.680]  或者之前有聽的話都是這樣
[00:00:14.680 --> 00:00:19.000]  很多的危機 因為突然間很多人信主
[00:00:19.000 --> 00:00:23.360]  一方面是帶來很多人與人之間不同的意見
[00:00:23.360 --> 00:00:26.360]  也都在舊的猶太教裏面
[00:00:26.360 --> 00:00:29.640]  轉入一個新的基督信仰裏面
[00:00:29.640 --> 00:00:31.640]  亦都是一個過渡的期間
[00:00:31.640 --> 00:00:34.280]  有些信了主的猶太人
[00:00:34.280 --> 00:00:37.640]  在新的教會裏面都出現了一些問題
[00:00:37.640 --> 00:00:38.920]  製造了一些問題
[00:00:38.920 --> 00:00:42.520]  當然有些人的問題更加的深奧
[00:00:42.520 --> 00:00:45.720]  譬如阿娜尼亞·撒菲拉對錢的問題
[00:00:45.720 --> 00:00:47.640]  她都是信徒 原本是信徒
[00:00:47.640 --> 00:00:49.960]  我們不知道跟著她是怎樣
[00:00:49.960 --> 00:00:52.840]  似乎可能她不是真的信徒
[00:00:52.840 --> 00:00:54.840]  所以貪錢很厲害
[00:00:54.840 --> 00:00:58.040]  或者在處理飯食的上面
[00:00:58.040 --> 00:01:00.920]  不同人怎樣對待甚麼人都有危機
[00:01:00.920 --> 00:01:04.440]  來到第十五章有一個很大的危機
[00:01:04.440 --> 00:01:07.240]  我不知道大家做了基督徒之後
[00:01:07.240 --> 00:01:08.840]  開會開過多少次
[00:01:08.840 --> 00:01:10.840]  我想數不盡這麼多次
[00:01:10.840 --> 00:01:13.400]  一百次 我想不止
[00:01:13.400 --> 00:01:15.880]  很多很多的會議
[00:01:15.880 --> 00:01:17.880]  很多很多的會議 但我想問
[00:01:17.880 --> 00:01:21.240]  有多少次會議你們很滿意地離開
[00:01:21.240 --> 00:01:24.280]  有多少次會議你覺得是帶來一個很奮進
[00:01:24.280 --> 00:01:27.960]  很能夠讓神的國度繼續前進的會議呢
[00:01:27.960 --> 00:01:30.520]  在歷史上有很多重要的會議
[00:01:30.520 --> 00:01:33.640]  其中有兩個叫尼西亞或加克頓會議
[00:01:33.640 --> 00:01:38.840]  是主後325-415年兩個神學的會議
[00:01:38.840 --> 00:01:40.520]  決定神人異性
[00:01:40.520 --> 00:01:44.600]  決定了我們信仰的主要內容是甚麼 不是甚麼
[00:01:44.600 --> 00:01:46.600]  所以這些會議都很重要
[00:01:46.600 --> 00:01:49.240]  但是《使徒行傳》第十五章
[00:01:49.240 --> 00:01:51.240]  這個耶路撒冷會議
[00:01:51.240 --> 00:01:54.120]  也是一個極為重要的會議
[00:01:54.120 --> 00:01:57.000]  或者說 志成你為甚麼說這個會議呢
[00:01:57.000 --> 00:01:59.000]  《使徒行傳》不是有很多興奮的神蹟
[00:01:59.000 --> 00:02:03.080]  騎士 很多聖靈很特別的工作嗎
[00:02:03.080 --> 00:02:05.640]  頂姐妹你不要誤會
[00:02:05.640 --> 00:02:08.600]  其實這個會議也是聖靈很大的工作
[00:02:08.600 --> 00:02:14.760]  這個會議是帶來你和我都大受影響的一個議會的結果
[00:02:14.760 --> 00:02:16.760]  如果這個會議開得不成功
[00:02:16.760 --> 00:02:20.040]  這個議會所做的決定不是這麼正確的話
[00:02:20.040 --> 00:02:22.040]  你和我都大受牽連
[00:02:23.640 --> 00:02:29.720]  當我要說這個議會的時候 或者我提出一些的理解
[00:02:29.720 --> 00:02:34.280]  有人說教會不合一的問題有六個的大問題
[00:02:34.280 --> 00:02:39.320]  第一個問題是領袖出現了衝突
[00:02:39.320 --> 00:02:42.600]  這個很明顯 或者待會都會略略提到
[00:02:42.600 --> 00:02:47.000]  人與人之間意見上的不一致
[00:02:47.000 --> 00:02:51.080]  或者大家在很不同的地方有爭論 甚至有分開
[00:02:51.080 --> 00:02:54.440]  第二個問題是屬靈的供應不足
[00:02:54.440 --> 00:02:58.200]  當大家去到教會不同的地方聚集的時候
[00:02:58.200 --> 00:03:00.200]  其實屬靈的供應都是很重要的
[00:03:00.200 --> 00:03:01.640]  有些人是不滿足的
[00:03:01.640 --> 00:03:05.880]  我二十多年前開節目會的時候有個弟兄到現在都不太滿足
[00:03:05.880 --> 00:03:07.880]  他去到教會都很睏
[00:03:07.880 --> 00:03:09.880]  去到教會聽到講道的時候
[00:03:09.880 --> 00:03:12.360]  他都是躲進去看小孩以前的時候
[00:03:12.360 --> 00:03:15.400]  他除了我講道 其他人都躲進去裡面
[00:03:15.400 --> 00:03:16.520]  在那裏打瞌睡
[00:03:16.520 --> 00:03:19.880]  他聽不到別人講道 因為屬靈的供應不足
[00:03:19.880 --> 00:03:22.760]  第三是神學禮儀的一種爭論
[00:03:22.760 --> 00:03:26.440]  所以今天都是神學或者禮儀上的爭論
[00:03:26.440 --> 00:03:28.440]  究竟這個禮儀應該怎樣進行
[00:03:28.440 --> 00:03:30.040]  這個神學是怎樣思想
[00:03:30.040 --> 00:03:33.240]  我們講的都是屬靈的字眼 都是屬靈的概念
[00:03:33.240 --> 00:03:36.440]  其實是不是這麼合乎聖經的呢
[00:03:36.440 --> 00:03:38.440]  有人是這樣看 有人是這樣看
[00:03:38.440 --> 00:03:40.440]  有些人很不大的看法
[00:03:40.440 --> 00:03:42.440]  結果出現爭論
[00:03:42.440 --> 00:03:45.400]  第四是不同階層的一種失調
[00:03:45.400 --> 00:03:47.400]  貧與富 男與女
[00:03:47.400 --> 00:03:49.000]  領袖和平信徒
[00:03:49.000 --> 00:03:51.800]  資深的和晚輩的關係是怎樣
[00:03:51.800 --> 00:03:54.440]  在社會的階層是怎樣處理
[00:03:54.440 --> 00:03:57.800]  雅各書處理貧窮或者是富足的人
