
[00:00:00.000 --> 00:00:05.560]  有位傳道人叫做Kevin Huggins
[00:00:05.560 --> 00:00:08.600]  Kevin Huggins在他年輕的時候
[00:00:08.600 --> 00:00:10.840]  他有個經歷很值得我們思想
[00:00:10.840 --> 00:00:13.600]  他說在年輕的時候
[00:00:13.600 --> 00:00:16.680]  因為父母親經常要去不同的地方
[00:00:16.680 --> 00:00:18.560]  一個州去到另一個州
[00:00:18.560 --> 00:00:21.240]  所以他就跟著父母
[00:00:21.240 --> 00:00:24.720]  一直這樣去不同的地方
[00:00:24.720 --> 00:00:27.720]  去到新的地方又要一個新的環境適應
[00:00:27.720 --> 00:00:31.920]  又有個新的學校 有些新的朋輩
[00:00:31.920 --> 00:00:37.000]  他有時候想想自己好像沒甚麼人認識
[00:00:37.000 --> 00:00:39.760]  自己又不是讀書很厲害
[00:00:39.760 --> 00:00:42.360]  做些運動又不是很出色
[00:00:42.360 --> 00:00:46.040]  沒甚麼人覺得他這個人值得有甚麼去看他一眼
[00:00:46.040 --> 00:00:48.760]  就是看他不上眼 一個很普通的人
[00:00:48.760 --> 00:00:52.120]  就覺得感覺到很孤單
[00:00:52.120 --> 00:00:55.920]  慢慢就覺得這班這樣的人
[00:00:55.920 --> 00:00:58.880]  我都沒甚麼人去關心我
[00:00:58.880 --> 00:01:01.320]  不單止有種酸溜溜的感覺
[00:01:01.320 --> 00:01:02.440]  還有一點憤怒
[00:01:02.440 --> 00:01:06.040]  那些人為甚麼這麼冷酷呢
[00:01:06.040 --> 00:01:08.080]  為甚麼一點愛心都沒有呢
[00:01:08.080 --> 00:01:10.000]  沒有人理我
[00:01:10.000 --> 00:01:11.880]  後來他就想起一件事
[00:01:11.880 --> 00:01:16.440]  我就可以是 如果我叻些 有能力些
[00:01:16.440 --> 00:01:18.920]  其他人就看得起我
[00:01:18.920 --> 00:01:25.440]  或者是給我多些的認受 認同 接納 愛
[00:01:25.440 --> 00:01:28.080]  於是他在初中的時候
[00:01:28.080 --> 00:01:33.600]  就是做這個請櫃 能夠幫到人
[00:01:33.600 --> 00:01:37.080]  人家覺得你很威風
[00:01:37.080 --> 00:01:38.560]  就拿了一個請櫃牌
[00:01:38.560 --> 00:01:45.640]  跟著在YMCA那個地方做一個救生員
[00:01:45.640 --> 00:01:47.480]  結果真的很成功
[00:01:47.480 --> 00:01:55.280]  他在那裡因為有同學在游泳池做一些工作
[00:01:55.280 --> 00:01:59.200]  他就做了一個救生員
[00:01:59.200 --> 00:02:03.960]  又教人游泳 水上活動等等
[00:02:03.960 --> 00:02:06.680]  很多人都覺得他做得很出色
[00:02:06.680 --> 00:02:16.120]  甚至管理員就給他做救生員的隊長
[00:02:16.120 --> 00:02:17.640]  他就覺得很多人找他
[00:02:17.640 --> 00:02:20.360]  喂 喂 Kevin 你幫幫我
[00:02:20.360 --> 00:02:24.960]  他就覺得很有價值 很有滿足
[00:02:24.960 --> 00:02:28.080]  但是一去到高中的時候
[00:02:28.080 --> 00:02:30.760]  轉了一個負責人
[00:02:30.760 --> 00:02:33.440]  這個負責人就非常之嚴厲的
[00:02:33.440 --> 00:02:36.760]  那個場地要有很多的規例 很嚴格
[00:02:36.760 --> 00:02:39.880]  這個Kevin就閉家火了
[00:02:39.880 --> 00:02:41.600]  我就他的得力助手
[00:02:41.600 --> 00:02:43.480]  我就要很嚴厲的對人
[00:02:43.480 --> 00:02:46.960]  但是就肯定是討人 黑人憎的這樣做法
[00:02:46.960 --> 00:02:50.080]  於是他一本本 聽些不聽些
[00:02:50.080 --> 00:02:54.440]  就順一下這個轉管的方式
[00:02:54.440 --> 00:02:56.600]  但是又不遵循
[00:02:56.600 --> 00:02:58.360]  結果怎樣?
[00:02:58.360 --> 00:02:59.400]  兩邊都不討好
[00:02:59.400 --> 00:03:01.440]  那個主管就說
[00:03:01.440 --> 00:03:04.440]  你真是沒用 你看我叫你做這些
[00:03:04.440 --> 00:03:07.600]  那些人就另外一些的
[00:03:07.600 --> 00:03:09.520]  一起打游泳池的那些
[00:03:09.520 --> 00:03:13.800]  又覺得你這麼多事 又這樣那樣
[00:03:13.800 --> 00:03:15.400]  結果就兩樣做人難
[00:03:15.400 --> 00:03:17.920]  兩面都做人難
[00:03:17.920 --> 00:03:19.760]  結果他就辭職不做了
[00:03:19.760 --> 00:03:23.440]  因為我這個份工太不討人喜歡了
[00:03:23.440 --> 00:03:27.760]  在這個時候父母又要去另外一個地方工作
[00:03:27.760 --> 00:03:30.680]  剩下他一個人在校園裡面
[00:03:30.680 --> 00:03:32.120]  份工又沒了
[00:03:32.120 --> 00:03:34.000]  覺得人生是怎樣的呢?
[00:03:34.000 --> 00:03:36.560]  為甚麼我找不到我的認同
[00:03:36.560 --> 00:03:39.720]  我找不到別人去真的關懷我呢?
[00:03:39.720 --> 00:03:42.000]  後來在這個YMCA這個地方
[00:03:42.000 --> 00:03:44.400]  有一個基督徒就
[00:03:44.400 --> 00:03:47.760]  將主耶穌介紹給他認識
[00:03:47.760 --> 00:03:50.080]  他就想到在主裡面
[00:03:50.080 --> 00:03:52.960]  他生命有一個新的轉機
[00:03:52.960 --> 00:03:55.640]  原來在主裡面他找到愛
[00:03:55.640 --> 00:03:58.160]  當然不是這樣就解決的
[00:03:58.160 --> 00:04:01.200]  Kevin就是很多時候都是想
[00:04:01.200 --> 00:04:03.880]  啊 我有了神的愛了
[00:04:03.880 --> 00:04:06.240]  但是仍然沒有自己的肯定
[00:04:06.240 --> 00:04:09.360]  做了一個傳道人仍然是拼命的 做到最好
[00:04:09.360 --> 00:04:14.200]  因為我要最成功的一個青年的牧者
[00:04:14.200 --> 00:04:16.200]  但是都是走錯了方向
[00:04:16.200 --> 00:04:18.400]  後來拼命工作 拼命工作
[00:04:18.400 --> 00:04:20.000]  哇 為主嘛 是嗎?
[00:04:20.000 --> 00:04:23.320]  其實他只不過將世俗這樣的追尋
[00:04:23.320 --> 00:04:26.640]  放在教會裡面 好像很屬靈
[00:04:26.640 --> 00:04:28.440]  但是沒有改變
[00:04:28.440 --> 00:04:32.480]  對太太疏忽 對女兒又疏忽
[00:04:32.480 --> 00:04:34.680]  對太太就覺得
[00:04:34.680 --> 00:04:36.000]  哇 做甚麼? Kevin
[00:04:36.000 --> 00:04:39.640]  就是究竟你人生是走甚麼方向
[00:04:39.640 --> 00:04:40.920]  人就是這樣 是嗎?
[00:04:40.920 --> 00:04:43.120]  我們追追追追一些成功
[00:04:43.120 --> 00:04:47.040]  我們希望找到我們被愛 被接納
[00:04:47.040 --> 00:04:49.600]  找到自己的價值
[00:04:49.600 --> 00:04:52.760]  但是事實上 唯有在神裡面
[00:04:52.760 --> 00:04:56.080]  那個愛才能夠真正滿足我們
[00:04:56.080 --> 00:04:58.320]  反正我們都在追追尋尋
[00:04:58.320 --> 00:05:00.720]  但是今天這個經文就給我們看到
[00:05:00.720 --> 00:05:03.920]  一個很重要的一個人有真正的價值觀念
[00:05:03.920 --> 00:05:08.600]  真正的人生一個正確的追求的目標方向
[00:05:08.600 --> 00:05:11.200]  你才是一個光彩的人生
[00:05:11.200 --> 00:05:12.600]  不只這樣
[00:05:12.600 --> 00:05:14.600]  不單你一個生命
[00:05:14.600 --> 00:05:17.320]  你下一代 二女
[00:05:17.320 --> 00:05:18.920]  都是跟著你這個板子
[00:05:18.920 --> 00:05:22.680]  如果你不是正路的上高
[00:05:22.680 --> 00:05:24.600]  你跟著那些兒女
[00:05:24.600 --> 00:05:26.440]  或者我們屬靈的兒女
[00:05:26.440 --> 00:05:27.760]  都是走了樣子
[00:05:27.760 --> 00:05:29.960]  教會可能只是成為一個
[00:05:29.960 --> 00:05:33.360]  仍然是追求一個自我肯定的地方
[00:05:33.360 --> 00:05:35.520]  而不是滿有接納的地方
[00:05:35.520 --> 00:05:38.720]  用養神的生命在我們裡面去彰顯
[00:05:38.720 --> 00:05:41.280]  這個是非常重要的一個學習
[00:05:41.280 --> 00:05:44.360]  你走的方向又怎樣呢?
[00:05:44.360 --> 00:05:46.400]  或者我們看看這段經文
[00:05:46.400 --> 00:05:49.760]  聖經裡面說 真的是在兩個方向
[00:05:49.760 --> 00:05:51.000]  一個世俗
[00:05:51.000 --> 00:05:54.880]  你要找自己的成功 價值的地方
[00:05:54.880 --> 00:05:57.360]  世人很簡單的
[00:05:57.360 --> 00:06:01.160]  錢財 名譽 這些事情
[00:06:01.160 --> 00:06:03.040]  但另一個方向就是說
[00:06:03.040 --> 00:06:05.320]  神給你的生命 這個道路
[00:06:05.320 --> 00:06:07.800]  這個道路是有生命滿有榮耀
[00:06:07.800 --> 00:06:10.200]  甚至滿有財富的
[00:06:10.200 --> 00:06:12.080]  你是僅僅畢業的財富
[00:06:12.080 --> 00:06:13.200]  是世人的財富
[00:06:13.200 --> 00:06:15.800]  還是神那種的財富呢?
[00:06:15.800 --> 00:06:18.040]  這段經文很值得我們去想想
[00:06:18.040 --> 00:06:20.880]  或者首先我們想想一個正確的價值觀
[00:06:20.880 --> 00:06:23.640]  究竟人生什麼是最重要呢?
[00:06:23.640 --> 00:06:26.080]  在第一節到第四節
[00:06:26.080 --> 00:06:27.480]  這段經文讓我們去看看
[00:06:27.480 --> 00:06:30.800]  一個教訓我們的生命的人生
[00:06:30.800 --> 00:06:31.600]  第一節說
[00:06:31.600 --> 00:06:36.960]  「美名勝過大財 雲因強如金銀」
[00:06:36.960 --> 00:06:39.240]  一個很強的對比
[00:06:39.240 --> 00:06:41.080]  大財 金銀
[00:06:41.080 --> 00:06:44.080]  這個世界很多人都很想有的 是不是?
[00:06:44.080 --> 00:06:48.040]  你有了錢 自然可以舒適的生活
[00:06:48.040 --> 00:06:51.400]  人家可能覺得你很行
[00:06:51.400 --> 00:06:52.200]  你什麼都行
[00:06:52.200 --> 00:06:55.120]  可能就覺得你價值都好一點
[00:06:55.120 --> 00:06:57.320]  你穿的衣著
[00:06:57.320 --> 00:07:01.080]  我們香港人說的衣裝
[00:07:01.080 --> 00:07:03.600]  很多人都覺得你很威風
[00:07:03.600 --> 00:07:05.560]  你又不需要憂愁憂委
[00:07:05.560 --> 00:07:08.080]  你又不需要擔心
[00:07:08.080 --> 00:07:10.600]  有些人就說退休之年
