
[00:00:00.000 --> 00:00:03.960]  過年最開心就是拜年鬥禮事了
[00:00:03.960 --> 00:00:05.520]  我都覺得是
[00:00:05.520 --> 00:00:08.040]  雖然我現在沒什麼得收 通行派
[00:00:08.040 --> 00:00:12.360]  我們在過年之前都有些預演
[00:00:12.360 --> 00:00:15.400]  什麼預演呢 就是和我的子女
[00:00:15.400 --> 00:00:17.560]  叫他們按住不同的需要
[00:00:17.560 --> 00:00:20.080]  他們想要的東西 祝福他們
[00:00:20.080 --> 00:00:22.280]  祝賀他們 例如
[00:00:22.280 --> 00:00:26.520]  我媽媽坐在這裏
[00:00:26.520 --> 00:00:30.840]  見到媽媽她就很貪美
[00:00:30.840 --> 00:00:33.360]  我經常說她像我姐姐一樣
[00:00:33.360 --> 00:00:35.720]  你不相信就看看她
[00:00:35.720 --> 00:00:38.120]  所以我們就祝福媽媽在這裏
[00:00:38.120 --> 00:00:39.920]  祝福媽媽青春常駐
[00:00:39.920 --> 00:00:41.680]  給掌聲 我媽媽今天在這裏
[00:00:41.680 --> 00:00:45.240]  她從加拿大回來 幾個月就會走了
[00:00:45.240 --> 00:00:50.640]  我爹地很貪喫 所以遺傳給我
[00:00:50.640 --> 00:00:53.320]  所以我們說要祝他身體健康
[00:00:53.320 --> 00:00:56.680]  以及不要有三高 我們給掌聲
[00:00:56.680 --> 00:00:58.280]  爹地在我中間
[00:00:58.280 --> 00:01:02.200]  他過幾個星期就走了 離開回加拿大
[00:01:02.200 --> 00:01:05.840]  見到我太太 她們的媽媽經常出差
[00:01:05.840 --> 00:01:09.680]  就預演拜年的時候說出入平安
[00:01:09.680 --> 00:01:11.320]  工作順利
[00:01:11.320 --> 00:01:13.280]  至於爹地呢
[00:01:13.280 --> 00:01:15.440]  又進修了 所以祝福我
[00:01:15.440 --> 00:01:18.040]  學業進步 多好
[00:01:18.040 --> 00:01:19.800]  我們都預演了
[00:01:19.800 --> 00:01:21.240]  所以在年初一
[00:01:21.240 --> 00:01:23.200]  他們就開始拜年了
[00:01:23.200 --> 00:01:24.840]  不過我不知道爲什麼
[00:01:24.840 --> 00:01:27.400]  每個小朋友去到我前面
[00:01:27.400 --> 00:01:29.680]  除了學業進步都加劇
[00:01:29.680 --> 00:01:32.440]  爹地在學業進步之後就說
[00:01:32.440 --> 00:01:35.720]  爹地快點減肥
[00:01:35.720 --> 00:01:40.800]  可能他見到我需要不單止是學業進步
[00:01:40.800 --> 00:01:43.680]  但年初一一早上起牀 我不是去拜年
[00:01:43.680 --> 00:01:45.560]  我還有一件事要做 就是呢
[00:01:45.560 --> 00:01:48.880]  我和不同的同學在美國 在韓國
[00:01:48.880 --> 00:01:50.560]  我們有個堂要上
[00:01:50.560 --> 00:01:52.080]  因爲美國是晚到三點
[00:01:52.080 --> 00:01:54.960]  就是我們早上七點 我們六點起牀
[00:01:54.960 --> 00:01:56.840]  當時起牀的時候
[00:01:56.840 --> 00:02:01.160]  教授和我們四五個同學視障上堂
[00:02:01.160 --> 00:02:04.320]  是一個輔導的堂
[00:02:04.320 --> 00:02:06.640]  他就說 大家同學怎麼樣
[00:02:06.640 --> 00:02:10.880]  我說今天挺好的 今天是中國人的年初一
[00:02:10.880 --> 00:02:13.640]  他說 啊 真是不好意思了
[00:02:13.640 --> 00:02:16.680]  乘機說幾句 他說 你們有什麼雜俗
[00:02:16.680 --> 00:02:20.040]  我們就會派red packet 派利是
[00:02:20.040 --> 00:02:22.600]  他說 什麼來的 我說裏面有錢的
[00:02:22.600 --> 00:02:24.640]  我們過年最終會給人
[00:02:24.640 --> 00:02:26.560]  這幾個牧者在不同的地方
[00:02:26.560 --> 00:02:31.240]  他竟然馬上做這個動作
[00:02:31.240 --> 00:02:33.040]  我想想你這個動作沒用的
[00:02:33.040 --> 00:02:36.040]  我們中國人是要這個動作纔有用
[00:02:36.040 --> 00:02:38.520]  然後完了 過了半小時上堂
[00:02:38.520 --> 00:02:41.280]  他說John爲我們祈禱
[00:02:41.280 --> 00:02:44.160]  我就祈禱 我就用英文當時
[00:02:44.160 --> 00:02:46.240]  我說天父 我們求你叫他們
[00:02:46.240 --> 00:02:48.840]  很多錢 不過是天上的錢
[00:02:48.840 --> 00:02:53.680]  馬上笑到暈 完了我就email了一封禮物給他
[00:02:53.680 --> 00:02:57.560]  我不知道過年你想要什麼祝福
[00:02:57.560 --> 00:03:01.120]  要什麼需要 很想得到
[00:03:01.120 --> 00:03:04.080]  今年過年也有很有趣的 輝春
[00:03:04.080 --> 00:03:08.320]  金錢的系列 以往我們見到財源趕盡
[00:03:08.320 --> 00:03:10.920]  不過今年有些很有趣的東西 我見到是什麼呢
[00:03:10.920 --> 00:03:13.800]  他說馬上 馬上發財
[00:03:13.800 --> 00:03:16.240]  就是要馬上發財
[00:03:16.240 --> 00:03:19.000]  學業的系列 以往我們學業進步 剛纔說
[00:03:19.000 --> 00:03:21.120]  這次有些特別的輝春 他說什麼呢
[00:03:21.120 --> 00:03:24.320]  是名校必中
[00:03:24.320 --> 00:03:27.560]  健康的系列 以往是身體健康
[00:03:27.560 --> 00:03:32.280]  我見到新的系列是喫了才減
[00:03:32.280 --> 00:03:35.200]  股市系列 以往豐衣足食
[00:03:35.200 --> 00:03:37.680]  但是今年可能股市不太好
[00:03:37.680 --> 00:03:39.880]  竟然有人這樣寫 不過也是搞笑的
[00:03:39.880 --> 00:03:43.240]  他這樣寫 他說四叔怎麼辦
[00:03:43.240 --> 00:03:45.400]  家庭系列 以往有一團和氣
[00:03:45.400 --> 00:03:47.640]  今年很有趣 這句特別了
[00:03:47.640 --> 00:03:50.200]  老公聽着了 老婆也可能想的
[00:03:50.200 --> 00:03:54.160]  就這樣寫 老公聽話
[00:03:54.160 --> 00:03:56.160]  我不知道這些是不是你的心聲
[00:03:56.160 --> 00:04:01.040]  大年初一 我們在幾家人一起喝茶
[00:04:01.040 --> 00:04:05.360]  播了一些很開心的過年老牌歌
[00:04:05.360 --> 00:04:07.680]  叫《財神到》
[00:04:07.680 --> 00:04:09.600]  其中一些歌詞我想很有趣
[00:04:09.600 --> 00:04:12.960]  財神到就要好走快兩步
[00:04:12.960 --> 00:04:16.080]  得到他看起你 你就有前途了
[00:04:16.080 --> 00:04:19.040]  我突然想 財神到
[00:04:19.040 --> 00:04:20.880]  他
[00:04:20.880 --> 00:04:22.680]  很難的
[00:04:22.680 --> 00:04:26.600]  他是誰呢 怎樣纔行呢
[00:04:26.600 --> 00:04:30.160]  你要走快兩步 究竟走快兩步去哪裏呢
[00:04:30.160 --> 00:04:34.520]  怎樣纔看得起你呢 真是很難捉摸
[00:04:34.520 --> 00:04:37.520]  今天我以《聖經》的祝福
[00:04:37.520 --> 00:04:40.440]  來祝福大家 一點都不難捉摸
