
[00:00:00.000 --> 00:00:03.000]  (主席)各位早晨,今日母親節
[00:00:03.000 --> 00:00:06.000]  在教會的常規裏面母親節的崇拜
[00:00:06.000 --> 00:00:09.000]  就特別拿出母親的題目來講
[00:00:09.000 --> 00:00:11.500]  所以我今日都選了一個母親的故事
[00:00:11.500 --> 00:00:14.000]  她的絕對的困境就是
[00:00:14.000 --> 00:00:15.000]  無得生
[00:00:15.000 --> 00:00:18.000]  在祈求上帝的經歷裏面就有得生
[00:00:18.000 --> 00:00:21.000]  所以叫做絕處逢生
[00:00:21.000 --> 00:00:24.000]  作為我們母親的鼓勵
[00:00:24.000 --> 00:00:26.500]  我相信大家今日的生活一定有
[00:00:26.500 --> 00:00:30.500]  一些的壓力困難
[00:00:30.500 --> 00:00:33.500]  做女性也會帶來一些很明顯的
[00:00:33.500 --> 00:00:38.500]  獨特的要面對的壓力
[00:00:38.500 --> 00:00:42.500]  是男士或者是有些僥倖不用面對的
[00:00:42.500 --> 00:00:43.500]  不過無論如何
[00:00:43.500 --> 00:00:47.500]  我們今日就從一個母親的經歷
[00:00:47.500 --> 00:00:48.500]  解決問題
[00:00:48.500 --> 00:00:49.500]  作為我們的鼓勵
[00:00:49.500 --> 00:00:51.500]  所以不單止是母親適用
[00:00:51.500 --> 00:00:56.500]  還是我們的人生,男士都適用
[00:00:56.500 --> 00:00:59.500]  女的姐妹適用
[00:00:59.500 --> 00:01:00.500]  女的弟兄都適用
[00:01:00.500 --> 00:01:02.500]  即是女的姓呂的弟兄都適用
[00:01:02.500 --> 00:01:04.500]  其他的都適用
[00:01:04.500 --> 00:01:08.500]  本來想給大家看一張片
[00:01:08.500 --> 00:01:14.500]  但這張片是人家剛剛十一點才給我的
[00:01:14.500 --> 00:01:16.500]  所以我沒有辦法放在這裏
[00:01:16.500 --> 00:01:18.500]  我就讀給大家聽
[00:01:18.500 --> 00:01:22.500]  我愛母親
[00:01:22.500 --> 00:01:25.500]  母親節快樂
[00:01:25.500 --> 00:01:28.500]  多謝母親當年選擇生我
[00:01:28.500 --> 00:01:32.500]  而沒有選擇生一塊叉燒
[00:01:32.500 --> 00:01:37.500]  這樣就有一塊叉燒在這裏
[00:01:37.500 --> 00:01:40.500]  感謝上帝
[00:01:40.500 --> 00:01:41.500]  有我們的母親
[00:01:41.500 --> 00:01:42.500]  每一個人都有母親
[00:01:42.500 --> 00:01:45.500]  不認母親是不孝
[00:01:45.500 --> 00:01:47.500]  天地萬物都不是石頭爆的
[00:01:47.500 --> 00:01:49.500]  如果天地萬物沒有父母親
[00:01:49.500 --> 00:01:50.500]  或者沒有父親的話
[00:01:50.500 --> 00:01:52.500]  這是我們更大的不孝
