
[00:00:00.000 --> 00:00:03.600]  好,今天我會和大家一齊去看
[00:00:03.600 --> 00:00:07.260]  在崇拜新的一年,我們有一個講道的系列
[00:00:07.260 --> 00:00:10.560]  我們今年大部分的時間
[00:00:10.560 --> 00:00:13.220]  我們教會不同的同工,都會和大家一齊
[00:00:13.220 --> 00:00:18.580]  從《依塞亞書》在崇拜裏面去領受神給我們的訊息
[00:00:18.580 --> 00:00:23.880]  當大家看到的時候,可能不知道你會不會覺得有一點特別
[00:00:23.880 --> 00:00:25.880]  為甚麼我們講《依塞亞書》呢?
[00:00:25.880 --> 00:00:31.120]  不是從第一章開始,而是從四十章開始
[00:00:31.120 --> 00:00:33.440]  其實真是有一點特別
[00:00:33.440 --> 00:00:39.820]  但是我們在一般對《依塞亞書》的認識、研究裏面
[00:00:39.820 --> 00:00:45.720]  其實從四十章開始一直看下去,都是一個可以的認識
[00:00:45.720 --> 00:00:50.280]  當然,如果鼎姐妹,我們鼓勵你可以回去
[00:00:50.280 --> 00:00:53.880]  你有時間去看看第一到三十九章
[00:00:53.880 --> 00:00:57.920]  這個都是能夠幫助我們以後在崇拜當中
[00:00:57.920 --> 00:01:02.120]  去領受《依塞亞書》的訊息的時候,是一個很好的幫助
[00:01:02.120 --> 00:01:05.640]  你能夠更多的了解當中的背景
[00:01:05.640 --> 00:01:10.040]  而《依塞亞書》四十章,稍後我都會稍微提醒一下《依塞亞書》的背景
[00:01:10.040 --> 00:01:14.040]  讓大家都可以希望掌握得好一點點
[00:01:14.040 --> 00:01:17.680]  有些主題都是我們能夠明白到的時候
[00:01:17.680 --> 00:01:22.280]  就能夠多一點在《依塞亞書》裏面去認識
[00:01:22.280 --> 00:01:25.840]  今天我很想先和大家去讀這段聖經
[00:01:25.840 --> 00:01:30.320]  其實這段聖經如果大家讀下來,可能有些是你都聽過的經文
[00:01:30.320 --> 00:01:34.640]  希望都是能夠刺激一下你的記憶
[00:01:34.640 --> 00:01:39.000]  這些經文其實都是對我們在同神的關係裏面
[00:01:39.000 --> 00:01:43.680]  同神的結連裏面,一個很重要的訊息
[00:01:43.680 --> 00:01:48.600]  我會用和修本的聖經,所以邀請鼎姐妹一起去看《螢光幕》
