
[00:00:00.000 --> 00:00:02.740]  我們今天講的人物就是阿伯拉罕
[00:00:02.740 --> 00:00:05.780]  阿伯拉罕的原名叫做阿伯蘭
[00:00:05.780 --> 00:00:09.900]  後期神為他改名叫做阿伯拉罕
[00:00:09.900 --> 00:00:13.060]  而阿伯拉罕又被稱為信心之父
[00:00:13.060 --> 00:00:15.700]  當我一路預備這篇講章的時候
[00:00:15.700 --> 00:00:16.980]  我自己也會想
[00:00:16.980 --> 00:00:21.880]  阿伯拉罕其實何時開始認識耶和華是神的呢?
[00:00:21.880 --> 00:00:24.780]  我們說祂是一個信心之父的時候
[00:00:24.780 --> 00:00:26.100]  究竟祂的信心
[00:00:26.100 --> 00:00:29.340]  是否又是因為祂原生家庭的幫助
[00:00:29.340 --> 00:00:32.240]  以致祂有這麼大的信心呢?
[00:00:32.240 --> 00:00:34.500]  我就開始看聖經的時候
[00:00:34.500 --> 00:00:36.540]  聖經有這一段記載
[00:00:36.540 --> 00:00:38.980]  它說 古時你們的列祖
[00:00:38.980 --> 00:00:42.920]  就是阿伯拉罕和拿學的父親塔拉
[00:00:42.920 --> 00:00:46.460]  住在大河那邊 侍奉別臣
[00:00:46.460 --> 00:00:50.260]  經文裏面 哪個是阿伯拉罕的父親?
[00:00:50.260 --> 00:00:51.520]  塔拉
[00:00:51.520 --> 00:00:54.100]  塔拉原居在吾爾
[00:00:54.100 --> 00:00:55.900]  吾爾在哪裏呢?
[00:00:55.900 --> 00:00:58.620]  這裏說的是大河那邊
[00:00:58.620 --> 00:01:00.860]  大河即是說 猶法拉底河
[00:01:00.860 --> 00:01:02.540]  而在螢光幕裏面
[00:01:02.540 --> 00:01:04.900]  你會看到有一個紅色的點
[00:01:04.900 --> 00:01:06.520]  就是吾爾的地方
[00:01:06.520 --> 00:01:09.800]  正正就是阿伯拉罕河的附近
[00:01:09.800 --> 00:01:11.320]  而經文裏說的
[00:01:11.320 --> 00:01:15.980]  塔拉在那裏 大河那邊 侍奉別臣
[00:01:15.980 --> 00:01:17.860]  侍奉哪個別臣呢?
[00:01:17.860 --> 00:01:20.840]  考古學家一路去發掘的時候
[00:01:20.840 --> 00:01:24.900]  就發現在吾爾這個地方的遺址
[00:01:24.900 --> 00:01:28.700]  有五座 還是六座 有幾座的神廟
[00:01:28.700 --> 00:01:32.840]  這些神廟都是用來敬拜月神的
[00:01:32.840 --> 00:01:35.740]  而這個神廟最高的那座
[00:01:35.740 --> 00:01:38.820]  有大概六、七層樓那麼高
[00:01:38.820 --> 00:01:42.740]  你今天可能會說六、七層樓不算什麼
[00:01:42.740 --> 00:01:45.420]  但是當時 阿伯拉罕的年代
[00:01:45.420 --> 00:01:47.900]  以當時的建築技術
[00:01:47.900 --> 00:01:51.860]  其實他們的房子只有一層 兩層
[00:01:51.860 --> 00:01:54.340]  所以你可以想像到
