
[00:00:00.000 --> 00:00:02.620]  好,今天我們的主題是家傳之寶
[00:00:02.620 --> 00:00:06.220]  我不知道如果大家最近早知
[00:00:06.220 --> 00:00:09.940]  或者快要中秋節又過年了
[00:00:09.940 --> 00:00:13.480]  如果你在你家族中有一個成員提出
[00:00:13.480 --> 00:00:18.260]  不如我們想一個家傳之寶
[00:00:18.260 --> 00:00:23.060]  可以世世代代子子孫端傳下去的
[00:00:23.060 --> 00:00:26.280]  我不知道你會選擇些什麼
[00:00:26.280 --> 00:00:29.600]  或者有些珍寶你過去現在沒有了
[00:00:29.600 --> 00:00:33.160]  又或者有些文件也說不定
[00:00:33.160 --> 00:00:36.280]  又或者在中間你發現
[00:00:36.280 --> 00:00:42.220]  太爺在某個時段有些很難有人擁有的東西也說不定
[00:00:42.220 --> 00:00:45.660]  我記得在三年前當過年的時候
[00:00:45.660 --> 00:00:47.920]  我奶奶突然跟我說
[00:00:47.920 --> 00:00:48.820]  她叫我華仔
[00:00:48.820 --> 00:00:49.920]  華仔華仔過來
[00:00:49.920 --> 00:00:51.020]  我說什麼事
[00:00:51.020 --> 00:00:53.980]  我有樣東西,個大樣
[00:00:53.980 --> 00:00:57.580]  想給你個兒子
[00:00:57.580 --> 00:00:58.540]  不是給我
[00:00:58.540 --> 00:01:01.260]  不是給我,是給他的室
[00:01:01.260 --> 00:01:02.200]  我說什麼來的
[00:01:02.200 --> 00:01:03.660]  是個大樣
[00:01:03.660 --> 00:01:04.880]  我說很有趣
[00:01:04.880 --> 00:01:06.720]  我就給了我兒子
[00:01:06.720 --> 00:01:08.520]  我兒子問什麼來的
[00:01:08.520 --> 00:01:09.780]  也很難解釋
[00:01:09.780 --> 00:01:11.720]  要上網找
[00:01:11.720 --> 00:01:12.880]  我不知道
[00:01:12.880 --> 00:01:15.260]  當我昨天來的時候
[00:01:15.260 --> 00:01:17.800]  我的同事跟我說
[00:01:17.800 --> 00:01:19.900]  他家裡也有家傳之寶
[00:01:19.900 --> 00:01:23.300]  就是一本族譜
[00:01:23.300 --> 00:01:24.780]  很多代很多代
[00:01:24.780 --> 00:01:27.380]  他們的工作,他們的名字也有
[00:01:27.380 --> 00:01:30.200]  我猜這個大樣
[00:01:30.200 --> 00:01:31.720]  下一次拿出來
[00:01:31.720 --> 00:01:33.140]  因為我見完之後
[00:01:33.140 --> 00:01:35.800]  我就幫我兒子放在隔板上
[00:01:35.800 --> 00:01:37.540]  應該也不會怎麼用
[00:01:37.540 --> 00:01:39.460]  我猜下一次拿出來
[00:01:39.460 --> 00:01:42.480]  可能我兒子拿出來就好像我奶奶
[00:01:42.480 --> 00:01:44.020]  我奶奶九十歲
[00:01:44.020 --> 00:01:45.120]  一樣
[00:01:45.120 --> 00:01:46.720]  就是幾十年後
[00:01:46.720 --> 00:01:49.100]  就可能跟她孫說
[00:01:49.100 --> 00:01:52.400]  你給你兒子吧
[00:01:52.400 --> 00:01:54.160]  家傳之寶
[00:01:54.160 --> 00:01:55.780]  上帝也有
[00:01:55.780 --> 00:01:57.060]  上帝也跟我們說
[00:01:57.060 --> 00:01:58.200]  我們也有
[00:01:58.200 --> 00:02:01.940]  從上帝眼中的家傳之寶
[00:02:01.940 --> 00:02:03.320]  而那個家傳之寶
[00:02:03.320 --> 00:02:04.580]  不需要放在隔板上
[00:02:04.580 --> 00:02:07.380]  不需要幾十年才拿出來一次
[00:02:07.380 --> 00:02:08.520]  這個是什麼呢?
[00:02:08.520 --> 00:02:09.960]  今天我會用《新命記》
[00:02:09.960 --> 00:02:11.960]  第五章、第六章
[00:02:11.960 --> 00:02:14.860]  也是舊約最出名的一段經文
[00:02:14.860 --> 00:02:17.540]  也是新約最重要的一段經文
[00:02:17.540 --> 00:02:19.400]  引用舊約
[00:02:19.400 --> 00:02:20.740]  這個是什麼呢?
[00:02:20.740 --> 00:02:23.280]  在上帝眼中當然最重要
[00:02:23.280 --> 00:02:27.480]  是上帝的誡命律例典章
[00:02:27.480 --> 00:02:28.400]  為什麼呢?
[00:02:28.400 --> 00:02:31.420]  因為在第五章《生命記》提到
[00:02:31.420 --> 00:02:34.860]  當我們謹守遵行的時候
[00:02:34.860 --> 00:02:36.400]  我們會怎樣呢?
[00:02:36.400 --> 00:02:38.060]  我們一起讀讀這句經文
[00:02:38.060 --> 00:02:39.340]  1、2、3
[00:02:39.340 --> 00:02:41.340]  「全活得福」
[00:02:51.340 --> 00:02:53.340]  我不知道你們想不想得福
[00:02:53.340 --> 00:02:55.740]  或者享福
[00:02:55.740 --> 00:02:57.620]  有沒有人不想的呢?
[00:02:57.620 --> 00:02:58.820]  可以舉手
[00:02:58.820 --> 00:03:00.820]  我也可以
[00:03:00.820 --> 00:03:02.500]  應該沒有
[00:03:02.500 --> 00:03:06.620]  當然這個說話的根基是什麼呢?
[00:03:06.620 --> 00:03:10.260]  是上帝先跟我們納了一個約
[00:03:10.260 --> 00:03:11.260]  當日以色列文
[00:03:11.260 --> 00:03:14.880]  就是神的子民納了一個永約
[00:03:14.880 --> 00:03:16.880]  而這個約直說耶穌基督
[00:03:16.880 --> 00:03:19.600]  在最後的晚餐說得很清楚
[00:03:19.600 --> 00:03:20.580]  耶穌這樣說
[00:03:20.580 --> 00:03:21.440]  我們一起讀
[00:03:21.440 --> 00:03:22.200]  1、2、3
[00:03:22.200 --> 00:03:25.200]  「這是我所納約的血」
[00:03:25.200 --> 00:03:32.000]  這個約一直下來一直下來很重要
[00:03:32.000 --> 00:03:33.580]  而當日三千多年前
[00:03:33.580 --> 00:03:35.040]  上帝藉著摩西
[00:03:35.040 --> 00:03:38.040]  說了一個很重要的訊息
[00:03:38.040 --> 00:03:42.220]  而這個訊息究竟我們怎樣才可以謹守
[00:03:42.220 --> 00:03:44.800]  怎樣才可以得福
[00:03:44.800 --> 00:03:48.320]  今天我會用三點
[00:03:48.320 --> 00:03:50.060]  三個角度
[00:03:50.060 --> 00:03:52.440]  去看看我們的心態
[00:03:52.440 --> 00:03:54.780]  我們的行動
[00:03:54.780 --> 00:03:58.280]  以及最後我們怎樣可以活出
[00:03:58.280 --> 00:03:59.380]  第一件事
[00:03:59.380 --> 00:04:00.980]  我們馬上進入
[00:04:00.980 --> 00:04:02.560]  我們的心態是
[00:04:02.560 --> 00:04:04.920]  不偏離
[00:04:04.920 --> 00:04:07.940]  《新聞記》第五章三十二節
[00:04:07.940 --> 00:04:08.780]  我們一起讀
[00:04:08.780 --> 00:04:09.740]  1、2、3
[00:04:09.740 --> 00:04:14.040]  「所以你們要照耶和華你們神所吩咐的
[00:04:14.040 --> 00:04:17.680]  謹守遵行不可偏離左右」
[00:04:17.680 --> 00:04:20.280]  「謹守遵行不可偏離左右」
[00:04:20.280 --> 00:04:21.440]  如果我們直譯就是
[00:04:21.440 --> 00:04:26.260]  「shall not turn to the right or to the left」
[00:04:26.260 --> 00:04:28.160]  即是你不要轉左
[00:04:28.160 --> 00:04:29.440]  又轉右
[00:04:29.440 --> 00:04:32.620]  我不知道你人生中有些什麼是你最喜歡做的
[00:04:32.620 --> 00:04:34.620]  或者有些什麼是你覺得要做的
[00:04:34.620 --> 00:04:38.020]  在我人生中我覺得很重要要做的就是
[00:04:38.020 --> 00:04:40.020]  要做運動
[00:04:40.020 --> 00:04:41.440]  你明白就看我
[00:04:41.440 --> 00:04:43.540]  當我每一次想去做運動
[00:04:43.540 --> 00:04:47.500]  有些事情就令我轉左轉左右就去不了
[00:04:47.500 --> 00:04:49.420]  例如突然間走路
[00:04:49.420 --> 00:04:51.420]  問了一些美食
[00:04:51.420 --> 00:04:53.240]  我就想
[00:04:53.240 --> 00:04:56.700]  我不吃就沒有力氣去減肥
[00:04:56.700 --> 00:04:59.100]  一定要這樣
[00:04:59.100 --> 00:05:02.420]  又或者想突然間天氣比較熱
[00:05:02.420 --> 00:05:05.620]  熱一點就等太陽下山
[00:05:05.620 --> 00:05:08.700]  下山就覺得是吃晚飯的時候
