
[00:00:00.000 --> 00:00:06.000]  今晚我們會看大衛某個程度是醜惡的一面
[00:00:06.000 --> 00:00:11.000]  他出賣了別人 維護自己的利益
[00:00:11.000 --> 00:00:15.000]  人是沒有信實的
[00:00:15.000 --> 00:00:17.000]  但我們的神卻是信實
[00:00:17.000 --> 00:00:20.000]  我仍然相信神有自己的時間
[00:00:20.000 --> 00:00:24.000]  我們的神是信實無邊的
[00:00:24.000 --> 00:00:27.000]  我們唯一就是真的依靠祂
[00:00:27.000 --> 00:00:32.000]  我們今晚所分享的課題叫做白人之死
[00:00:32.000 --> 00:00:38.000]  不知道大家知不知道這句是出自一句中國古代的說話
[00:00:38.000 --> 00:00:42.000]  我不殺白人 白人卻為我而死
[00:00:42.000 --> 00:00:44.000]  遲些就會解釋了
[00:00:44.000 --> 00:00:47.000]  上個星期我們看到肝膽相照
[00:00:47.000 --> 00:00:50.000]  就是說大衛和約拿丹之間的感情
[00:00:50.000 --> 00:00:54.000]  但我經常說的是約拿丹和大衛
[00:00:54.000 --> 00:00:57.000]  因為我們看的時候約拿丹的感情
[00:00:57.000 --> 00:01:02.000]  相對比大衛更加單純 更加偉大
[00:01:02.000 --> 00:01:04.000]  約拿丹比大衛年長
[00:01:04.000 --> 00:01:08.000]  年長的人要去敬佩一個年幼的人應該不容易
[00:01:08.000 --> 00:01:10.000]  第二身份上的差距
[00:01:10.000 --> 00:01:12.000]  約拿丹是一位的王子
[00:01:12.000 --> 00:01:14.000]  但大衛當時只是一位的牧童
[00:01:14.000 --> 00:01:16.000]  後來雖然成為戰士
[00:01:16.000 --> 00:01:19.000]  但始終身份上是有距離
[00:01:19.000 --> 00:01:22.000]  但是約拿丹是很愛大衛
[00:01:22.000 --> 00:01:28.000]  將自己很可以承繼皇位的機會
[00:01:28.000 --> 00:01:31.000]  都甘心地給了大衛
[00:01:31.000 --> 00:01:38.000]  大衛也曾經要求約拿丹為他打探
[00:01:38.000 --> 00:01:41.000]  爸爸會不會對他不好
[00:01:41.000 --> 00:01:43.000]  甚至會教約拿丹說謊
[00:01:43.000 --> 00:01:48.000]  約拿丹也好好的去維護大衛
[00:01:48.000 --> 00:01:50.000]  甚至幫你不幫親
[00:01:50.000 --> 00:01:53.000]  去勸自己的爸爸不要追殺大衛
[00:01:53.000 --> 00:01:56.000]  所以是很美麗的一段感情
[00:01:56.000 --> 00:01:58.000]  特別是約拿丹那份感情
[00:01:58.000 --> 00:02:00.000]  我們當然也欣賞大衛
[00:02:00.000 --> 00:02:03.000]  因為後來他成為皇帝的時候沒有趕盡殺絕
[00:02:03.000 --> 00:02:06.000]  我們到後期的時候就會看到
