
[00:00:00.000 --> 00:00:03.000]  因為通常每一年到聖誕節的時候
[00:00:03.000 --> 00:00:06.000]  你到處都可以聽到一首詩歌
[00:00:06.000 --> 00:00:08.000]  這首詩歌對我來說
[00:00:08.000 --> 00:00:10.000]  不知道為什麼特別有感覺
[00:00:10.000 --> 00:00:13.000]  如果大家有看《歲月超言》的時候
[00:00:13.000 --> 00:00:15.000]  當我去找料
[00:00:15.000 --> 00:00:20.000]  找一首歌有關的一些片段的時候
[00:00:20.000 --> 00:00:23.000]  我一邊聽一首歌
[00:00:23.000 --> 00:00:25.000]  一邊看畫面
[00:00:25.000 --> 00:00:28.000]  可能年紀大了容易受感動
[00:00:28.000 --> 00:00:30.000]  我再次去看這首詩歌
[00:00:30.000 --> 00:00:32.000]  其實我已經看了很多遍了
[00:00:32.000 --> 00:00:33.000]  因為要預備
[00:00:33.000 --> 00:00:35.000]  一首歌看了很多遍
[00:00:35.000 --> 00:00:41.000]  但是當我看到耶穌的誕生
[00:00:41.000 --> 00:00:44.000]  放在一個馬槽裡面
[00:00:44.000 --> 00:00:46.000]  我不知道大家的感覺是怎麼樣的
[00:00:46.000 --> 00:00:50.000]  不知道大家有沒有類似的激動
[00:00:50.000 --> 00:00:52.000]  有時候信耶穌的時間久了
[00:00:52.000 --> 00:00:55.000]  我們沒有了那種感覺
[00:00:55.000 --> 00:01:00.000]  沒有了那種激情
[00:01:00.000 --> 00:01:01.000]  其實這首歌
[00:01:01.000 --> 00:01:02.000]  《O Holy Night》
[00:01:02.000 --> 00:01:03.000]  這是英文的翻譯
[00:01:03.000 --> 00:01:05.000]  本來是一首法國
[00:01:05.000 --> 00:01:08.000]  即是法文的詩歌
[00:01:08.000 --> 00:01:12.000]  今天坐在椅子上講故事
[00:01:12.000 --> 00:01:14.000]  Anyway
[00:01:14.000 --> 00:01:17.000]  這首歌其實是在法國的小鎮
[00:01:17.000 --> 00:01:19.000]  有一個釀酒商
[00:01:19.000 --> 00:01:21.000]  不過他做生意是一般般
[00:01:21.000 --> 00:01:23.000]  他寫詩很厲害
[00:01:23.000 --> 00:01:27.000]  所以這個鎮裏的神父
[00:01:27.000 --> 00:01:30.000]  聖誕節快到了
[00:01:30.000 --> 00:01:31.000]  於是就說
[00:01:31.000 --> 00:01:32.000]  你寫詩這麼厲害
[00:01:32.000 --> 00:01:34.000]  不如為了我這個聖誕節
[00:01:34.000 --> 00:01:36.000]  可不可以寫一首詩呢
[00:01:36.000 --> 00:01:39.000]  其實這個人
[00:01:39.000 --> 00:01:42.000]  Plazio Capio
[00:01:42.000 --> 00:01:44.000]  其實不是經常去教會的
[00:01:44.000 --> 00:01:46.000]  不過這個鎮很小
[00:01:46.000 --> 00:01:47.000]  每個人都認識
[00:01:47.000 --> 00:01:48.000]  他作詩這麼厲害
[00:01:48.000 --> 00:01:49.000]  牧師叫到
[00:01:49.000 --> 00:01:50.000]  神父應該是
[00:01:50.000 --> 00:01:52.000]  神父叫到他的時候
[00:01:52.000 --> 00:01:54.000]  好吧,我幫你寫吧
[00:01:54.000 --> 00:01:55.000]  但變了之後
[00:01:55.000 --> 00:01:57.000]  他有一個旅程要去巴黎
[00:01:57.000 --> 00:01:59.000]  那時候坐在馬車上
[00:01:59.000 --> 00:02:01.000]  搖來搖去的時候
[00:02:01.000 --> 00:02:03.000]  靈感就出來了
[00:02:03.000 --> 00:02:06.000]  他就將自己置身在
[00:02:06.000 --> 00:02:08.000]  路加夫音裏面
[00:02:08.000 --> 00:02:11.000]  描寫到耶穌降生的情景
[00:02:11.000 --> 00:02:12.000]  將自己變成一個
[00:02:12.000 --> 00:02:15.000]  好像旁觀者的聽眾
[00:02:15.000 --> 00:02:16.000]  在當中一樣
[00:02:16.000 --> 00:02:20.000]  於是就在那個馬車上
[00:02:20.000 --> 00:02:22.000]  去到巴黎之前
[00:02:22.000 --> 00:02:25.000]  他就寫成了有詩歌
[00:02:25.000 --> 00:02:27.000]  剛才我說的那首詩歌
[00:02:27.000 --> 00:02:28.000]  自己去唱
[00:02:28.000 --> 00:02:29.000]  或者去思想去看的時候
[00:02:29.000 --> 00:02:30.000]  很感動
[00:02:30.000 --> 00:02:32.000]  其實這個詩人
[00:02:32.000 --> 00:02:34.000]  Plazio Capio
[00:02:34.000 --> 00:02:35.000]  寫了一首詩之後
[00:02:35.000 --> 00:02:36.000]  自己再看多一次
[00:02:36.000 --> 00:02:38.000]  真的挺感動的
[00:02:38.000 --> 00:02:39.000]  他自己也很感動
[00:02:39.000 --> 00:02:41.000]  於是他就找了自己的好朋友
[00:02:41.000 --> 00:02:44.000]  當時是一個猶太裔的
[00:02:44.000 --> 00:02:47.000]  一個很知名的作曲家
[00:02:47.000 --> 00:02:49.000]  叫做Adolf Charles Adams
[00:02:49.000 --> 00:02:52.000]  Adolf Charles Adams
[00:02:52.000 --> 00:02:55.000]  他寫orchestra
[00:02:55.000 --> 00:02:56.000]  寫很多不同的樂曲
[00:02:56.000 --> 00:02:57.000]  很出名的
[00:02:57.000 --> 00:03:01.000]  世界各地都請他去作曲
[00:03:01.000 --> 00:03:03.000]  於是他就請了這個人
[00:03:03.000 --> 00:03:05.000]  為這首詩
[00:03:05.000 --> 00:03:08.000]  填寫他的歌曲
[00:03:08.000 --> 00:03:09.000]  作一個歌曲
[00:03:09.000 --> 00:03:12.000]  然後三個星期之後
[00:03:12.000 --> 00:03:15.000]  就在他們小鎮裏面的教堂
[00:03:15.000 --> 00:03:21.000]  聖誕節前夕的彌撒
[00:03:21.000 --> 00:03:24.000]  第一次演出
[00:03:24.000 --> 00:03:26.000]  這首歌出來之後
[00:03:26.000 --> 00:03:29.000]  馬上就封了整個法國的教會
[00:03:29.000 --> 00:03:31.000]  所以很快這首歌就成為
[00:03:31.000 --> 00:03:33.000]  法國教裏面
[00:03:33.000 --> 00:03:34.000]  聖誕節裏面
[00:03:34.000 --> 00:03:36.000]  差不多是經典
[00:03:36.000 --> 00:03:39.000]  必唱的一首詩歌
[00:03:39.000 --> 00:03:41.000]  但是過了沒多久呢
[00:03:41.000 --> 00:03:43.000]  講故事吧
[00:03:43.000 --> 00:03:47.000]  法國天主教教會的領袖
[00:03:47.000 --> 00:03:49.000]  就留意到
[00:03:49.000 --> 00:03:52.000]  原來Placide Cabriolet
[00:03:52.000 --> 00:03:53.000]  都不去教會的
[00:03:53.000 --> 00:03:56.000]  事實上他是一個socialist
[00:03:56.000 --> 00:03:59.000]  一個社會主義的活躍分子
[00:03:59.000 --> 00:04:01.000]  要推廣社會改革
[00:04:01.000 --> 00:04:04.000]  他越衝越過教會
[00:04:04.000 --> 00:04:06.000]  而這個作曲的人是誰呢
[00:04:06.000 --> 00:04:08.000]  是猶太人
[00:04:08.000 --> 00:04:10.000]  他說這首歌不夠spiritual
[00:04:10.000 --> 00:04:11.000]  這個人不去教會
[00:04:11.000 --> 00:04:13.000]  猶太教的
[00:04:13.000 --> 00:04:16.000]  教會不可以再唱這首歌
[00:04:16.000 --> 00:04:18.000]  於是一個下令之後
[00:04:18.000 --> 00:04:20.000]  這首歌從此
[00:04:20.000 --> 00:04:23.000]  在法國天主教教堂裏面
[00:04:23.000 --> 00:04:25.000]  就不可以唱了
[00:04:25.000 --> 00:04:26.000]  但雖然是這樣
[00:04:26.000 --> 00:04:29.000]  這首歌就繼續在法國的民間裏面
[00:04:29.000 --> 00:04:32.000]  廣泛的流傳
[00:04:32.000 --> 00:04:34.000]  20年之後
