
[00:00:00.000 --> 00:00:01.880]  今日很高興見到大家
[00:00:01.880 --> 00:00:04.800]  回來參加我們今天的聖誕崇拜
[00:00:04.800 --> 00:00:06.920]  今天很高興請到大家
[00:00:06.920 --> 00:00:08.440]  跟我們一起來
[00:00:08.440 --> 00:00:10.400]  慶祝這個聖誕的崇拜
[00:00:10.400 --> 00:00:11.960]  有些很熟悉的面孔
[00:00:11.960 --> 00:00:13.840]  還有很多很熟悉的面孔
[00:00:13.840 --> 00:00:15.680]  有些是比較陌生一點的
[00:00:15.680 --> 00:00:17.400]  有的是很陌生的
[00:00:17.400 --> 00:00:20.080]  無論你是每個星期回教會的
[00:00:20.080 --> 00:00:22.440]  無論你是每個星期回教會的
[00:00:22.440 --> 00:00:24.400]  或者一年回一次的
[00:00:24.400 --> 00:00:26.240]  或者是你一年回一次的
[00:00:26.240 --> 00:00:28.800]  又或者你是第一次來教會的
[00:00:28.800 --> 00:00:30.720]  也許你是第一次來教會的
[00:00:30.720 --> 00:00:31.760]  我也很歡迎你
[00:00:31.760 --> 00:00:33.760]  我們都很歡迎你們
[00:00:33.760 --> 00:00:36.280]  今天我們的主題就是耶穌家庭
[00:00:36.280 --> 00:00:38.720]  今天的主題就是耶穌的家庭
[00:00:38.720 --> 00:00:39.920]  家庭這件事
[00:00:39.920 --> 00:00:41.720]  Family就是一個
[00:00:41.720 --> 00:00:44.640]  我們每個人都知道是什麼了
[00:00:44.640 --> 00:00:47.320]  家庭每個人都知道是什麼一回事
[00:00:47.320 --> 00:00:50.760]  那就不需要我去解釋什麼叫家庭
[00:00:50.760 --> 00:00:53.920]  那我就不在這裡再解釋什麼是家庭
[00:00:53.920 --> 00:00:56.520]  當上帝去做人的時候
[00:00:56.520 --> 00:00:58.840]  當上帝去做人的時候
[00:00:58.840 --> 00:01:01.280]  人是比較上是一個比較特別的動物
[00:01:01.280 --> 00:01:04.320]  人是一個很特別的動物
[00:01:04.320 --> 00:01:07.440]  因為我們有一個家庭的觀念是很重的
[00:01:07.440 --> 00:01:10.040]  因為我們有家庭的觀念是很重的
[00:01:10.040 --> 00:01:12.720]  我經常看那些動物的紀錄片
[00:01:12.720 --> 00:01:15.280]  我常常看動物的紀錄片
[00:01:15.280 --> 00:01:20.120]  大家知道BBC拍動物紀錄片拍得非常成功
[00:01:20.120 --> 00:01:25.320]  BBC拍這些動物的動作片很精彩
[00:01:25.320 --> 00:01:28.920]  最近有一套叫做Planet Earth Part 2
[00:01:28.920 --> 00:01:33.720]  就是Planet Earth Part 2
[00:01:33.720 --> 00:01:37.880]  大家如果沒看過就很提議大家回去看一下
[00:01:37.880 --> 00:01:41.400]  如果你們還沒看的可以上電視去看看
[00:01:41.400 --> 00:01:43.480]  那我發覺那些動物真的挺奇怪的
[00:01:43.480 --> 00:01:46.000]  那我就覺得那些動物是很奇怪的
[00:01:46.000 --> 00:01:47.520]  那些動物是很霸王的
[00:01:47.520 --> 00:01:48.880]  他們很霸王的
[00:01:48.880 --> 00:01:51.600]  你說人哈哈巴巴動物更厲害
[00:01:51.600 --> 00:01:53.840]  你說人會這樣子
[00:01:53.840 --> 00:01:55.240]  動物也是更厲害
[00:01:55.240 --> 00:01:57.000]  那我叫做三霸
[00:01:57.000 --> 00:01:58.400]  那我也是三霸
[00:01:58.400 --> 00:01:59.400]  霸什麼呢
[00:01:59.400 --> 00:02:00.520]  我是霸什麼呢
[00:02:00.520 --> 00:02:01.440]  霸地方
[00:02:01.440 --> 00:02:02.800]  我就是霸地方
