
[00:00:00.000 --> 00:00:03.000]  好 因傳浸信會的弟兄姊妹 你們好
[00:00:03.000 --> 00:00:04.500]  主女兵平安
[00:00:04.500 --> 00:00:07.500]  真的很感恩可以來到大家當中
[00:00:07.500 --> 00:00:11.000]  那今天這篇訊息就是
[00:00:11.000 --> 00:00:14.000]  希望除了講靈命成像
[00:00:14.000 --> 00:00:16.500]  也是和你們分享一下自己的一些心路歷程
[00:00:16.500 --> 00:00:20.000]  還有鼓勵大家怎樣繼續前行
[00:00:20.000 --> 00:00:24.000]  題目就是「被基督得著繼續前行」
[00:00:24.000 --> 00:00:27.000]  是菲利比書剛才讀了的經文
[00:00:31.000 --> 00:00:34.500]  如果神要我們寫一份靈命履歷
[00:00:34.500 --> 00:00:37.000]  不知道要怎樣寫
[00:00:37.000 --> 00:00:42.000]  我想大家相信主有沒有超過二十年
[00:00:42.000 --> 00:00:44.500]  有沒有 有些人點頭
[00:00:44.500 --> 00:00:46.000]  有沒有超過十年
[00:00:46.000 --> 00:00:48.000]  都很多
[00:00:48.000 --> 00:00:50.000]  其實相信主一段時間
[00:00:50.000 --> 00:00:54.000]  有時你有沒有時間檢視一下
[00:00:54.000 --> 00:00:56.000]  譬如今年來說
[00:00:56.000 --> 00:00:58.000]  你的成長是怎樣
[00:00:58.000 --> 00:01:01.000]  有時剛才令仙說都很忙
[00:01:01.000 --> 00:01:02.000]  有些人暑假都很忙
[00:01:02.000 --> 00:01:04.000]  你們暑假忙不忙
[00:01:04.000 --> 00:01:06.000]  暑假很安靜
[00:01:06.000 --> 00:01:08.000]  有時暑假要去照顧孩子
[00:01:08.000 --> 00:01:10.000]  又要去旅行
[00:01:10.000 --> 00:01:12.000]  又要回香港
[00:01:12.000 --> 00:01:14.000]  我自己也是
[00:01:14.000 --> 00:01:18.000]  因為加拿大建道中心總幹事說明是甚麼
[00:01:18.000 --> 00:01:19.000]  加拿大
[00:01:19.000 --> 00:01:21.000]  加拿大有多大
[00:01:21.000 --> 00:01:22.000]  很大
[00:01:22.000 --> 00:01:24.000]  所以除了多倫多
[00:01:24.000 --> 00:01:29.000]  亦有溫哥華有不同的城市去講道
[00:01:29.000 --> 00:01:32.000]  去做訓練等等
[00:01:32.000 --> 00:01:34.000]  我還是見到神學院的老師
[00:01:34.000 --> 00:01:36.000]  所以又回香港
[00:01:36.000 --> 00:01:39.000]  述職或有其他的聚會
[00:01:39.000 --> 00:01:41.000]  所以今年特別忙
[00:01:41.000 --> 00:01:43.000]  因為今年見到神學院
[00:01:43.000 --> 00:01:47.000]  剛剛蔡院長榮休
[00:01:47.000 --> 00:01:49.000]  高明軒院長就職
[00:01:49.000 --> 00:01:52.000]  所以我今年都回香港幾次
[00:01:52.000 --> 00:01:55.000]  所以在這裡代表建道神學院
[00:01:55.000 --> 00:01:57.000]  和加拿大建道中心問候你們
[00:01:57.000 --> 00:01:59.000]  今天除了問候之外
[00:01:59.000 --> 00:02:01.000]  忙得有價值
[00:02:01.000 --> 00:02:04.000]  我們要忙得有安靜
[00:02:04.000 --> 00:02:06.000]  所以待會在講道的時候
[00:02:06.000 --> 00:02:08.000]  我都會提一提這個
