
[00:00:00.000 --> 00:00:02.000]  各位看見沒有?早晨!
[00:00:02.000 --> 00:00:06.000]  今天是禮拜六
[00:00:06.000 --> 00:00:08.000]  我們稱為「週末」
[00:00:08.000 --> 00:00:11.000]  即是一個禮拜最後的一天
[00:00:11.000 --> 00:00:14.000]  在過去的一個禮拜
[00:00:14.000 --> 00:00:17.000]  是一個很重要的一個禮拜
[00:00:17.000 --> 00:00:19.000]  我們稱為「聖週」
[00:00:19.000 --> 00:00:21.000]  即是很神聖的一個禮拜
[00:00:21.000 --> 00:00:23.000]  Holy Week
[00:00:23.000 --> 00:00:26.000]  亦都有人稱為「壽難週」
[00:00:26.000 --> 00:00:28.000]  Passion Week
[00:00:28.000 --> 00:00:30.000]  是講到耶穌
[00:00:30.000 --> 00:00:32.000]  最後一次
[00:00:32.000 --> 00:00:35.000]  入耶路撒冷之後所發生的事
[00:00:35.000 --> 00:00:38.000]  上個主日
[00:00:38.000 --> 00:00:40.000]  叫做「忠樹主日」
[00:00:40.000 --> 00:00:42.000]  是紀念耶穌
[00:00:42.000 --> 00:00:44.000]  最後一次
[00:00:44.000 --> 00:00:45.000]  騎了一路
[00:00:45.000 --> 00:00:46.000]  入耶路撒冷
[00:00:46.000 --> 00:00:49.000]  當時的人是夾道歡迎祂
[00:00:49.000 --> 00:00:51.000]  拿著忠樹枝
[00:00:51.000 --> 00:00:52.000]  歡迎祂說
[00:00:52.000 --> 00:00:54.000]  「和珊哪!和珊哪!
[00:00:54.000 --> 00:00:55.000]  奉主命來的
[00:00:55.000 --> 00:00:57.000]  是應當稱頌的」
[00:00:57.000 --> 00:00:59.000]  所以耶穌可以說是
[00:00:59.000 --> 00:01:02.000]  傳道事物高峰
[00:01:02.000 --> 00:01:04.000]  受人擁戴
[00:01:04.000 --> 00:01:05.000]  入了耶路撒冷裏面
[00:01:05.000 --> 00:01:06.000]  那些人想著
[00:01:06.000 --> 00:01:08.000]  這個就是尼塞亞
[00:01:08.000 --> 00:01:09.000]  這個就是君王
[00:01:09.000 --> 00:01:13.000]  來推翻羅馬的政權
[00:01:13.000 --> 00:01:14.000]  建立上帝國
[00:01:14.000 --> 00:01:16.000]  對他很大的期望
[00:01:16.000 --> 00:01:18.000]  但是
[00:01:18.000 --> 00:01:20.000]  這個禮拜之內
[00:01:20.000 --> 00:01:21.000]  那幾天
[00:01:21.000 --> 00:01:23.000]  耶穌就被捉拿
[00:01:23.000 --> 00:01:24.000]  被釘十字架
[00:01:24.000 --> 00:01:25.000]  死了
[00:01:26.000 --> 00:01:28.000]  這個禮拜可以說是
