
[00:00:00.000 --> 00:00:02.700]  去年年底我收到一個禮物
[00:00:02.700 --> 00:00:05.100]  包裝紙上貼了一張卡片
[00:00:05.100 --> 00:00:07.300]  上面寫着PTL
[00:00:07.300 --> 00:00:08.600]  我心想感謝主
[00:00:08.600 --> 00:00:10.700]  我們都應當來praise the lord
[00:00:10.700 --> 00:00:12.300]  來讚美主
[00:00:12.300 --> 00:00:14.100]  結果這位送禮的弟兄對我說
[00:00:14.100 --> 00:00:15.100]  不是不是不是
[00:00:15.100 --> 00:00:16.600]  不是praise the lord
[00:00:16.600 --> 00:00:18.800]  而是Pastor Tong Liu
[00:00:18.800 --> 00:00:25.200]  忽然間給我很大的驚喜
[00:00:25.200 --> 00:00:26.100]  我從來沒想過
[00:00:26.100 --> 00:00:28.600]  我的稱呼Pastor Tong Liu的縮寫
[00:00:28.600 --> 00:00:31.000]  就是PTL啊
[00:00:31.000 --> 00:00:37.600]  這個新的發現
[00:00:37.600 --> 00:00:39.900]  讓我在面對新的一年的世功
[00:00:39.900 --> 00:00:41.900]  給我一個很大的動力
[00:00:41.900 --> 00:00:44.200]  我就想到在四司祭當中
[00:00:44.200 --> 00:00:46.800]  當以色列人來求問神說
[00:00:46.800 --> 00:00:51.000]  我們中間誰首先要去攻打加納人
[00:00:51.000 --> 00:00:52.900]  與他們來征戰呢
[00:00:52.900 --> 00:00:54.800]  四司祭第一章第二節
[00:00:54.800 --> 00:00:56.300]  神回答他們說
[00:00:56.300 --> 00:00:59.100]  耶和華說猶大當先上去
[00:00:59.100 --> 00:01:02.700]  我已將納帝交在他的手中
[00:01:02.700 --> 00:01:04.500]  爲什麼是猶大呢
[00:01:04.500 --> 00:01:06.800]  因爲猶大的意思
[00:01:06.800 --> 00:01:09.400]  就是讚美神的意思
[00:01:09.400 --> 00:01:10.000]  換句話說
[00:01:10.000 --> 00:01:13.800]  神說你們應當先來讚美神
[00:01:13.800 --> 00:01:16.300]  因爲一開始我們讚美神的時候
[00:01:16.300 --> 00:01:18.200]  神就要爲我們興起
[00:01:18.200 --> 00:01:20.600]  來爲我們征戰
[00:01:20.600 --> 00:01:23.400]  特別是當我們面對這新的一年
[00:01:23.400 --> 00:01:26.700]  有這麼多未得之地擺在我們面前
[00:01:26.700 --> 00:01:28.800]  有這麼多新的領域
[00:01:28.800 --> 00:01:31.300]  等着我們爲主來得着
[00:01:31.300 --> 00:01:32.500]  我相信我們心中
[00:01:32.500 --> 00:01:35.300]  跟當年以色列人同樣有這樣的疑問
[00:01:35.300 --> 00:01:36.000]  那就是主啊
[00:01:36.000 --> 00:01:38.400]  我們應當有怎麼樣的策略
[00:01:38.400 --> 00:01:40.200]  才能夠在這未來一年裏
[00:01:40.200 --> 00:01:43.000]  爲你得地爲業呢
[00:01:43.000 --> 00:01:46.800]  很多時候我們左想右想拼命想
[00:01:46.800 --> 00:01:50.200]  可是主今天要很清楚很簡單的對我們說
[00:01:50.200 --> 00:01:53.200]  應當先來讚美神
[00:01:53.200 --> 00:01:54.100]  Amen
[00:01:54.100 --> 00:01:55.600]  跟你們說當先來讚美神
[00:01:55.600 --> 00:01:57.900]  跟他說
[00:01:57.900 --> 00:01:58.400]  換句話說
[00:01:58.400 --> 00:02:01.500]  卸下你一切的重擔吧
[00:02:01.500 --> 00:02:02.900]  敞開你的心
[00:02:02.900 --> 00:02:05.400]  重新來仰望神吧
[00:02:05.400 --> 00:02:07.300]  因爲征戰勝敗
[00:02:07.300 --> 00:02:09.300]  本來不在乎我們嘛
[00:02:09.300 --> 00:02:13.300]  征戰勝敗本來就在乎耶和華自己
[00:02:13.300 --> 00:02:14.600]  Amen
[00:02:14.600 --> 00:02:15.600]  但當然另一方面
[00:02:15.600 --> 00:02:17.100]  當神來工作的時候
[00:02:17.100 --> 00:02:20.900]  神是要尋找合用的器皿
[00:02:20.900 --> 00:02:22.800]  就像火一樣
[00:02:22.800 --> 00:02:24.700]  當火要燃燒的時候
[00:02:24.700 --> 00:02:27.800]  它需要有好的木材
[00:02:27.800 --> 00:02:29.200]  有好的木材
[00:02:29.200 --> 00:02:31.700]  這個火才能夠燒得久
[00:02:31.700 --> 00:02:33.600]  才能燒得旺
[00:02:33.600 --> 00:02:37.700]  同樣我看見今天神何等樂意在我們中間
[00:02:37.700 --> 00:02:40.200]  降下復興的火焰
[00:02:40.200 --> 00:02:42.800]  來成就他自己的工作
[00:02:42.800 --> 00:02:43.700]  我深深地相信
[00:02:43.700 --> 00:02:47.700]  第二年今年是一個充滿極大祝福的一年
[00:02:47.700 --> 00:02:51.500]  神的心意是要在祂所賜給我們每一個領域裏面
[00:02:51.500 --> 00:02:54.000]  向左向右來擴展
[00:02:54.000 --> 00:02:55.100]  Amen
[00:02:55.100 --> 00:02:58.000]  求主就幫助我們在這一年裏面
[00:02:58.000 --> 00:03:02.400]  讓我們預備好我們自己成爲一個合用的器皿
[00:03:02.400 --> 00:03:03.100]  換句話說
[00:03:03.100 --> 00:03:07.000]  要成爲一個毅然的木材
[00:03:07.000 --> 00:03:09.600]  當神的火降臨在我們中間的時候
[00:03:09.600 --> 00:03:11.000]  我們準備好
[00:03:11.000 --> 00:03:13.100]  是一根好的木材
[00:03:13.100 --> 00:03:15.400]  讓神靈火能夠燃燒
[00:03:15.400 --> 00:03:17.800]  使神的國度能夠擴展
[00:03:17.800 --> 00:03:18.700]  Amen
[00:03:18.700 --> 00:03:21.200]  今天早上要跟他三方面來講
[00:03:21.200 --> 00:03:23.100]  怎麼樣能夠在神的國裏面
[00:03:23.100 --> 00:03:27.400]  成爲一個神國毅然的好木材呢
[00:03:27.400 --> 00:03:28.600]  三方面
[00:03:28.600 --> 00:03:29.800]  第一個
[00:03:29.800 --> 00:03:33.100]  一定要有永不衰殘的信心
[00:03:33.100 --> 00:03:37.700]  跟你們說要有永不衰殘的信心
[00:03:37.700 --> 00:03:39.800]  一個能被神所使用的人
[00:03:39.800 --> 00:03:42.600]  必須是要有信心的人
[00:03:42.600 --> 00:03:44.400]  希伯來書十一章第六節說
[00:03:44.400 --> 00:03:47.400]  人非有信就不能得神的喜悅
[00:03:47.400 --> 00:03:49.900]  因爲到神面前來必須信有神
[00:03:49.900 --> 00:03:54.300]  且信他賞賜那尋求他的人
[00:03:54.300 --> 00:03:56.300]  不但是要有信心
[00:03:56.300 --> 00:04:00.100]  而且要永不衰殘的信心
[00:04:00.100 --> 00:04:02.600]  因爲很多時候環境是會改變
[00:04:02.600 --> 00:04:04.700]  人情是會改變
[00:04:04.700 --> 00:04:06.900]  很多人一看見環境改變
[00:04:06.900 --> 00:04:08.400]  看見事情的發展
[00:04:08.400 --> 00:04:11.100]  並不像自己所想象的
[00:04:11.100 --> 00:04:13.900]  就很容易失去了信心
[00:04:13.900 --> 00:04:15.800]  但一個能夠被神所使用的人
[00:04:15.800 --> 00:04:18.700]  必須要有一種永不衰殘的信心
[00:04:18.700 --> 00:04:20.600]  這個永不衰殘的信心
[00:04:20.600 --> 00:04:23.500]  不是建立在你自己的感覺上
[00:04:23.500 --> 00:04:27.000]  也不是建立在你自己的毅力上
[00:04:27.000 --> 00:04:28.600]  這個永不衰殘的信心
[00:04:28.600 --> 00:04:32.100]  必須是建立在神的應許上
[00:04:32.100 --> 00:04:33.400]  你們
[00:04:33.400 --> 00:04:35.000]  你知道每次過年的時候
[00:04:35.000 --> 00:04:37.300]  我們中國人總是喜歡彼此的祝福
[00:04:37.300 --> 00:04:40.100]  我們總喜歡說心想事成
[00:04:40.100 --> 00:04:40.900]  我們喜歡這句話
[00:04:40.900 --> 00:04:41.900]  覺得這句話真好聽
[00:04:41.900 --> 00:04:44.300]  我們覺得也很喜歡這句話
[00:04:44.300 --> 00:04:45.200]  但作爲一個基督徒
[00:04:45.200 --> 00:04:46.800]  我很遺憾地要告訴你
[00:04:46.800 --> 00:04:49.400]  這不是神祝福的原則
[00:04:49.400 --> 00:04:52.700]  聖經從來沒有告訴我們心想事成
[00:04:52.700 --> 00:04:54.300]  聖經很清楚地告訴我們
[00:04:54.300 --> 00:04:56.300]  神所應許的
[00:04:56.300 --> 00:04:59.300]  他必成就
[00:04:59.300 --> 00:05:01.400]  無論從人的角度來講
[00:05:01.400 --> 00:05:03.200]  是多麼的不可能
[00:05:03.200 --> 00:05:05.200]  但在人不能
[00:05:05.200 --> 00:05:08.400]  在神凡他所應許的
[00:05:08.400 --> 00:05:10.600]  必定要做成
[00:05:10.600 --> 00:05:13.300]  一個永不衰殘的信心
[00:05:13.300 --> 00:05:17.700]  就是建立在神永不改變的應許上
[00:05:17.700 --> 00:05:18.900]  你們
[00:05:18.900 --> 00:05:21.300]  就像亞伯拉罕一樣
[00:05:21.300 --> 00:05:24.000]  舊約的亞伯拉罕被稱爲信心之父
[00:05:24.000 --> 00:05:25.200]  爲什麼
[00:05:25.200 --> 00:05:28.600]  就是因爲他有一個永不衰殘的信心
[00:05:28.600 --> 00:05:30.900]  當神應許給亞伯拉罕
[00:05:30.900 --> 00:05:33.300]  給他一個應許之地的時候
[00:05:33.300 --> 00:05:36.800]  聖經說當他離開他的家鄉要往前走
[00:05:36.800 --> 00:05:40.000]  他到哪裏去他都不知道
[00:05:40.000 --> 00:05:45.600]  換句話說他根本不知道那塊地在哪裏
[00:05:45.600 --> 00:05:47.800]  事實上在亞伯拉罕一生當中
[00:05:47.800 --> 00:05:50.600]  請問他有沒有得到這塊地
[00:05:50.600 --> 00:05:51.400]  沒有
[00:05:51.400 --> 00:05:55.300]  在他一生當中根本沒有得到這塊地
[00:05:55.300 --> 00:05:58.000]  希伯來書十一章第九節怎麼說呢
[00:05:58.000 --> 00:06:00.100]  但他因着信
[00:06:00.100 --> 00:06:02.400]  就在所應許之地作客
[00:06:02.400 --> 00:06:04.900]  好像在異地居住帳篷
[00:06:04.900 --> 00:06:10.200]  與那同盟一個應許的以薩雅各一樣
[00:06:10.200 --> 00:06:11.300]  這裏說的是什麼
[00:06:11.300 --> 00:06:12.400]  這裏所說的
[00:06:12.400 --> 00:06:16.400]  不但是亞伯拉罕一生沒有得到這塊地
[00:06:16.400 --> 00:06:19.500]  甚至他的兒子以薩
[00:06:19.500 --> 00:06:22.600]  他的孫子雅各也都沒有得到
[00:06:22.600 --> 00:06:24.500]  他們只是同盟一個應許
[00:06:24.500 --> 00:06:27.100]  憑着信心三代都沒有得到
[00:06:27.100 --> 00:06:28.500]  哇 我每次讀到聖經就覺得
[00:06:28.500 --> 00:06:30.000]  哇 一生已經夠久了
[00:06:30.000 --> 00:06:32.300]  一輩子夠久了
[00:06:32.300 --> 00:06:33.300]  一輩子沒得到
[00:06:33.300 --> 00:06:35.000]  我們做中國父母總是想
[00:06:35.000 --> 00:06:36.100]  如果這輩子沒得到
[00:06:36.100 --> 00:06:37.900]  我下一個孩子
[00:06:37.900 --> 00:06:40.000]  我的下一代能夠得到也很好
