
[00:00:00.000 --> 00:00:04.500]  各位尖沙咀浸信會青少年崇拜的弟兄姊妹
[00:00:04.500 --> 00:00:06.000]  主女們平安
[00:00:06.000 --> 00:00:11.000]  今天有機會和大家分享一個題目
[00:00:11.000 --> 00:00:14.000]  是「識飲識食」
[00:00:14.000 --> 00:00:16.000]  可能大家會覺得很奇怪
[00:00:16.000 --> 00:00:18.000]  為什麼會用這個題目呢?
[00:00:18.000 --> 00:00:22.000]  因為我們去看回舊約的聖經
[00:00:22.000 --> 00:00:24.000]  摩西五經裡面
[00:00:24.000 --> 00:00:27.000]  根據一些注釋書來說
[00:00:27.000 --> 00:00:35.000]  有超過六百次去談及食物或飲食
[00:00:35.000 --> 00:00:37.000]  而在利未記裡面
[00:00:37.000 --> 00:00:42.000]  跟食物相關的經文
[00:00:42.000 --> 00:00:46.000]  超過六十次
[00:00:46.000 --> 00:00:50.000]  我們相信這個題目
[00:00:50.000 --> 00:00:52.000]  有關飲食
[00:00:52.000 --> 00:00:57.000]  其實是聖經裡面其中一個重要的教導
[00:00:57.000 --> 00:00:59.000]  願意透過今天的分享
[00:00:59.000 --> 00:01:01.000]  我們一同學習
[00:01:01.000 --> 00:01:05.000]  神所關注的不只是食物
[00:01:05.000 --> 00:01:09.000]  更加是關注進食的人
[00:01:09.000 --> 00:01:13.000]  我們開始去同心、去祈禱
[00:01:13.000 --> 00:01:16.000]  親愛的主耶穌基督
[00:01:16.000 --> 00:01:17.000]  神的獨生兒子
[00:01:17.000 --> 00:01:20.000]  求主施恩賀領這個罪人
[00:01:20.000 --> 00:01:23.000]  願意在主祢面前來施搭
[00:01:23.000 --> 00:01:25.000]  這個不服的人
[00:01:25.000 --> 00:01:27.000]  主耶穌基督的補血
[00:01:27.000 --> 00:01:29.000]  再一次洗淨孩子的罪
[00:01:29.000 --> 00:01:36.000]  容讓神使用孩子成為神話語的出口
[00:01:36.000 --> 00:01:40.000]  容讓每一個來聆聽主恩言的人
[00:01:40.000 --> 00:01:42.000]  我們都能夠去蒙主
[00:01:42.000 --> 00:01:45.000]  來啟發、來受教
[00:01:45.000 --> 00:01:47.000]  能夠進入真理
[00:01:47.000 --> 00:01:48.000]  願意將以下的環節
[00:01:48.000 --> 00:01:51.000]  教堂、仰望、祈禱、禮奉
[00:01:51.000 --> 00:01:53.000]  耶穌的聖名祈求
[00:01:53.000 --> 00:01:55.000]  阿們
[00:01:55.000 --> 00:01:58.000]  懂得飲食的時間
[00:01:58.000 --> 00:02:03.000]  自然會講到食材的問題
[00:02:03.000 --> 00:02:08.000]  今天我們現代人很關注飲食
[00:02:08.000 --> 00:02:10.000]  下一張圖片
[00:02:10.000 --> 00:02:13.000]  我們怎樣去關注呢?
[00:02:13.000 --> 00:02:16.000]  我們就說衡量食物的準則
[00:02:16.000 --> 00:02:18.000]  第一
[00:02:18.000 --> 00:02:20.000]  好不好吃
[00:02:20.000 --> 00:02:23.000]  我的兒子也會這樣
[00:02:23.000 --> 00:02:25.000]  當他吃飯的時候
[00:02:25.000 --> 00:02:33.000]  他也會過來控制我的食物
[00:02:33.000 --> 00:02:35.000]  他聞完之後覺得
[00:02:35.000 --> 00:02:37.000]  嗯~
[00:02:37.000 --> 00:02:39.000]  一聲就說
[00:02:39.000 --> 00:02:41.000]  這碟東西他就不會吃了
[00:02:41.000 --> 00:02:43.000]  聞完之後他覺得
[00:02:43.000 --> 00:02:46.000]  你試一下吧
[00:02:46.000 --> 00:02:48.000]  他就像貓咪一樣說
[00:02:48.000 --> 00:02:51.000]  這味道很可怕
[00:02:51.000 --> 00:02:52.000]  他聞一聞就說
[00:02:52.000 --> 00:02:54.000]  我不吃了
[00:02:54.000 --> 00:02:57.000]  或者衡量食物的準則就是
[00:02:57.000 --> 00:02:59.000]  自肥的指數
[00:02:59.000 --> 00:03:04.000]  去看到煎炸的東西不好吃
[00:03:04.000 --> 00:03:08.000]  或者是高糖、高鹽的東西不好吃
[00:03:08.000 --> 00:03:11.000]  今天我們也會說要吃得健康
[00:03:11.000 --> 00:03:13.000]  有些人去食肆的時候
[00:03:13.000 --> 00:03:17.000]  那些食物都會說多少卡路里
[00:03:17.000 --> 00:03:21.000]  甚至今天我們去超市買東西
[00:03:21.000 --> 00:03:24.000]  都會寫到這個食物
[00:03:24.000 --> 00:03:27.000]  或者要翻熱的食物
[00:03:27.000 --> 00:03:32.000]  都會說這個包裝裡面含多少卡路里
[00:03:32.000 --> 00:03:34.000]  或者好像《食經》所說
[00:03:34.000 --> 00:03:36.000]  不時不食
[00:03:36.000 --> 00:03:38.000]  衡量食物的準則就說
[00:03:38.000 --> 00:03:41.000]  這個是不是當做的
[00:03:41.000 --> 00:03:44.000]  是不是一個適合的時間
[00:03:44.000 --> 00:03:49.000]  有些食物可能在市面上都看到的
[00:03:49.000 --> 00:03:53.000]  不過你會覺得不當做就不好吃
[00:03:53.000 --> 00:03:57.000]  或者可能你會覺得在街市裡面都會買到豆苗的
[00:03:57.000 --> 00:04:00.000]  不過可能這個時間不是很適當
[00:04:00.000 --> 00:04:04.000]  但是你買到也不是最好吃
[00:04:04.000 --> 00:04:06.000]  就說有些人說
[00:04:06.000 --> 00:04:08.000]  衡量食物的準則
[00:04:08.000 --> 00:04:10.000]  是不時不食
[00:04:10.000 --> 00:04:12.000]  到底在《利未記》
[00:04:12.000 --> 00:04:17.000]  怎樣去看食物是否可以吃呢?
[00:04:17.000 --> 00:04:20.000]  在《利未記》第十一章
[00:04:20.000 --> 00:04:23.000]  一到八節有這樣說
[00:04:23.000 --> 00:04:26.000]  耶和華對摩西亞倫說
[00:04:26.000 --> 00:04:28.000]  你們曉如以色人說
[00:04:28.000 --> 00:04:35.000]  在地上一切走獸中可吃的乃是這些
[00:04:35.000 --> 00:04:37.000]  凡提昏兩反
[00:04:37.000 --> 00:04:39.000]  倒著的走獸
[00:04:39.000 --> 00:04:41.000]  你們都可以吃
[00:04:41.000 --> 00:04:47.000]  但倒著或分體之中不可吃的乃是
[00:04:47.000 --> 00:04:49.000]  駱駝
[00:04:49.000 --> 00:04:51.000]  因為倒著不分體
[00:04:51.000 --> 00:04:54.000]  就與你們不結正
[00:04:54.000 --> 00:04:56.000]  沙斑
[00:04:56.000 --> 00:04:58.000]  因為倒著不分體
[00:04:58.000 --> 00:05:01.000]  就與你們不結正
[00:05:01.000 --> 00:05:03.000]  兔子
[00:05:03.000 --> 00:05:06.000]  因為倒著不分體
[00:05:06.000 --> 00:05:09.000]  就與你們不結正
[00:05:09.000 --> 00:05:10.000]  豬
[00:05:10.000 --> 00:05:12.000]  因為提昏兩反
[00:05:12.000 --> 00:05:14.000]  卻不倒著
[00:05:14.000 --> 00:05:16.000]  就與你們不結正
[00:05:16.000 --> 00:05:18.000]  這些獸的肉
[00:05:18.000 --> 00:05:20.000]  你們不可吃
[00:05:20.000 --> 00:05:23.000]  死的你們不可沒
[00:05:23.000 --> 00:05:26.000]  都與你們不結正
[00:05:26.000 --> 00:05:29.000]  水中可吃的乃是這些
[00:05:29.000 --> 00:05:33.000]  凡在水裡、海裡、河裡
[00:05:33.000 --> 00:05:35.000]  有刺、有鱗的
[00:05:35.000 --> 00:05:37.000]  都可以吃
[00:05:37.000 --> 00:05:39.000]  凡在海裡、河裡
[00:05:39.000 --> 00:05:41.000]  並一切水裡
[00:05:41.000 --> 00:05:43.000]  游動的活物
[00:05:43.000 --> 00:05:45.000]  無刺、無鱗的
[00:05:45.000 --> 00:05:48.000]  你們都以為可爭
[00:05:48.000 --> 00:05:50.000]  這些食物
[00:05:50.000 --> 00:05:53.000]  這些無刺、無鱗、無鱗
[00:05:53.000 --> 00:05:55.000]  以為可爭的
[00:05:55.000 --> 00:05:58.000]  你們不可吃它的肉
[00:05:58.000 --> 00:06:01.000]  死的也當以為可爭
[00:06:01.000 --> 00:06:04.000]  凡水裡無刺、無鱗的
[00:06:04.000 --> 00:06:08.000]  你們當以為可爭
[00:06:08.000 --> 00:06:12.000]  神來到利美記講到
[00:06:12.000 --> 00:06:14.000]  這些食物
[00:06:14.000 --> 00:06:16.000]  簡單來說
[00:06:16.000 --> 00:06:21.000]  在第二節
[00:06:21.000 --> 00:06:23.000]  在第二節利美記
[00:06:23.000 --> 00:06:29.000]  將三節時間提分兩反賭著的走獸
[00:06:29.000 --> 00:06:32.000]  你們都可以吃
[00:06:32.000 --> 00:06:34.000]  第九節講到
[00:06:34.000 --> 00:06:38.000]  水中可吃的乃是這些
[00:06:38.000 --> 00:06:43.000]  凡在水裡、海裡、河裡
[00:06:43.000 --> 00:06:46.000]  有刺、有鱗的
[00:06:46.000 --> 00:06:48.000]  都可以吃
[00:06:48.000 --> 00:06:50.000]  因應這段聖經
[00:06:50.000 --> 00:06:54.000]  聖經有很多解經家解釋
