
[00:00:00.000 --> 00:00:11.000]  今日我會繼續和大家講關於耶穌是誰的題目
[00:00:11.000 --> 00:00:15.000]  上一次我是講上一段的經文
[00:00:15.000 --> 00:00:19.000]  是講耶穌和祂幾個的門徒
[00:00:19.000 --> 00:00:24.000]  在加利利海裏面遇到暴風浪
[00:00:24.000 --> 00:00:27.000]  船幾乎要沉的時候
[00:00:27.000 --> 00:00:30.000]  耶穌起來斥責風和海
[00:00:30.000 --> 00:00:34.000]  風浪就被耶穌平靜了
[00:00:34.000 --> 00:00:38.000]  那些門徒親眼看見耶穌
[00:00:38.000 --> 00:00:42.000]  用祂的能力能夠平靜風浪
[00:00:42.000 --> 00:00:46.000]  他們很驚奇耶穌的能力
[00:00:46.000 --> 00:00:52.000]  你可以說他們很厲害
[00:00:52.000 --> 00:00:54.000]  但是每個人只是張開嘴巴
[00:00:54.000 --> 00:00:58.000]  就說不出耶穌是誰
[00:00:58.000 --> 00:01:01.000]  意思是他們還不知道
[00:01:01.000 --> 00:01:06.000]  耶穌背後的身份是什麼
[00:01:06.000 --> 00:01:10.000]  你想想跟隨耶穌的門徒
[00:01:10.000 --> 00:01:14.000]  不知道他們的主人的身份
[00:01:14.000 --> 00:01:17.000]  但是諷刺的話
[00:01:17.000 --> 00:01:20.000]  就是今天這段經文告訴我們
[00:01:20.000 --> 00:01:22.000]  那些污鬼一見到耶穌
[00:01:22.000 --> 00:01:29.000]  他馬上就知道耶穌是神的兒子
[00:01:29.000 --> 00:01:32.000]  我相信大家在座之中
[00:01:32.000 --> 00:01:37.000]  應該知道耶穌就是神的兒子
[00:01:37.000 --> 00:01:40.000]  但是我的問題想問的是
[00:01:40.000 --> 00:01:45.000]  你知道神的兒子的性情嗎?
[00:01:45.000 --> 00:01:49.000]  他的能力去到哪裡?
[00:01:49.000 --> 00:01:53.000]  上幾堂的講道一直不斷講他的能力
[00:01:53.000 --> 00:01:55.000]  他可以醫治疾病
[00:01:55.000 --> 00:02:01.000]  他可以呼風喚雨
[00:02:01.000 --> 00:02:04.000]  大自然都受他控制
[00:02:04.000 --> 00:02:08.000]  今天會說他能夠掌管
[00:02:08.000 --> 00:02:14.000]  甚至邪靈污鬼都要屈服在他的權能之下
[00:02:14.000 --> 00:02:15.000]  你知道了
[00:02:15.000 --> 00:02:18.000]  當你知道耶穌有這樣的能力
[00:02:18.000 --> 00:02:21.000]  他的性情
[00:02:21.000 --> 00:02:23.000]  我們應該怎樣回應呢?
[00:02:23.000 --> 00:02:27.000]  應該怎樣做才是更加對我們有益有福呢?
[00:02:27.000 --> 00:02:31.000]  這個也是我今天想跟大家分享的訊息
[00:02:31.000 --> 00:02:43.000]  怎樣去回應耶穌是神的兒子呢?
[00:02:43.000 --> 00:02:51.000]  我們先看馬太福音8章第28節
[00:02:51.000 --> 00:02:57.000]  這一節如果我用口述去演繹
[00:02:57.000 --> 00:03:00.000]  耶穌平靜了風浪之後
[00:03:00.000 --> 00:03:03.000]  船繼續航行
[00:03:03.000 --> 00:03:09.000]  去到加利利海的東面拍岸
[00:03:09.000 --> 00:03:14.000]  那一帶是加大拉人的地區
[00:03:14.000 --> 00:03:19.000]  而近岸邊有一個較為大的城市叫做格拉森
[00:03:19.000 --> 00:03:24.000]  在馬太福音裡用這個名字
[00:03:24.000 --> 00:03:29.000]  啟導本聖經裡有一些輔助資料
[00:03:29.000 --> 00:03:33.000]  在現代以色列的格拉森附近
[00:03:33.000 --> 00:03:36.000]  的確找到有墳場
[00:03:36.000 --> 00:03:43.000]  和附近也有一個很陡峭的山崖
[00:03:43.000 --> 00:03:48.000]  耶穌和門徒一上岸
[00:03:48.000 --> 00:03:52.000]  馬上就有兩個被鬼附的人
[00:03:52.000 --> 00:03:57.000]  被鬼附即是我們中國人說的有鬼上身的人
[00:03:57.000 --> 00:04:00.000]  有兩個人馬上迎面而來
[00:04:00.000 --> 00:04:03.000]  這兩個人是很可怕的
[00:04:03.000 --> 00:04:04.000]  面目猙獰
[00:04:04.000 --> 00:04:09.000]  而且他們會用暴力來襲擊途人
[00:04:09.000 --> 00:04:13.000]  所以那條路從來都沒有人夠膽經過
[00:04:13.000 --> 00:04:18.000]  或者不可能經過那條路
[00:04:18.000 --> 00:04:23.000]  這兩個人很可能一早就在山崖上
[00:04:23.000 --> 00:04:26.000]  或者說在山坡上
[00:04:26.000 --> 00:04:28.000]  看到海裡的情況
[00:04:28.000 --> 00:04:31.000]  他們看到海裡發生暴風浪
[00:04:31.000 --> 00:04:36.000]  也聽到耶穌呼喝風浪
[00:04:36.000 --> 00:04:44.000]  然後風浪就平靜了
[00:04:44.000 --> 00:04:47.000]  當他們看到這個情景的時候
[00:04:47.000 --> 00:04:52.000]  他們心裡一定會有一個思想
[00:04:52.000 --> 00:05:01.000]  這個人竟然有能力平靜風浪
[00:05:01.000 --> 00:05:06.000]  大自然的能力都要向他屈服
[00:05:06.000 --> 00:05:09.000]  會不會這個人的能力可以幫助我們
[00:05:09.000 --> 00:05:16.000]  去解除我們被鬼附的那種痛苦呢
[00:05:16.000 --> 00:05:24.000]  所以他們滿懷希望期待這個人會來到他們這邊
[00:05:24.000 --> 00:05:29.000]  所以當耶穌的腳一踏上岸
[00:05:29.000 --> 00:05:37.000]  這兩個人馬上就跑去求耶穌
[00:05:37.000 --> 00:05:40.000]  我們看廿九節
[00:05:40.000 --> 00:05:42.000]  他們喊著說
[00:05:42.000 --> 00:05:45.000]  神的兒子我們與你有什麼相干
[00:05:45.000 --> 00:05:47.000]  還沒有到你就上來
