
[00:00:00.000 --> 00:00:06.180]  我和大家要看一看一個很出名的事件
[00:00:06.180 --> 00:00:11.040]  就是埃及經歷的十個災禍
[00:00:11.040 --> 00:00:18.320]  為何上帝要將十個災禍降給埃及呢?
[00:00:18.320 --> 00:00:21.120]  我們要回到上星期
[00:00:21.120 --> 00:00:25.160]  江維明牧師和我們看到出埃及的第五、第六章
[00:00:25.160 --> 00:00:28.320]  我知道大家可能已經忘記了
[00:00:28.320 --> 00:00:30.600]  有一個很快的重溫
[00:00:30.600 --> 00:00:35.560]  摩西和阿倫奉命去到法老那裏
[00:00:35.560 --> 00:00:37.560]  要求他釋放以色列人
[00:00:37.560 --> 00:00:40.440]  法老不答應
[00:00:40.440 --> 00:00:44.760]  不但不答應還加倍的苦待他們
[00:00:44.760 --> 00:00:47.520]  以色列人就向摩西埋怨
[00:00:47.520 --> 00:00:50.400]  摩西就向上帝哀求
[00:00:50.400 --> 00:00:52.400]  上帝對摩西說
[00:00:52.400 --> 00:00:56.040]  第六章說要看我施行我的蚌臂
[00:00:56.040 --> 00:00:57.640]  伸展我的蚌臂
[00:00:57.640 --> 00:01:00.120]  向埃及人施行我的大能
[00:01:00.120 --> 00:01:02.120]  他們就會釋放他們
[00:01:02.120 --> 00:01:07.920]  這十個災禍是上帝向埃及人施行
[00:01:07.920 --> 00:01:10.400]  以致他回心轉意
[00:01:10.400 --> 00:01:18.320]  其實你看這十個災禍真是慘不忍睹
[00:01:18.320 --> 00:01:21.480]  為何上帝會這樣做呢?
[00:01:21.480 --> 00:01:24.360]  其實這件事後面
[00:01:24.360 --> 00:01:28.080]  我們看到上帝的一些屬性
[00:01:28.080 --> 00:01:30.080]  我們看到祂的大能
[00:01:30.080 --> 00:01:32.080]  祂的主權
[00:01:32.080 --> 00:01:35.160]  祂的公義
[00:01:35.160 --> 00:01:37.720]  祂的慈愛
[00:01:37.720 --> 00:01:41.800]  我特別看到和感受到的
[00:01:41.800 --> 00:01:43.800]  就是上帝的忍耐
[00:01:43.800 --> 00:01:46.800]  忍耐真的很厲害
[00:01:46.800 --> 00:01:51.560]  今天我們要在這段故事裏看到上帝的一些屬性
[00:01:51.560 --> 00:01:54.640]  亦要看看我們怎樣回應上帝
[00:01:54.640 --> 00:01:59.880]  這個故事對我們有甚麼提醒和幫助呢?
[00:01:59.880 --> 00:02:03.360]  這是一個很精彩的故事
[00:02:03.360 --> 00:02:08.080]  我想提一提
[00:02:08.080 --> 00:02:11.560]  埃及的歷史是沒有記載這十災
[00:02:11.560 --> 00:02:14.200]  為甚麼呢?
[00:02:14.200 --> 00:02:17.000]  如果你是法老王你也不會記載
[00:02:17.000 --> 00:02:22.560]  因為很糟糕,最後所有軍隊都被埋在水裏
[00:02:22.560 --> 00:02:27.440]  埃及的歷史家和我們中國每個朝代都差不多
[00:02:27.440 --> 00:02:30.160]  對皇帝不好的就不記載
