
[00:00:00.000 --> 00:00:09.000]  《聖經》記載了許多重要的人物,值得我們敬仰,亦是上帝祝福的。
[00:00:09.000 --> 00:00:15.000]  但是《聖經》裏面有一個人,是非常特別,這個人就是雅各。
[00:00:15.000 --> 00:00:17.000]  我們今天要繼續看雅各。
[00:00:17.000 --> 00:00:23.000]  大家在上次兩篇道裏都聽過,雅各是一個詭詐的人,
[00:00:23.000 --> 00:00:32.000]  他用計謀奪取了哥哥長子的名份,騙了爸爸,為了得著祝福。
[00:00:32.000 --> 00:00:38.000]  如果你問我,是願意和雅各做朋友,還是和二數做朋友呢?
[00:00:38.000 --> 00:00:44.000]  我會選擇二數,因為他明槍明刀,起碼不會騙我。
[00:00:44.000 --> 00:00:49.000]  但是問題就來了,上帝為什麼要祝福雅各呢?
[00:00:49.000 --> 00:00:53.000]  他有什麼值得上帝愛的地方呢?
[00:00:53.000 --> 00:00:58.000]  這個問題很重要,和我們都有很密切的關係。
[00:00:58.000 --> 00:01:01.000]  今天我們來思考這個問題。
[00:01:01.000 --> 00:01:05.000]  首先我們認清楚雅各這個人是怎樣的。
[00:01:05.000 --> 00:01:12.000]  《聖經》告訴我們,他的哥哥二數喜歡打獵,喜歡野外生活,
[00:01:12.000 --> 00:01:20.000]  但是雅各喜歡住在帳棚裏面,如果你看二十五章二十七節,就說住在帳棚裏面。
[00:01:20.000 --> 00:01:23.000]  可以說雅各是一個宅男。
[00:01:23.000 --> 00:01:27.000]  《聖經》記載,有一天二數倒臥,
[00:01:27.000 --> 00:01:33.000]  雅各乘人之危,用一碗紅豆湯換了長子的名份。
[00:01:33.000 --> 00:01:41.000]  後來他的爸爸以薩年紀老了,以為自己快要過世,
[00:01:41.000 --> 00:01:44.000]  就要特別為二數祝福。
[00:01:44.000 --> 00:01:53.000]  雅各就和他媽媽聯手,騙了爸爸,將二數的祝福拿走了。
[00:01:53.000 --> 00:01:59.000]  從這個背景裏面,我們看到雅各其實是一個自私和詭詐的人。
[00:01:59.000 --> 00:02:02.000]  二數知道自己被騙了就生氣,
[00:02:02.000 --> 00:02:07.000]  就說當我爸爸死的時候,我就要殺我的弟弟雅各。
[00:02:07.000 --> 00:02:14.000]  雅各就離家出走,去他舅父拉班那裏。
[00:02:14.000 --> 00:02:21.000]  那時候雅各的年紀大約是五十到七十歲左右,還沒有結婚。
[00:02:21.000 --> 00:02:30.000]  雅各的壽命是一百四十七年,五十至七十就等於現在的人大約四十歲左右。
[00:02:30.000 --> 00:02:40.000]  有一件事我們可以留意的,就是雅各那時候對上帝的認識其實不是很深。
[00:02:40.000 --> 00:02:44.000]  甚至他不當上帝是自己的神。
[00:02:44.000 --> 00:02:49.000]  如果你從《創世紀》二十七章十九到二十節,
[00:02:49.000 --> 00:02:57.000]  你就看到出來,他找了一些東西給爸爸吃。
[00:02:57.000 --> 00:03:01.000]  二十七章十九節,雅各對他父親說:
[00:03:01.000 --> 00:03:05.000]  「我就是你的長子二叔,你吩咐我所做的,
[00:03:05.000 --> 00:03:10.000]  我已經照樣做了這些野味,你來吃,吃了就為我祝福。」
[00:03:10.000 --> 00:03:13.000]  以撒對他的兒子說:
[00:03:13.000 --> 00:03:17.000]  「兒子,為什麼你這麼快就可以打獵到這些野味回來?」
[00:03:17.000 --> 00:03:19.000]  你留意雅各怎麼回答他?
[00:03:19.000 --> 00:03:26.000]  雅各說:「因為耶和華,你的神叫我碰著好機會。」
[00:03:26.000 --> 00:03:29.000]  但是你有沒有留意到,因為耶和華說:
[00:03:29.000 --> 00:03:34.000]  「爸爸是你的神,他不是說我的神,不是說我們的神。」
[00:03:34.000 --> 00:03:39.000]  所以從第二十節我們看到,其實雅各跟他爸爸講話的時候,
[00:03:39.000 --> 00:03:43.000]  都不當上帝是自己的神。
[00:03:43.000 --> 00:03:46.000]  他跟神的關係不是很密切。
[00:03:46.000 --> 00:03:52.000]  現在雅各出走,去到一個地方,太陽下山,他就睡覺。
[00:03:52.000 --> 00:03:56.000]  聖經記載他做了一個夢,這個夢很特別,我們來看看。
