
[00:00:00.000 --> 00:00:01.800]  教會今年和明年的主題是
[00:00:01.800 --> 00:00:05.000]  「恩賜盡顯 生命成全」
[00:00:05.000 --> 00:00:07.000]  其實甚麼是「恩賜」呢?
[00:00:07.000 --> 00:00:11.000]  「恩賜」跟信徒和教會有甚麼關係呢?
[00:00:11.000 --> 00:00:14.200]  《新日聖經》有好幾處地方提到
[00:00:14.200 --> 00:00:16.500]  「恩賜」的教導
[00:00:16.500 --> 00:00:18.700]  所以上半年我都會花些時間
[00:00:18.700 --> 00:00:21.400]  來講這幾段很重要的經文
[00:00:21.400 --> 00:00:24.200]  下半年或者看看講道的進展如何
[00:00:24.200 --> 00:00:26.400]  其實我很想講聖經的人物
[00:00:26.400 --> 00:00:28.200]  在他們身上
[00:00:28.200 --> 00:00:30.400]  他們不同的個性如何被神使用
[00:00:30.400 --> 00:00:33.400]  但我會先講跟「恩賜」有關的經文
[00:00:33.400 --> 00:00:37.200]  今天我們會看《哥林多前書》第十二章一至十一節
[00:00:37.200 --> 00:00:39.500]  當我們明白「恩賜」是甚麼
[00:00:39.500 --> 00:00:41.400]  並且我們領受「恩賜」
[00:00:41.400 --> 00:00:44.200]  又靠著上帝的恩典我們發揮「恩賜」
[00:00:44.200 --> 00:00:48.000]  我相信我們的生命以至教會會被建立
[00:00:48.000 --> 00:00:50.400]  但如果我們忽略「恩賜」
[00:00:50.400 --> 00:00:54.000]  甚至我們忽略聖靈所賜給我們的「恩賜」
[00:00:54.000 --> 00:00:56.600]  在我們身上所做的不同的工作
[00:00:56.600 --> 00:01:00.000]  其實我們會失去很多的祝福
[00:01:00.000 --> 00:01:01.200]  失去很多的「恩典」
[00:01:01.200 --> 00:01:04.600]  因為聖靈所賜給我們的「恩賜」是很寶貴的
[00:01:04.600 --> 00:01:05.500]  剛才讀的經文
[00:01:05.500 --> 00:01:07.700]  很想大家再重看
[00:01:07.700 --> 00:01:09.500]  不用你讀的 留意一下
[00:01:09.500 --> 00:01:12.000]  我們發現經文有些特點
[00:01:12.000 --> 00:01:13.400]  你跟我們查經就會發現
[00:01:13.400 --> 00:01:15.200]  我們經常會找「重覆」的
[00:01:15.200 --> 00:01:16.900]  在整段經文裏面
[00:01:16.900 --> 00:01:18.400]  重覆得最多的
[00:01:18.400 --> 00:01:21.800]  你剛才讀的時候不知道有沒有發現是甚麼呢?
[00:01:21.800 --> 00:01:22.900]  一至六節告訴我們
[00:01:22.900 --> 00:01:24.000]  你不斷數
[00:01:24.000 --> 00:01:27.300]  經常說屬靈、神的靈、聖靈
[00:01:27.300 --> 00:01:28.500]  第七至十一節
[00:01:28.500 --> 00:01:29.800]  下一章你會再看到
[00:01:29.800 --> 00:01:33.600]  又說聖靈、又說聖靈、又說聖靈、又說聖靈、又說聖靈
[00:01:33.600 --> 00:01:35.300]  不斷重覆
[00:01:35.300 --> 00:01:36.100]  所以你看到
[00:01:36.100 --> 00:01:38.600]  本來在這段經文的焦點
[00:01:38.600 --> 00:01:40.400]  一定是在說聖靈的工作
[00:01:40.400 --> 00:01:42.100]  說聖靈的是甚麼呢?
[00:01:42.100 --> 00:01:43.900]  我們看第一節就以為
[00:01:43.900 --> 00:01:45.700]  論到屬靈的「恩賜」
[00:01:45.700 --> 00:01:47.200]  我不願意 你們不明白
[00:01:47.200 --> 00:01:48.600]  當然是說「恩賜」
[00:01:48.600 --> 00:01:49.600]  但原來
[00:01:49.600 --> 00:01:52.200]  你知不知道不要只看電子聖經
[00:01:52.200 --> 00:01:54.100]  畫本很重要
[00:01:54.100 --> 00:01:56.600]  第一節的經文告訴你
[00:01:56.600 --> 00:01:58.500]  論到屬靈的
[00:01:58.500 --> 00:01:59.700]  是沒有「恩賜」兩個字的
[00:01:59.700 --> 00:02:01.200]  它有「點點點」
[00:02:01.200 --> 00:02:03.000]  原文是沒有「恩賜」的
[00:02:03.000 --> 00:02:06.200]  只是說論到屬靈的
[00:02:06.200 --> 00:02:07.400]  甚麼呢?
[00:02:07.400 --> 00:02:10.100]  可以說是論到屬靈的人
[00:02:10.100 --> 00:02:12.100]  論到屬靈的事
[00:02:12.100 --> 00:02:14.000]  當然也可以說論到屬靈的「恩賜」
[00:02:14.000 --> 00:02:17.000]  因為第四節開始就真的說「恩賜」
[00:02:17.000 --> 00:02:20.200]  所以保羅在這裡要跟弟兄姊妹說
[00:02:20.200 --> 00:02:22.200]  跟哥林多教會信徒說
[00:02:22.200 --> 00:02:24.200]  是說一些屬靈的事情
[00:02:24.200 --> 00:02:26.200]  特別是說「靈」
[00:02:26.200 --> 00:02:29.000]  在聖經裏經常重複「聖靈」
[00:02:29.000 --> 00:02:30.600]  同樣你看《和本聖經》
[00:02:30.600 --> 00:02:32.700]  都是沒有聖潔的「聖」字
[00:02:32.700 --> 00:02:34.400]  只是說「靈」
[00:02:34.400 --> 00:02:36.800]  不過因為一開始是說「神的靈」
[00:02:36.800 --> 00:02:40.900]  所以你知道「神的靈」當然是「聖靈」
[00:02:40.900 --> 00:02:45.400]  保羅在第一節重複說
[00:02:45.400 --> 00:02:47.100]  論到屬靈的「事」
[00:02:47.100 --> 00:02:49.600]  我不願意 你們不明白
[00:02:49.600 --> 00:02:52.900]  是說雙重的否定句
[00:02:52.900 --> 00:02:54.100]  Double negative
[00:02:54.100 --> 00:02:55.700]  是用一種強調的語氣
[00:02:55.700 --> 00:02:57.300]  即是說我不想你們不知道
[00:02:57.300 --> 00:02:59.400]  即是說我很想你們知道
[00:02:59.400 --> 00:03:01.200]  很想你們知道甚麼呢?
[00:03:01.200 --> 00:03:02.500]  有三件事
[00:03:02.500 --> 00:03:04.500]  在這段經文我會分三點來說
[00:03:04.500 --> 00:03:06.300]  第一
[00:03:06.300 --> 00:03:09.100]  保羅很想哥林多教會的信徒知道
[00:03:09.100 --> 00:03:13.300]  聖靈是信徒身份的驗證者
[00:03:13.300 --> 00:03:14.800]  這是第二第三節
[00:03:14.800 --> 00:03:16.500]  請聽我再讀
[00:03:16.500 --> 00:03:20.300]  你們作外邦人時隨時被牽引
[00:03:20.300 --> 00:03:21.500]  受迷惑
[00:03:21.500 --> 00:03:23.700]  去服侍那啞巴偶像
[00:03:23.700 --> 00:03:25.900]  這是你們知道的
[00:03:25.900 --> 00:03:27.100]  所以我告訴你們
[00:03:27.100 --> 00:03:28.400]  被神的靈感動的
[00:03:28.400 --> 00:03:30.400]  沒有說耶穌是可救助的
[00:03:30.400 --> 00:03:32.500]  若不是被聖靈感動的
[00:03:32.500 --> 00:03:37.200]  也沒有能說耶穌是主的
[00:03:37.200 --> 00:03:38.700]  保羅在這裡說
[00:03:38.700 --> 00:03:41.500]  哥林多信徒從前的光景
[00:03:41.500 --> 00:03:43.400]  他們從前是甚麼人?
[00:03:43.400 --> 00:03:46.400]  他說從前是外邦人
[00:03:46.400 --> 00:03:48.200]  外邦人是甚麼意思呢?
[00:03:48.200 --> 00:03:49.900]  可以從兩個角度去看
[00:03:49.900 --> 00:03:52.200]  第一是從種族的角度
[00:03:52.200 --> 00:03:57.100]  當保羅站在他自己是猶太人的角度時
[00:03:57.100 --> 00:03:59.600]  非猶太人也叫外邦人
[00:03:59.600 --> 00:04:01.300]  我們稱自己為香港人
[00:04:01.300 --> 00:04:03.000]  或稱自己為中國人
[00:04:03.000 --> 00:04:04.800]  站在我們角度來說
[00:04:04.800 --> 00:04:07.800]  在香港或中國以外的
[00:04:07.800 --> 00:04:09.400]  也叫外國人
[00:04:09.400 --> 00:04:11.300]  意思就是外邦人
[00:04:11.300 --> 00:04:14.200]  從一個種族的角度
[00:04:14.200 --> 00:04:16.400]  但這個字可以有另一個意思
[00:04:16.400 --> 00:04:18.000]  從信仰的角度
[00:04:18.000 --> 00:04:20.000]  即非神國的子民
[00:04:20.000 --> 00:04:22.500]  即不是信耶穌的
[00:04:22.500 --> 00:04:24.800]  不是神國子民的
[00:04:24.800 --> 00:04:29.200]  都是外邦人
[00:04:29.200 --> 00:04:31.400]  他說你從前是外邦人
[00:04:31.400 --> 00:04:33.900]  第一他從前的確是非猶太人
[00:04:33.900 --> 00:04:36.800]  第二他從前是未信耶穌的人
[00:04:36.800 --> 00:04:38.300]  未信耶穌的時候他們是怎樣的?
[00:04:38.300 --> 00:04:42.400]  他們隨時被軒然受迷惑
[00:04:42.400 --> 00:04:44.800]  去服侍雅巴偶像
[00:04:44.800 --> 00:04:47.800]  雅巴偶像是不能說話的
[00:04:47.800 --> 00:04:51.300]  當時哥倫多城有很多出名的寺廟
[00:04:51.300 --> 00:04:54.300]  就像香港新界也有很多出名的寺廟
[00:04:54.300 --> 00:04:55.800]  有文武廟
[00:04:55.800 --> 00:04:57.500]  有很多天后廟
