
[00:00:00.000 --> 00:00:03.760]  有很多醫生的字好像鬼話符一樣
[00:00:03.760 --> 00:00:05.440]  看不明白
[00:00:05.440 --> 00:00:07.240]  有個人是看病
[00:00:07.240 --> 00:00:10.000]  醫生開了張藥單給他
[00:00:10.000 --> 00:00:12.920]  他就想都沒想
[00:00:12.920 --> 00:00:15.040]  他就看着藥單
[00:00:15.040 --> 00:00:16.680]  他就看着藥單
[00:00:16.680 --> 00:00:18.160]  他就看着藥單
[00:00:18.160 --> 00:00:19.480]  他就看着藥單
[00:00:19.480 --> 00:00:20.800]  他就看着藥單
[00:00:20.800 --> 00:00:22.040]  他就看着藥單
[00:00:22.040 --> 00:00:23.560]  他就看着藥單
[00:00:23.560 --> 00:00:24.560]  他就看着藥單
[00:00:24.560 --> 00:00:25.560]  他就看着藥單
[00:00:25.560 --> 00:00:26.560]  他就看着藥單
[00:00:26.560 --> 00:00:27.560]  他就看着藥單
[00:00:27.560 --> 00:00:28.560]  他就看着藥單
[00:00:28.560 --> 00:00:29.560]  他就看着藥單
[00:00:29.560 --> 00:00:30.560]  他就看着藥單
[00:00:30.560 --> 00:00:31.560]  他就看着藥單
[00:00:31.560 --> 00:00:32.560]  他就看着藥單
[00:00:32.560 --> 00:00:33.560]  他就看着藥單
[00:00:33.560 --> 00:00:34.560]  他就看着藥單
[00:00:34.560 --> 00:00:35.560]  他就看着藥單
[00:00:35.560 --> 00:00:36.560]  他就看着藥單
[00:00:36.560 --> 00:00:37.560]  他就看着藥單
[00:00:37.560 --> 00:00:38.560]  他就看着藥單
[00:00:38.560 --> 00:00:39.560]  他就看着藥單
[00:00:39.560 --> 00:00:40.560]  他就看着藥單
[00:00:40.560 --> 00:00:41.560]  他就看着藥單
[00:00:41.560 --> 00:00:42.560]  他就看着藥單
[00:00:42.560 --> 00:00:43.560]  他就看着藥單
[00:00:43.560 --> 00:00:44.560]  他就看着藥單
[00:00:44.560 --> 00:00:45.560]  他就看着藥單
[00:00:45.560 --> 00:00:46.560]  他就看着藥單
[00:00:46.560 --> 00:00:47.560]  他就看着藥單
[00:00:47.560 --> 00:00:48.560]  他就看着藥單
[00:00:48.560 --> 00:00:49.560]  他就看着藥單
[00:00:49.560 --> 00:00:50.560]  他就看着藥單
[00:00:50.560 --> 00:01:02.560]  他就看着藥單
[00:01:02.560 --> 00:01:03.560]  他就看着藥單
[00:01:03.560 --> 00:01:04.560]  他就看着藥單
[00:01:04.560 --> 00:01:05.560]  他就看着藥單
[00:01:05.560 --> 00:01:06.560]  他就看着藥單
[00:01:06.560 --> 00:01:07.560]  他就看着藥單
[00:01:07.560 --> 00:01:08.560]  他就看着藥單
[00:01:08.560 --> 00:01:09.560]  他就看着藥單
[00:01:09.560 --> 00:01:10.560]  他就看着藥單
[00:01:10.560 --> 00:01:11.560]  他就看着藥單
[00:01:11.560 --> 00:01:12.560]  他就看着藥單
[00:01:12.560 --> 00:01:13.560]  他就看着藥單
[00:01:13.560 --> 00:01:14.560]  他就看着藥單
[00:01:14.560 --> 00:01:15.560]  他就看着藥單
[00:01:15.560 --> 00:01:16.560]  他就看着藥單
[00:01:16.560 --> 00:01:17.560]  他就看着藥單
[00:01:17.560 --> 00:01:18.560]  他就看着藥單
[00:01:18.560 --> 00:01:19.560]  他就看着藥單
[00:01:19.560 --> 00:01:20.560]  他就看着藥單
[00:01:20.560 --> 00:01:21.560]  他就看着藥單
