
[00:00:00.000 --> 00:00:01.740]  "權柄與抗命"
[00:00:01.740 --> 00:00:03.680]  那麼
[00:00:03.680 --> 00:00:08.340]  很多事情一直不斷在我們旁邊發生
[00:00:08.340 --> 00:00:12.800]  其實我的講道不會是安排了一整年講什麼的
[00:00:12.800 --> 00:00:15.480]  差不多到那個時候
[00:00:15.480 --> 00:00:19.480]  好像覺得是一個廚師預備一些菜
[00:00:19.480 --> 00:00:23.320]  以及看看氣候有什麼菜買來煮
[00:00:23.320 --> 00:00:25.760]  看看大家是需要什麼
[00:00:25.760 --> 00:00:28.720]  以及應該需要什麼
[00:00:28.720 --> 00:00:30.840]  我覺得還是有需要講一講
[00:00:30.840 --> 00:00:35.680]  "權柄與抗命"這個主題
[00:00:35.680 --> 00:00:38.160]  那麼
[00:00:38.160 --> 00:00:41.420]  我會引一些聖經裡面的記載
[00:00:41.420 --> 00:00:44.160]  來幫助大家去思考這個問題
[00:00:44.160 --> 00:00:47.840]  我不想去達到一些很仔細的結論
[00:00:47.840 --> 00:00:51.320]  留下一個空間給大家去思考
[00:00:51.320 --> 00:00:56.880]  第一個我要引的例子就是在舊約裡面
[00:00:56.880 --> 00:00:58.640]  如果有些人不是太熟悉舊約的
[00:00:58.640 --> 00:01:00.400]  就聽我說故事吧
[00:01:00.400 --> 00:01:02.680]  很熟悉的就忍耐一下吧
[00:01:02.680 --> 00:01:08.040]  一個人的聖經是在耶利米書27章8節
[00:01:08.040 --> 00:01:11.320]  耶利米是一個舊約的先知
[00:01:11.320 --> 00:01:16.120]  這個先知在當時以色列國已經分了北國和南國
[00:01:16.120 --> 00:01:20.040]  而那些王很多時候都不遵守神的誡命
[00:01:20.040 --> 00:01:22.240]  犯了一些律法
[00:01:22.240 --> 00:01:25.000]  引至神有很多的懲罰
[00:01:25.000 --> 00:01:27.000]  很多的怒氣等等
[00:01:27.000 --> 00:01:28.840]  南國就好一點
[00:01:28.840 --> 00:01:30.400]  有時候有個王出來
[00:01:30.400 --> 00:01:33.320]  他就會守守神的誡命
[00:01:33.320 --> 00:01:35.080]  回轉歸向神
[00:01:35.080 --> 00:01:38.120]  所以北國很快就滅亡了
[00:01:38.120 --> 00:01:44.560]  而南國就比北國再能夠延續了百多二百年
[00:01:44.560 --> 00:01:46.440]  但是在當時的期間
[00:01:46.440 --> 00:01:48.960]  都是在一個這樣的情況下
[00:01:48.960 --> 00:01:54.800]  那些王和國民很多時候都是做一些事情去得罪神
[00:01:55.480 --> 00:01:59.960]  先知耶利米就在這樣的一個環境下
[00:01:59.960 --> 00:02:02.560]  他帶出了一個神的信息
[00:02:02.560 --> 00:02:06.760]  耶利米向那些人說
[00:02:06.760 --> 00:02:09.160]  原來神興起了一個國
[00:02:09.160 --> 00:02:10.240]  叫做巴比倫
[00:02:10.240 --> 00:02:12.480]  就是在現在的伊拉克那一帶
[00:02:12.480 --> 00:02:14.000]  雙子河流域那一帶
[00:02:14.000 --> 00:02:17.040]  這個國越來越強大
[00:02:17.040 --> 00:02:23.120]  就進佔到以色列地、猶大地周圍的國家
[00:02:23.120 --> 00:02:26.640]  已經有很多周圍的以東
[00:02:26.640 --> 00:02:29.920]  現在以色列的東面
[00:02:29.920 --> 00:02:32.400]  比較近沙漠的國家
[00:02:32.400 --> 00:02:34.080]  已經被他侵佔了
[00:02:34.080 --> 00:02:36.360]  這個時候神的話臨到耶利米
[00:02:36.360 --> 00:02:37.600]  講給耶利米知道
[00:02:37.600 --> 00:02:38.320]  他說
[00:02:38.320 --> 00:02:40.280]  無論哪一邦哪一國
[00:02:40.280 --> 00:02:44.640]  不肯服侍巴比倫王尼布格尼薩
[00:02:44.640 --> 00:02:48.880]  也不把頸鎬放在巴比倫王的握下
[00:02:48.880 --> 00:02:52.640]  我必用刀劍機方迎罰那邦
[00:02:52.640 --> 00:02:56.280]  直到我藉巴比倫王的手將他們毀滅
[00:02:56.280 --> 00:02:57.760]  這是耶和華說的
[00:02:57.760 --> 00:03:02.640]  原來是神興起了巴比倫王
[00:03:02.640 --> 00:03:07.480]  要他去攻打鎮壓所有的列國
[00:03:07.480 --> 00:03:10.720]  而神藉著這個先知告訴他們
[00:03:10.720 --> 00:03:14.040]  你們無論哪一邦哪一國
[00:03:14.040 --> 00:03:18.080]  要服在巴比倫王的手下
[00:03:18.080 --> 00:03:19.480]  順從他
