
[00:00:00.000 --> 00:00:02.420]  我們讀一段聖經
[00:00:02.420 --> 00:00:04.220]  現在我們要讀比較長的這段聖經
[00:00:04.220 --> 00:00:09.060]  在菲利比書第四章第一節到第十三節
[00:00:09.060 --> 00:00:09.700]  保羅在這裡說
[00:00:09.700 --> 00:00:12.460]  我所親愛所想念的弟兄們
[00:00:12.460 --> 00:00:15.360]  你們就是我的喜樂我的冠冕
[00:00:15.360 --> 00:00:16.220]  我親愛的弟兄
[00:00:16.220 --> 00:00:19.320]  你們應當靠主站立的穩
[00:00:19.320 --> 00:00:23.260]  我勸友阿爹和尋督基要在主裡同心
[00:00:23.260 --> 00:00:26.300]  我也求你這真實同父異惡的
[00:00:26.300 --> 00:00:27.960]  幫助這兩個女人
[00:00:27.960 --> 00:00:31.400]  因為他們在福音上承與我一同勞苦
[00:00:31.400 --> 00:00:32.500]  還有格力免
[00:00:32.500 --> 00:00:34.520]  並其餘和我一同做工的
[00:00:34.520 --> 00:00:37.300]  他們的名字都在生命冊上
[00:00:37.300 --> 00:00:38.900]  你們要靠主常常喜樂
[00:00:38.900 --> 00:00:40.820]  我再說你們要喜樂
[00:00:40.820 --> 00:00:43.200]  當教眾人知道你們謙讓的心
[00:00:43.200 --> 00:00:45.100]  足已經盡了
[00:00:45.100 --> 00:00:46.260]  應當一無掛慮
[00:00:46.260 --> 00:00:48.700]  只要凡事皆得禱告祈求和感謝
[00:00:48.700 --> 00:00:51.160]  將你們所要的告訴神
[00:00:51.160 --> 00:00:52.760]  神所賜出人意外的平安
[00:00:52.760 --> 00:00:56.820]  必在基督耶穌裡保守你們的心懷意念
[00:00:56.820 --> 00:00:58.720]  弟兄們我還有未竟的話
[00:00:58.720 --> 00:01:01.820]  凡是真實的可敬的公益的清潔的可愛
[00:01:01.820 --> 00:01:02.960]  有美名的
[00:01:02.960 --> 00:01:05.300]  若有什麼德性若有什麼稱讚
[00:01:05.300 --> 00:01:07.960]  這些事你們都要思念
[00:01:07.960 --> 00:01:10.160]  你們在我身上所學習所領受
[00:01:10.160 --> 00:01:12.020]  所聽見所看見的
[00:01:12.020 --> 00:01:14.000]  這些事你們都要去行
[00:01:14.000 --> 00:01:17.120]  賜平安的神就必與你們同在
[00:01:17.120 --> 00:01:18.520]  我靠主大大的喜樂
[00:01:18.520 --> 00:01:22.100]  因為你們思念我的心如今又發生
[00:01:22.100 --> 00:01:23.860]  你們向來就是思念我
[00:01:23.860 --> 00:01:25.600]  只是沒得機會
[00:01:25.600 --> 00:01:27.600]  我並不是因缺乏說這話
[00:01:27.600 --> 00:01:30.100]  無論在什麼情況都可以知足
