
[00:00:00.000 --> 00:00:05.000]  各位弟兄姐妹早晨,請我們一同去禱告,再一次仰望神。
[00:00:05.000 --> 00:00:11.000]  天父,我們多謝你讓我們一起去做一次有敬拜的時間。
[00:00:11.000 --> 00:00:15.000]  每一次我們和弟兄姐妹相交,我們敬拜你。
[00:00:15.000 --> 00:00:21.000]  每一次我們用你的話語,我們再去聆聽,說的和聽的。
[00:00:21.000 --> 00:00:24.000]  一同從你的話語去領受你的訊息。
[00:00:25.000 --> 00:00:38.000]  求主,你自己親自來到今天,透過你的聖靈,你幫助我們,我們說的孩子,和聽的所有人,我們一同的,
[00:00:38.000 --> 00:00:49.000]  從你裡面再一次看到耶穌,你的身份,看到你的拯救,看到我們需要反思的地方。
[00:00:49.000 --> 00:00:55.000]  為我們禱告,奉耶穌基督的名字,阿們。
[00:01:19.000 --> 00:01:27.000]  有時候,我們去看一段經文,有不同的切入點。
[00:01:27.000 --> 00:01:34.000]  這個切入點,使我們可以再看一些經文的內容。
[00:01:34.000 --> 00:01:39.000]  我不知道你看了多少次《鬼入珠群》的故事,聽就一定聽過了。
[00:01:39.000 --> 00:01:45.000]  四福音裡面,有三卷福音書,馬太貓路加都有提到《鬼入珠群》的故事。
[00:01:45.000 --> 00:01:50.000]  路加都很詳細地講出這個故事。
[00:01:50.000 --> 00:01:56.000]  但是,這個故事對我們的關聯是什麼呢?
[00:01:56.000 --> 00:02:00.000]  我們有沒有試過有人被鬼附?
[00:02:00.000 --> 00:02:02.000]  或者你曾經被鬼趕走?
[00:02:02.000 --> 00:02:04.000]  這些經歷很少。
[00:02:04.000 --> 00:02:11.000]  所以有時候讀到這些趕鬼,或者聖經裡面記載耶穌趕鬼的故事,
[00:02:11.000 --> 00:02:16.000]  未至於很快地看完就算了。
[00:02:16.000 --> 00:02:19.000]  但是好像跟自己有什麼關係呢?
[00:02:19.000 --> 00:02:27.000]  今天這個題目,《鬼入珠群》故事,暗藏反政府玄機,
[00:02:27.000 --> 00:02:31.000]  其實這個方向不是我自己想出來的。
[00:02:31.000 --> 00:02:38.000]  我很久以前,讀經文的時候,去看一些色經書,靈修著作等等。
[00:02:38.000 --> 00:02:45.000]  我不說是誰,如果你有興趣知道的話,可以去問我。
[00:02:45.000 --> 00:02:50.000]  公開在YouTube拍攝,我覺得不太方便。
[00:02:50.000 --> 00:02:54.000]  那位聖經學者挺有名的。
[00:02:54.000 --> 00:03:02.000]  我現在要強調的是,為什麼這段經文可以講出這些東西呢?
[00:03:02.000 --> 00:03:08.000]  大家都知道有幾個主角、配角。
[00:03:08.000 --> 00:03:11.000]  第一,當然就是耶穌。
[00:03:11.000 --> 00:03:19.000]  第二,就是鬼入珠群之前,鬼在那個人身上。
[00:03:19.000 --> 00:03:24.000]  那個在墳營生活的可憐的人。
[00:03:24.000 --> 00:03:26.000]  但是也是很兇猛的人。
[00:03:26.000 --> 00:03:30.000]  也有一群人養豬,我們也會探討。
[00:03:30.000 --> 00:03:35.000]  其實你會發覺,那些角色不是很多。
[00:03:35.000 --> 00:03:40.000]  但是我們去看的時候,還有一些豬。
[00:03:40.000 --> 00:03:47.000]  原來那位學者,我再複合他的資料,我找不到其他的印證。
[00:03:47.000 --> 00:03:48.000]  不過是這樣說的。
