
[00:00:00.000 --> 00:00:05.680]  人到中年特別珍惜家人和朋友的日子
[00:00:05.680 --> 00:00:09.400]  人到中年特別珍惜與家人和朋友的日子
[00:00:09.400 --> 00:00:11.520]  近幾年我和大家分享過
[00:00:11.520 --> 00:00:16.000]  我去找失散了很多年的中學同學和小學同學
[00:00:16.000 --> 00:00:18.600]  近幾年我學會了不少舊同學
[00:00:18.600 --> 00:00:20.440]  有中學的也有小學的
[00:00:20.440 --> 00:00:24.040]  去年有幾個月我留在香港侍奉
[00:00:24.040 --> 00:00:27.560]  所以也不定期邀請同學來相聚
[00:00:27.560 --> 00:00:30.440]  去年我留在香港侍奉
[00:00:30.440 --> 00:00:32.720]  也找了一些同學來相聚
[00:00:32.720 --> 00:00:35.360]  談一下以前的舊往事
[00:00:35.360 --> 00:00:36.680]  談一下舊事
[00:00:36.680 --> 00:00:38.680]  交交大家的心智
[00:00:38.680 --> 00:00:40.080]  還有大家的心智
[00:00:40.080 --> 00:00:45.000]  在這個特別的流動性極大的新時代當中
[00:00:45.000 --> 00:00:47.840]  在這個流動性很大的新時代當中
[00:00:47.840 --> 00:00:51.280]  說真我們能夠見多一次就只是多一次
[00:00:51.280 --> 00:00:53.320]  能見一次就只一次了
[00:00:53.320 --> 00:00:57.760]  能夠交心的機會也不是你說要多少有多少
[00:00:57.760 --> 00:01:01.440]  能夠交心的日子不是說能有多少就有多少
[00:01:01.440 --> 00:01:03.760]  菲律賓教會和保羅
[00:01:03.760 --> 00:01:06.240]  菲律賓教會和保羅
[00:01:06.240 --> 00:01:09.320]  他們可以說是一個交心的信徒
[00:01:09.320 --> 00:01:11.520]  他們可以說是一個交心的信徒
[00:01:11.520 --> 00:01:14.000]  與目者之間的關係的表達
[00:01:14.000 --> 00:01:16.600]  與目者之間的關係之間的表達
[00:01:16.600 --> 00:01:21.960]  但保羅和菲律賓教會能夠交心的時間其實是很有限的
[00:01:21.960 --> 00:01:26.440]  但是保羅和菲律賓教會之間的交心的機會都很有限
[00:01:26.440 --> 00:01:28.480]  從《仕途行傳》裏面我們知道
[00:01:28.480 --> 00:01:32.680]  他們大約只是在保羅第二和第三次的報道旅程當中
[00:01:32.680 --> 00:01:35.000]  他們曾經遇見過、相會過
[00:01:35.000 --> 00:01:37.040]  在《使徒行傳》時
[00:01:37.040 --> 00:01:42.000]  保羅只是在第二次和第三次的
[00:01:42.000 --> 00:01:44.600]  跟他們教會有交心的時候
[00:01:44.600 --> 00:01:49.320]  之後保羅就沒什麼機會再去經過菲律賓這個地區
[00:01:49.320 --> 00:01:53.200]  之後保羅就沒什麼機會再去經過菲律賓這個地區
[00:01:53.200 --> 00:01:55.600]  講多一點給大家聽
[00:01:55.600 --> 00:02:00.280]  菲律賓是處於馬其頓地區的一間主要教會
[00:02:00.280 --> 00:02:03.360]  菲律賓是住在馬其頓之間的一個教會
[00:02:03.360 --> 00:02:07.280]  所以很多時候我們談論到保羅和馬其頓教會的關係
[00:02:07.280 --> 00:02:08.920]  都是很親密的
[00:02:08.920 --> 00:02:12.960]  很多時候講到保羅和馬其頓之間教會的關係都是很親密的
[00:02:12.960 --> 00:02:16.280]  究竟什麼原因使得保羅和馬其頓教會
[00:02:16.280 --> 00:02:19.280]  或者菲律賓教會有這麼親密的關係呢?
[00:02:19.280 --> 00:02:22.360]  究竟什麼原因使得保羅和馬其頓教會
[00:02:22.360 --> 00:02:23.760]  或者菲律賓教會有這麼親密的關係呢?
[00:02:23.760 --> 00:02:28.400]  有什麼方法去維繫他們兩個彼此之間的關係呢?
[00:02:28.400 --> 00:02:30.840]  有什麼方法來維繫他們之間的關係呢?
[00:02:30.840 --> 00:02:32.640]  這正是我們今天想和大家
[00:02:32.640 --> 00:02:35.040]  透過這段聖經一起思想的題目
[00:02:35.040 --> 00:02:37.720]  這正是我們今天透過這段聖經來思考的
[00:02:37.720 --> 00:02:42.280]  如何學會去找一些真正相信主的信徒
[00:02:42.280 --> 00:02:45.160]  能夠我們達至彼此交心的關係
[00:02:45.160 --> 00:02:48.640]  怎麼才能去找一些真正的彼此是相信主
[00:02:48.640 --> 00:02:50.640]  還是有一個建立一個很好的關係呢?
[00:02:50.640 --> 00:02:52.880]  為什麼我這麼強調這一點呢?
[00:02:52.880 --> 00:02:54.480]  為什麼我強調這一點呢?
[00:02:54.480 --> 00:02:56.640]  我也相信為什麼聖經特意留下
[00:02:56.640 --> 00:02:58.960]  菲羅比書給我們學習這一點
[00:02:58.960 --> 00:03:01.640]  我是特別是聖經留下的菲利普書
[00:03:01.640 --> 00:03:02.640]  來讓我們學習這一點
[00:03:02.640 --> 00:03:03.800]  因為一個原因
[00:03:03.800 --> 00:03:04.760]  因為一個原因
[00:03:04.760 --> 00:03:07.360]  如果我們不學會這一點的話
[00:03:07.360 --> 00:03:09.680]  如果我們不學會這樣
[00:03:09.680 --> 00:03:13.040]  找哪一個是我們真的可以去交心的人呢?
[00:03:13.040 --> 00:03:16.240]  能夠知道誰是真心可以交心的人
[00:03:16.240 --> 00:03:20.120]  我們就很容易被受其他人的欺騙
[00:03:20.120 --> 00:03:22.760]  我們就會容易被其他人欺騙
[00:03:22.760 --> 00:03:25.640]  我也很坦白地說
[00:03:25.640 --> 00:03:27.360]  我也很坦白地說
[00:03:27.360 --> 00:03:30.440]  其實甚至在教會裡面都會有這樣的情況
[00:03:30.440 --> 00:03:34.080]  有人會進來教會欺騙你的感情
[00:03:34.080 --> 00:03:36.440]  在教會當中也會有這樣的情況
[00:03:36.440 --> 00:03:39.320]  來到教會來欺騙你的感情
[00:03:39.320 --> 00:03:40.840]  最近我跟一個朋友聊天
[00:03:40.840 --> 00:03:42.120]  一個目者聊天
[00:03:42.120 --> 00:03:44.600]  最近跟一個目者來談話
[00:03:44.600 --> 00:03:48.960]  他說很多教會裡面的信徒
[00:03:48.960 --> 00:03:53.200]  他們來好像是追求主那樣
[00:03:53.200 --> 00:03:56.080]  其實他們進來是做生意的
[00:03:56.080 --> 00:03:58.560]  是做燕瘡的
[00:03:58.560 --> 00:04:00.240]  人臭燕瘡
[00:04:00.240 --> 00:04:03.800]  對每個人都好像很好那樣
[00:04:03.800 --> 00:04:07.960]  但講到最後還是叫他買燕瘡
[00:04:07.960 --> 00:04:11.680]  我也不知道怎樣去牧養這樣的情況
[00:04:11.680 --> 00:04:14.720]  我說這段聖經就是一個很好的教導
[00:04:14.720 --> 00:04:16.800]  我說這段聖經就是一個很好的教導
[00:04:16.800 --> 00:04:20.680]  我們不是教你怎樣指哪個弟兄姊妹
[00:04:20.680 --> 00:04:23.960]  這個是好的,這個是假的,不是這樣的
[00:04:23.960 --> 00:04:26.440]  我不是說叫弟兄姊妹去告訴他
[00:04:26.440 --> 00:04:27.960]  這是好的,那個是不好的
[00:04:27.960 --> 00:04:31.280]  是讓我們去透過聖經怎樣學會去分辨
[00:04:31.280 --> 00:04:33.680]  哪些是值得我們真正交心的信徒
[00:04:33.680 --> 00:04:36.000]  是讓我們學會在聖經裡去學到
[00:04:36.000 --> 00:04:38.200]  真是誰是真正交心的信徒
[00:04:38.200 --> 00:04:42.080]  這個我一會兒再去討論教會裡面的情況是怎樣
[00:04:42.080 --> 00:04:44.560]  一會兒我再討論在教會當中的事
[00:04:44.560 --> 00:04:46.920]  但是能夠真是有一個交心的信徒
[00:04:46.920 --> 00:04:50.120]  跟你建立一個屬靈的關係的話
[00:04:50.120 --> 00:04:52.400]  是很難能可貴的一件事
[00:04:52.400 --> 00:04:56.160]  如果真是有一個跟你交心的信徒的話
[00:04:56.160 --> 00:04:57.360]  是一件很難得的事情
[00:04:57.360 --> 00:04:59.200]  所以第一樣東西
[00:04:59.200 --> 00:05:00.640]  我們要學會的就是
[00:05:00.640 --> 00:05:01.400]  我們要學會
[00:05:01.400 --> 00:05:03.440]  怎樣去真是看得到
[00:05:03.440 --> 00:05:05.280]  認識得到一個信徒
[00:05:05.280 --> 00:05:07.760]  或者一個自稱為基督徒的人
[00:05:07.760 --> 00:05:10.040]  他的內心質素是怎樣的
[00:05:10.040 --> 00:05:12.000]  就是怎樣去看一個每個基督徒
[00:05:12.000 --> 00:05:14.280]  他的內心上面有什麼不同
[00:05:14.280 --> 00:05:16.320]  今天很多人
[00:05:16.320 --> 00:05:19.320]  在加拿大、香港、世界各地
[00:05:19.320 --> 00:05:21.000]  都稱自己為基督徒的
[00:05:21.000 --> 00:05:24.160]  今天很多人在加拿大、世界、香港上
[00:05:24.160 --> 00:05:25.680]  都說自己是基督徒
