
[00:00:00.000 --> 00:00:01.680]  主姊妹們 早安
[00:00:01.680 --> 00:00:02.600]  我是黃牧師
[00:00:02.600 --> 00:00:04.820]  很高興能夠再次在主日的時間
[00:00:04.820 --> 00:00:07.960]  和大家一起分享上帝的說話
[00:00:07.960 --> 00:00:10.400]  讓我們在開始聽道義之前
[00:00:10.400 --> 00:00:11.520]  再次透過禱告
[00:00:11.520 --> 00:00:14.000]  將祂的身心靈交給我們主愛神
[00:00:14.000 --> 00:00:16.080]  很高興能夠在星期天的時間
[00:00:16.080 --> 00:00:18.560]  在跟弟兄姊妹們一起見面
[00:00:18.560 --> 00:00:20.960]  來到一起學習神的話語
[00:00:20.960 --> 00:00:22.680]  讓我們再次透過禱告
[00:00:22.680 --> 00:00:26.040]  把我們生命交在我們主的手上
[00:00:26.040 --> 00:00:30.040]  我很高興能夠在星期天的時間
[00:00:30.040 --> 00:00:34.120]  在跟弟兄姊妹們一起分享上帝的說話
[00:00:34.120 --> 00:00:36.360]  讓我們一起張開雙臂
[00:00:36.360 --> 00:00:38.920]  並透過聖靈準備我們的心
[00:00:38.920 --> 00:00:42.720]  讓我們知道如何了解上帝的說話
[00:00:42.720 --> 00:00:47.440]  同時也知道如何在日常生活中運動
[00:00:47.440 --> 00:00:50.280]  讓我們張開雙臂並祈禱
[00:00:50.280 --> 00:00:51.160]  我們天父多謝祢
[00:00:51.160 --> 00:00:54.120]  讓我們能夠再次打開祢寶貴的說話
[00:00:54.120 --> 00:00:56.920]  一起同心地去學習
[00:00:56.920 --> 00:00:58.880]  求祢的靈幫助我們
[00:00:58.880 --> 00:01:01.720]  讓我們在一個彎曲背後的世代裏面
[00:01:01.720 --> 00:01:04.600]  仍然活出一個屬神的生命
[00:01:04.600 --> 00:01:07.120]  能夠藉此感動更多的人
[00:01:07.120 --> 00:01:08.800]  認識我們的主
[00:01:08.800 --> 00:01:10.040]  求祢永遠同在
[00:01:10.040 --> 00:01:12.960]  幫助我們這段寶貴的時間
[00:01:12.960 --> 00:01:14.680]  我們親愛的父親多謝祢
[00:01:14.680 --> 00:01:17.320]  保我們再次交聚在一起
[00:01:17.320 --> 00:01:19.040]  在這個主日的時間
[00:01:19.040 --> 00:01:22.240]  我們再次一同來到學習主理的話語
[00:01:22.240 --> 00:01:23.560]  求祢的幫助
[00:01:23.560 --> 00:01:25.880]  許我們今天能夠再次
[00:01:25.880 --> 00:01:28.200]  在祢的聖靈的帶領當中
[00:01:28.200 --> 00:01:31.400]  許我們一步一步來到更明白主理的職業
[00:01:31.400 --> 00:01:34.040]  怎麼樣與祢同行
[00:01:34.040 --> 00:01:35.680]  我們的天父多謝祢
[00:01:35.680 --> 00:01:38.800]  祢給了我們一次機會
[00:01:38.800 --> 00:01:40.920]  我們可以聚在一起
[00:01:40.920 --> 00:01:43.480]  然後我們可以學習上帝的說話
[00:01:43.480 --> 00:01:47.360]  雖然我們現在處於非常不同的時間和空間
[00:01:47.360 --> 00:01:49.960]  但我們仍然有同樣的心
[00:01:49.960 --> 00:01:52.640]  永遠都想知道更多關於祢
[00:01:52.640 --> 00:01:55.600]  所以我們要求祢的聖靈的存在
[00:01:55.600 --> 00:01:59.680]  讓我們能夠了解祢真正的身份
[00:01:59.680 --> 00:02:03.680]  以及如何履行祢的教導
[00:02:03.680 --> 00:02:05.960]  我們在主耶穌基督的名下祈禱
[00:02:05.960 --> 00:02:07.240]  我們同心的禱告
[00:02:07.240 --> 00:02:09.920]  是奉靠主耶穌基督得勝的明智教
[00:02:09.920 --> 00:02:10.640]  阿們
[00:02:10.640 --> 00:02:12.480]  各位弟兄姊妹
[00:02:12.480 --> 00:02:16.000]  讓我們再次回到上帝的說話
[00:02:16.000 --> 00:02:18.520]  今天我會和大家一起思想的經文
[00:02:18.520 --> 00:02:21.320]  是從《路德記》的第三章
[00:02:21.320 --> 00:02:23.360]  第十六至第十八節
[00:02:23.360 --> 00:02:26.760]  今天和大家一起講的講題是
[00:02:26.760 --> 00:02:30.360]  「今天神仍然在我們中間嗎?」
[00:02:30.360 --> 00:02:32.600]  今天和大家一起分享的題目是
[00:02:32.600 --> 00:02:35.920]  「今天神仍然在我們中間嗎?」
[00:02:35.920 --> 00:02:37.840]  是從《路德記》的三章
[00:02:37.840 --> 00:02:39.880]  第十六節到十八節
[00:02:39.880 --> 00:02:42.840]  所以今天我們會專注於
[00:02:42.840 --> 00:02:46.720]  《路德記》第三章第十六至十八節
[00:02:46.720 --> 00:02:51.720]  講題是「今天神仍然在我們中間嗎?」
[00:02:51.720 --> 00:02:55.920]  或是「今天神仍然在我們中間嗎?」
[00:02:55.920 --> 00:02:57.840]  好,我們在聽道耳先
[00:02:57.840 --> 00:03:00.760]  我們再次一起打開主的說話
[00:03:00.760 --> 00:03:02.520]  去先明白主的道理
[00:03:02.520 --> 00:03:05.040]  我們大家先讀出和合本的聖經
[00:03:05.040 --> 00:03:06.600]  三節很短的經文
[00:03:06.600 --> 00:03:09.640]  但是在當中有很豐富的教導
[00:03:09.640 --> 00:03:11.920]  之後我會再讀另一個英文版本
[00:03:11.920 --> 00:03:13.720]  叫NET Version
[00:03:13.720 --> 00:03:16.720]  讓我們一起在這個版本裏面
