
[00:00:00.000 --> 00:00:07.000]  頂姐妹平安,我們很感恩,我們一齊又可以去讀神話語。
[00:00:07.000 --> 00:00:13.000]  最近我和一班頂姐妹一起在視像團契查經,
[00:00:13.000 --> 00:00:16.000]  我們之後一起分享。
[00:00:16.000 --> 00:00:22.000]  有位團友分享,他之前去銀行做一些事,
[00:00:22.000 --> 00:00:29.000]  在他排隊的時候,後面那個人不斷不斷在咳嗽。
[00:00:29.000 --> 00:00:31.000]  雖然那個人已經戴了口罩,
[00:00:31.000 --> 00:00:37.000]  但這個姐妹說他還是很怕咳嗽,很怕咳嗽,很怕咳嗽。
[00:00:37.000 --> 00:00:42.000]  我們每個人都安慰他,這些都是人之常情。
[00:00:42.000 --> 00:00:45.000]  但停了一會兒之後,這個姐妹這樣說,
[00:00:45.000 --> 00:00:50.000]  她說,其實我不是很喜歡自己那麼怕咳嗽。
[00:00:50.000 --> 00:00:54.000]  她說,我想起主耶穌在大風大浪的船上,
[00:00:54.000 --> 00:00:59.000]  我仍然可以安睡,我相信了主,
[00:00:59.000 --> 00:01:03.000]  我也很想自己和別人有點不同,
[00:01:03.000 --> 00:01:12.000]  我也很想自己可以安然地面對目前的疫情。
[00:01:12.000 --> 00:01:21.000]  頂姐妹,安然面對疫情,是否也是你和我的心願呢?
[00:01:21.000 --> 00:01:29.000]  你是不是也很想在疫情裡面,能夠繼續為主作見證?
[00:01:29.000 --> 00:01:34.000]  我們從剛才讀的經文,我們知道耶穌的門徒,
[00:01:34.000 --> 00:01:40.000]  其實和我們一樣,是在面對一個很嚴峻的局面。
[00:01:40.000 --> 00:01:42.000]  耶穌如何幫助門徒?
[00:01:42.000 --> 00:01:44.000]  耶穌如何幫助今天的我和你?
[00:01:44.000 --> 00:01:52.000]  在疫情裡面,仍然可以有主祂所賜的喜樂和平安呢?
[00:01:52.000 --> 00:01:57.000]  我們一起有個祈禱。
[00:01:57.000 --> 00:02:03.000]  寶貴的聖靈,求祢親自對我們說話,
[00:02:03.000 --> 00:02:10.000]  由賜給我們有謙卑受教的心,能夠領受祢的話語。
