
[00:00:00.000 --> 00:00:02.360]  好 各位電影姐妹 早晨
[00:00:02.360 --> 00:00:06.280]  如果大家有看過電影
[00:00:06.280 --> 00:00:11.340]  去年年尾 其實香港有一套電影上拍攝了
[00:00:11.340 --> 00:00:13.280]  我先轉個包袱
[00:00:13.280 --> 00:00:17.160]  大家還記不記得這套電影叫什麼名字
[00:00:17.160 --> 00:00:19.720]  《八日之下》
[00:00:19.720 --> 00:00:21.880]  這套電影的主角
[00:00:21.880 --> 00:00:24.920]  其實他的職業是作為一名記者
[00:00:24.920 --> 00:00:28.060]  他很致力地透過他的報導
[00:00:28.060 --> 00:00:31.760]  去揭發一些社會上不公的情況
[00:00:31.760 --> 00:00:37.360]  其中他要去調查一間院舍裏面的隱藏黑暗
[00:00:37.360 --> 00:00:38.680]  他致力
[00:00:38.680 --> 00:00:42.320]  很努力地去不斷地搜集證據
[00:00:42.320 --> 00:00:45.800]  他去揭發這間院舍裏面的問題
[00:00:45.800 --> 00:00:50.000]  他務求要去為那些
[00:00:50.000 --> 00:00:54.720]  正在受到虐待又或者性侵的院友去發聲
[00:00:57.240 --> 00:01:00.560]  他務求很想令到這群
[00:01:00.560 --> 00:01:04.320]  受欺凌的院友去得到釋放
[00:01:04.320 --> 00:01:07.020]  其實從外人來看
[00:01:07.020 --> 00:01:09.240]  這件事
[00:01:09.240 --> 00:01:12.360]  主角所做的一件事是一件正義的事
[00:01:12.360 --> 00:01:15.920]  但是對於其他的院友
[00:01:15.920 --> 00:01:19.360]  他這一件 卻是一件惡事
[00:01:19.360 --> 00:01:24.760]  因為主角去揭發這間院舍的問題之後
[00:01:24.760 --> 00:01:26.520]  這間院舍
[00:01:26.980 --> 00:01:29.440]  隨後被政府釘牌
[00:01:29.440 --> 00:01:34.440]  裏面的院友突然之間流離失所
[00:01:34.440 --> 00:01:39.320]  主角他去做完成了這個報導之後
[00:01:39.320 --> 00:01:42.480]  他換來的不是一連串的掌聲
[00:01:42.480 --> 00:01:47.400]  而是院友帶來一片的謾罵聲
[00:01:47.400 --> 00:01:53.200]  我們都知道主角他正在做的是一件正確的事
[00:01:53.200 --> 00:01:56.760]  但是卻是換來負面的聲音
[00:01:57.560 --> 00:01:59.740]  若然大家是主角
[00:01:59.740 --> 00:02:06.280]  你還會不會繼續堅持去將真相報導出來呢
[00:02:06.280 --> 00:02:12.080]  今天我們去讀這段經文的時候
[00:02:12.080 --> 00:02:15.740]  保羅同樣都面對著不少的苦和痛
[00:02:15.740 --> 00:02:18.600]  特別是在四章八到九節
[00:02:18.600 --> 00:02:21.720]  他舉出一系列他自己受苦的景況
[00:02:21.720 --> 00:02:25.640]  而我們都清楚知道保羅所面對的苦
[00:02:25.640 --> 00:02:28.720]  並不是單純個人的苦難
[00:02:28.720 --> 00:02:32.640]  而是當他遇上基督之後
[00:02:32.640 --> 00:02:37.400]  因為傳福音的緣故而所帶來的困苦
