
[00:00:00.000 --> 00:00:04.000]  今日很高興跟大家講到
[00:00:04.000 --> 00:00:12.500]  我們全印堂健康教會廣道系列的第五講
[00:00:12.500 --> 00:00:16.500]  就是一個喜歡傳福音的教會
[00:00:16.500 --> 00:00:19.500]  講起傳福音
[00:00:19.500 --> 00:00:23.000]  很多基督徒的心情是很複雜的
[00:00:23.000 --> 00:00:27.000]  一方面我們知道我們有責任要傳福音
[00:00:27.000 --> 00:00:30.000]  但另一方面我們又不是太想
[00:00:30.000 --> 00:00:33.000]  更加不要說喜歡
[00:00:33.000 --> 00:00:37.000]  有些信徒初初信主就很熱心傳福音
[00:00:37.000 --> 00:00:39.000]  但好像沒有甚麼人信
[00:00:39.000 --> 00:00:42.000]  那一刻不好就冷淡了下來
[00:00:42.000 --> 00:00:46.000]  今日我們要講這個問題
[00:00:46.000 --> 00:00:50.000]  不是講到怎樣傳福音的技巧
[00:00:50.000 --> 00:00:55.000]  而是從保羅的生命裏面來看測
[00:00:55.000 --> 00:01:01.000]  究竟保羅為何這麼喜樂、開心傳福音呢?
[00:01:01.000 --> 00:01:04.000]  我們怎樣去學習這個榜樣呢?
[00:01:04.000 --> 00:01:08.000]  又怎樣透過保羅的生命來啟發
[00:01:08.000 --> 00:01:12.000]  以致我們傳福音更加有果效呢?
[00:01:12.000 --> 00:01:17.000]  我們看肥納比書第一章第十二到第十八節
[00:01:17.000 --> 00:01:20.000]  剛才主席已經跟我們讀過了
[00:01:20.000 --> 00:01:24.000]  我簡述這段經文有三個原因
[00:01:24.000 --> 00:01:29.000]  第一,這段經文是保羅對傳福音的心路歷程
[00:01:29.000 --> 00:01:31.000]  他自己的見證
[00:01:31.000 --> 00:01:34.000]  第二,保羅講的時候
[00:01:34.000 --> 00:01:37.000]  他是被人關在監獄裏面的
[00:01:37.000 --> 00:01:41.000]  第三,他寫這封信的時候是充滿喜樂的
[00:01:41.000 --> 00:01:46.000]  即是說保羅在監獄裏面很開心的傳福音
[00:01:46.000 --> 00:01:50.000]  這個差不多是一個難以想像的
[00:01:50.000 --> 00:01:53.000]  非常奇妙的情況
[00:01:53.000 --> 00:01:58.000]  我們今天又要學習這個奇妙的情況
[00:01:58.000 --> 00:02:05.000]  首先我們看一看當時保羅的處境是怎樣的
[00:02:05.000 --> 00:02:10.000]  他被關在監獄裏面
[00:02:10.000 --> 00:02:13.000]  其實他去到羅馬之後
[00:02:13.000 --> 00:02:18.000]  頭一兩年就被關在自己所租的屋裏面
[00:02:18.000 --> 00:02:21.000]  比第二次舒服很多
[00:02:21.000 --> 00:02:24.000]  他被關了兩年之後就被釋放出來
[00:02:24.000 --> 00:02:27.000]  再過一段時間就被關第二次
[00:02:27.000 --> 00:02:32.000]  第二次的監獄環境很不好
[00:02:32.000 --> 00:02:34.000]  他寫了《提摩太后書》
[00:02:34.000 --> 00:02:37.000]  就是在第二次坐牢的時候寫的
[00:02:37.000 --> 00:02:42.000]  但這本書是他第一次
[00:02:42.000 --> 00:02:46.000]  他在自己租來的屋裏面
[00:02:46.000 --> 00:02:52.000]  有士兵看守他24小時
[00:02:52.000 --> 00:02:56.000]  但他可以寫書又可以接待朋友
[00:02:56.000 --> 00:03:02.000]  又可以自己order食物到會那些
[00:03:02.000 --> 00:03:06.000]  或者有人可以服侍他和他煮的
[00:03:06.000 --> 00:03:09.000]  相對來說比較舒適一些
[00:03:09.000 --> 00:03:15.000]  這些士兵如果你看《和合本》
[00:03:15.000 --> 00:03:20.000]  《和合本》叫做愚營裏面的士兵
[00:03:20.000 --> 00:03:23.000]  即是我們中國所謂愚林軍
[00:03:23.000 --> 00:03:25.000]  這些士兵非同小可
[00:03:25.000 --> 00:03:31.000]  是羅馬帝國看守皇宮的精銳部隊
[00:03:31.000 --> 00:03:35.000]  羅馬軍隊非常之嚴格有體制
[00:03:35.000 --> 00:03:40.000]  每個士兵是讀了20年就可以退休
[00:03:40.000 --> 00:03:42.000]  有退休金
[00:03:42.000 --> 00:03:48.000]  這種愚營兵只需要服役16年
[00:03:48.000 --> 00:03:50.000]  而退休金也比較多
[00:03:50.000 --> 00:03:55.000]  所以他是特別精銳的
[00:03:55.000 --> 00:03:57.000]  是受過嚴格訓練的
[00:03:57.000 --> 00:04:03.000]  為什麼羅馬帝國要用這麼厲害的士兵看守保羅呢?
[00:04:03.000 --> 00:04:05.000]  還要跟他鎖在一起
[00:04:05.000 --> 00:04:12.000]  你有沒有看到在銀幕上有條鎖鏈 士兵跟他鎖在一起
[00:04:12.000 --> 00:04:16.000]  因為他不單是一個羅馬公民
[00:04:16.000 --> 00:04:21.000]  而且被羅馬帝國認為是一個相當重要的人物
[00:04:21.000 --> 00:04:24.000]  所以要派一些很厲害的士兵來鎖住他
[00:04:24.000 --> 00:04:30.000]  你可以想像這個士兵鎖住保羅
[00:04:30.000 --> 00:04:34.000]  每幾個小時就換一間24小時都有士兵鎖住
[00:04:34.000 --> 00:04:36.000]  睡覺都有士兵鎖住
[00:04:36.000 --> 00:04:39.000]  他換間的時候 保羅就說
[00:04:39.000 --> 00:04:42.000]  Johnny 又見到你了 很開心
[00:04:42.000 --> 00:04:46.000]  這個保羅怎麼這麼開心
[00:04:46.000 --> 00:04:49.000]  這麼友善 沒有埋怨
[00:04:49.000 --> 00:04:54.000]  而且這個士兵不聽福音也不行
[00:04:54.000 --> 00:04:59.000]  我們英文叫做Captive Audience
[00:04:59.000 --> 00:05:02.000]  就是綁住一定要聽
[00:05:02.000 --> 00:05:06.000]  他們受保羅的感染就聽了 信了
[00:05:06.000 --> 00:05:13.000]  信了之後 輪到他王宮第二座康監的時候
[00:05:13.000 --> 00:05:16.000]  就告訴別人這個保羅很有趣
[00:05:16.000 --> 00:05:19.000]  連福音都說了出來 結果又多了人信
[00:05:19.000 --> 00:05:22.000]  於是保羅在剛才所讀的經文
[00:05:22.000 --> 00:05:24.000]  比勒比書第一章十二到十八節
[00:05:24.000 --> 00:05:28.000]  就說整個王宮的人都知道我在坐牢
[00:05:28.000 --> 00:05:29.000]  知道我是誰
[00:05:29.000 --> 00:05:32.000]  而且知道我和耶穌基督有關係
[00:05:32.000 --> 00:05:36.000]  我是因為耶穌基督而坐牢的
[00:05:36.000 --> 00:05:40.000]  很多人信了耶穌
[00:05:40.000 --> 00:05:45.000]  這段經文其實有兩個重點
[00:05:45.000 --> 00:05:48.000]  我們會看到的
[00:05:48.000 --> 00:05:53.000]  第一就是保羅在困難的環境裏面
[00:05:53.000 --> 00:05:55.000]  起落地傳福音
[00:05:55.000 --> 00:05:57.000]  這是十二到十四節
[00:05:57.000 --> 00:06:00.000]  由第十五到第十八節就說到
[00:06:00.000 --> 00:06:04.000]  保羅在面對人事問題的時候
[00:06:04.000 --> 00:06:08.000]  都仍然很起落地去傳福音
[00:06:08.000 --> 00:06:12.000]  我們今天要學習這兩樣東西
[00:06:12.000 --> 00:06:15.000]  弟兄姊妹 你有沒有困難的環境呢?
[00:06:15.000 --> 00:06:18.000]  我說當然有 牧師現在真是臘臘臉
[00:06:18.000 --> 00:06:23.000]  疫情又搞到我一家吃飯都不行出去
[00:06:23.000 --> 00:06:28.000]  而且政治環境又這麼麻煩
[00:06:28.000 --> 00:06:33.000]  或者經濟又很困難
[00:06:33.000 --> 00:06:36.000]  或者你在職業上面都面對困難
[00:06:36.000 --> 00:06:40.000]  環境困難不單止 人事都很複雜
[00:06:40.000 --> 00:06:46.000]  可能在職場上 家庭 朋友之間都有些問題
[00:06:46.000 --> 00:06:51.000]  究竟你在這個問題裏面怎樣處理呢?
[00:06:51.000 --> 00:06:55.000]  不單止沒有起落 更加不會傳福音
[00:06:55.000 --> 00:06:57.000]  但保羅就不同
[00:06:57.000 --> 00:07:01.000]  保羅在這樣的環境都仍然起落地傳福音
[00:07:01.000 --> 00:07:03.000]  這是我們今天要學的
[00:07:03.000 --> 00:07:06.000]  第一點我們首先看一下
[00:07:06.000 --> 00:07:10.000]  保羅怎樣在困難的環境裏面傳福音
