
[00:00:00.000 --> 00:00:04.360]  2024年的奧林匹克運動會,大家都知道結束了
[00:00:04.360 --> 00:00:13.400]  那些拿著好成績,有獎牌的,回到他們國家的時候,都會受到他們國家的熱烈的歡迎
[00:00:13.400 --> 00:00:17.080]  如果大家不知道的話,大家應該知道
[00:00:17.080 --> 00:00:24.640]  中國的運動員拿著很多的獎牌,甚至去到香港,去到澳門
[00:00:25.120 --> 00:00:31.760]  來表演,接受,英雄式的歡迎,大家也很明白
[00:00:31.760 --> 00:00:41.480]  對於運動員來說,一個獎狀,可以說是他們這麼多年的辛苦努力,所得到的一個肯定
[00:00:41.480 --> 00:00:46.760]  不過呢,和今天的運動會有很大的不同
[00:00:46.760 --> 00:00:53.120]  奧林匹克在古代的時候,他們拿的不是獎狀,而是什麼呢?
[00:00:53.520 --> 00:00:58.120]  而是一個用橄欖葉所織成的冠冕
[00:00:58.120 --> 00:01:02.840]  這個雖然是不值錢,很簡單的一個冠冕,但是這個冠冕代表著什麼?
[00:01:02.840 --> 00:01:06.200]  代表著勝利,尊貴,和榮耀
[00:01:06.200 --> 00:01:10.280]  一個如此的意義的冠冕
[00:01:10.280 --> 00:01:20.320]  保羅利用這個冠冕,使用這個冠冕來形容我們作為基督徒走在人生路上,在一個屬靈的跑道上
[00:01:20.320 --> 00:01:22.200]  一個獎賞
[00:01:23.680 --> 00:01:28.400]  而保羅利就叫這個獎賞是一個公義的冠冕
[00:01:28.400 --> 00:01:37.360]  這個公義的冠冕代表著什麼?代表著勝利,聖潔,沒有瑕疵,沒有罪惡
[00:01:37.360 --> 00:01:45.440]  不只是這樣,保羅利也很肯定,這個公義的冠冕,神是為它存留在哪裏?在天上
[00:01:45.440 --> 00:01:48.760]  很重要的一個信心,大家有沒有這樣的信心?
[00:01:49.040 --> 00:01:55.320]  你們覺得神有沒有為你預備一個公義,生命的冠冕,讓你去拿?
[00:01:55.320 --> 00:02:07.840]  在這段經文裏面,保羅利告訴我們一些竅門,我們可以很肯定的知道,神是會為我們預備一個這樣的生命冠冕
[00:02:07.840 --> 00:02:11.600]  讓我們一同學習,一同探討
[00:02:11.720 --> 00:02:21.280]  在這段經文的頭兩節,保羅利告訴提摩太,無論警方如何,一定要傳道
[00:02:21.280 --> 00:02:28.040]  無要傳道,無論什麼警方,有什麼警方,讓我們看看
[00:02:28.040 --> 00:02:33.880]  保羅利提醒提摩太,無要傳道,無論得事,不得事,即是什麼意思?
[00:02:33.880 --> 00:02:41.440]  即是當你傳道的時候,不是每次人都會聽你說話,有很多時候人們是不會聽你說話的
[00:02:41.960 --> 00:02:45.560]  不知道大家有沒有試過傳福音的時候
[00:02:45.560 --> 00:02:56.440]  一說到福音的時候,那些人的表現就好像很不耐煩,不想聽,甚至在你還沒說完之前,不聽了,不聽了
[00:02:56.440 --> 00:03:07.320]  有沒有試過?我試得多,不過我告訴大家,這個經驗是不好受的
[00:03:08.000 --> 00:03:13.480]  但是我沒有因為這樣不好受的經驗,而停止不再傳福音
[00:03:13.480 --> 00:03:17.920]  其實回想起來,我多謝一個人
[00:03:17.920 --> 00:03:26.000]  我記得我讀神學的時候,讀神學的時候,有一個老師跟我說
[00:03:26.000 --> 00:03:29.160]  You gotta have a rubber face,像世人一樣
[00:03:29.160 --> 00:03:32.640]  You gotta have a rubber face,什麼意思?什麼是rubber face?
[00:03:32.640 --> 00:03:34.400]  即是臉皮要夠厚
[00:03:34.400 --> 00:03:37.120]  千萬不要臉皮薄
[00:03:37.720 --> 00:03:44.040]  因為當你跟人傳福音,當你跟人關顧,牧養你的教會的頂尖的時候
[00:03:44.040 --> 00:03:52.640]  對不起,不一定,個個都會領情,不一定,個個都會接受聽你所說的話
[00:03:52.640 --> 00:04:01.880]  甚至很多時候,不單止不領情,甚至有些惡意的攻擊,捏造事實來攻擊
[00:04:02.720 --> 00:04:12.640]  在某程度上,我都感恩的,因為我發覺,回頭看我這麼多年的牧養經驗
[00:04:12.640 --> 00:04:22.840]  可以說在頭幾年的牧養裡面,所有的大部分,做牧者的甜酸苦辣,我都經驗過
[00:04:22.840 --> 00:04:27.520]  我都經驗過,但是我發覺我回頭看的時候,是不好受的感受
[00:04:27.680 --> 00:04:42.120]  不過,卻是讓我可以懂得怎樣面對處理,一些好的讚賞,或者一些惡意的批評
[00:04:42.120 --> 00:04:49.400]  怎麼處理好?我可以告訴大家,當一些評語來到的時候
[00:04:49.400 --> 00:04:55.040]  無論是讚賞還是批評,或者惡意的攻擊,聽聽就算了
[00:04:55.640 --> 00:05:03.160]  有一個牧者很有趣,他形容別人向你讚賞,你當是香水聞,千萬不要吞下去
[00:05:03.160 --> 00:05:10.560]  對你惡意的批評,當是一些很惡臭的東西在你面前經過,聞到一些臭氣,就算了
[00:05:10.560 --> 00:05:14.160]  你不要把那東西吞下去,意思是什麼?
[00:05:14.160 --> 00:05:21.360]  你不要被那些短暫的情緒反映而牽制著你,影響著你,限制了你
[00:05:22.040 --> 00:05:31.960]  前面屬靈要走的路,保羅提醒提摩泰,他說,你需要專心傳道
[00:05:31.960 --> 00:05:39.720]  專心傳道,不要受其他的東西所分心影響,包括別人的讚賞與評擊
[00:05:39.720 --> 00:05:46.360]  我們甚至是需要很大的忍耐,正如他所說,因為不是每一個人都會聽你說話的
[00:05:46.840 --> 00:05:52.200]  也不會有人聽完你講完之後,馬上第二天起床變成一個大好人
[00:05:52.200 --> 00:05:56.040]  從此不再跌倒,不再犯罪,不再軟弱
[00:05:56.040 --> 00:06:02.960]  對不起,現實上不會有這樣的事情發生,所以保羅在說,無論別人的反應如何
[00:06:02.960 --> 00:06:14.760]  保羅建議勸告提摩泰,他需要用諸般的智慧和忍耐去教訓、責備、警戒、勸勉其他的人
[00:06:15.640 --> 00:06:21.840]  我想大家留意,這番說話並不是來自一個將要順道、將要離世的老人家
[00:06:21.840 --> 00:06:26.440]  向一個年輕人說話那麼簡單,我相信是更加多的
[00:06:26.440 --> 00:06:36.160]  因為保羅在這裡所說,我在神面前將來審判活人死人的基督耶穌
[00:06:36.160 --> 00:06:41.080]  憑著祂的顯然和祂的角度吩咐你、祝福你,意思就是
[00:06:41.560 --> 00:06:46.360]  這番說話是來自天父上帝,是來自他們的主耶穌基督
[00:06:46.360 --> 00:06:50.760]  所以我在這裡告訴提摩泰,你不要隨便聽,不要掉以輕心
[00:06:50.760 --> 00:06:54.880]  同樣這也是我們應該有的態度去看這幾節的經文
[00:06:54.880 --> 00:07:02.120]  如果這幾節的經文是那麼重要,是真的神通過保羅來向不單只是提摩泰
[00:07:02.120 --> 00:07:09.600]  向所有的信徒來說的時候,我們就要認真詳細去看清楚這兩節的經文是說些什麼
