
[00:00:00.000 --> 00:00:01.280]  祝兄姊妹平安
[00:00:01.280 --> 00:00:05.820]  不知道大家聽過一個故事沒有
[00:00:05.820 --> 00:00:08.020]  有一位朋友
[00:00:08.020 --> 00:00:11.860]  他七歲的時候父親就在
[00:00:11.860 --> 00:00:14.840]  一個官司當中敗訴
[00:00:14.840 --> 00:00:17.540]  所以呢 要破產 然後他
[00:00:17.540 --> 00:00:20.440]  七歲的時候要開始出去外面打工
[00:00:20.440 --> 00:00:23.600]  那九歲的時候呢 他媽媽就去世
[00:00:23.600 --> 00:00:28.080]  二十二歲初七的時候開始經商
[00:00:28.080 --> 00:00:31.080]  當時失敗 那二十三歲他想著
[00:00:31.080 --> 00:00:34.300]  要不我從政吧 就參加那個州議員
[00:00:34.300 --> 00:00:35.620]  結果落選
[00:00:35.620 --> 00:00:38.960]  同年呢 他失業 然後接著呢
[00:00:38.960 --> 00:00:42.380]  就考法學院 結果也是沒有考進去
[00:00:42.380 --> 00:00:46.080]  二十四歲的時候他向朋友借錢來
[00:00:46.080 --> 00:00:49.080]  再次從商 但是當年
[00:00:49.080 --> 00:00:50.420]  就馬上破產
[00:00:50.420 --> 00:00:54.020]  接著用了十六年的時間把這筆的
[00:00:54.020 --> 00:00:56.460]  款項慢慢慢慢的還完
[00:00:57.380 --> 00:01:00.080]  二十五歲的時候他再次的競選
[00:01:00.080 --> 00:01:03.120]  州議會 州議員 他是一個美國人
[00:01:03.120 --> 00:01:04.120]  結果
[00:01:04.120 --> 00:01:05.800]  終於成功了
[00:01:05.800 --> 00:01:09.080]  然後二十六歲的時候將要結婚的時候
[00:01:09.080 --> 00:01:11.500]  將要結婚 定了婚 將要結婚
[00:01:11.500 --> 00:01:14.560]  結果呢 未婚妻去世
[00:01:14.560 --> 00:01:18.680]  那還有很多 我不慢慢講了
[00:01:18.680 --> 00:01:21.440]  直到三十七歲的時候他再次參加國會大
[00:01:21.440 --> 00:01:24.340]  大選 然後當選 之後呢
[00:01:24.340 --> 00:01:26.840]  五十一歲的時候他終於成為了
[00:01:26.840 --> 00:01:28.100]  美國的總統
[00:01:28.100 --> 00:01:30.480]  我不知道大家知道他是誰嗎
[00:01:30.480 --> 00:01:33.700]  有人點頭 是誰呢
[00:01:33.700 --> 00:01:36.200]  他就是
[00:01:36.200 --> 00:01:40.260]  美國一個很重要的總統 林肯
[00:01:40.260 --> 00:01:42.960]  很多人認為他是美國歷史上最偉大的
[00:01:42.960 --> 00:01:44.000]  一個總統
[00:01:44.000 --> 00:01:47.700]  他一生當中失敗過三十五次
[00:01:47.700 --> 00:01:50.320]  可以說只有三次是成功的
[00:01:50.320 --> 00:01:53.860]  他曾經說過一句話 就是說 我一隻腳
[00:01:53.860 --> 00:01:56.940]  垮了一下 另外一腳 因為站得不穩
[00:01:56.940 --> 00:01:59.700]  但是他說 我可以
[00:01:59.700 --> 00:02:02.540]  緩口氣告訴自己 這不是
[00:02:02.540 --> 00:02:05.560]  只是垮了一跤而已嗎 並不是死去
[00:02:05.560 --> 00:02:07.300]  而沒有辦法爬起來
[00:02:07.300 --> 00:02:11.620]  最後他進入了白宮 然後更是
[00:02:11.620 --> 00:02:15.240]  做了一件很重要的事情 就是帶領美國
[00:02:15.240 --> 00:02:18.620]  粉碎了那個奴隸的制度
[00:02:18.620 --> 00:02:22.860]  那我們想 就是無論人生是
[00:02:23.220 --> 00:02:26.200]  怎麼樣 或者這個人是名氣大於小
[00:02:26.200 --> 00:02:28.460]  收入多或者少
[00:02:28.460 --> 00:02:31.980]  但是呢 他必須要面對人生的苦難
[00:02:31.980 --> 00:02:33.220]  人生的痛苦
[00:02:33.220 --> 00:02:37.520]  但是面對這些的苦難的時候
[00:02:37.520 --> 00:02:41.480]  世界上可以說 大概可以分成三種人
[00:02:41.480 --> 00:02:45.400]  第一種是 為痛而苦
[00:02:45.400 --> 00:02:46.900]  為殘而廢
[00:02:46.900 --> 00:02:50.320]  就是你還沒接觸那件事情 你已經覺得很痛
[00:02:50.320 --> 00:02:53.380]  很苦了 已經沒有膽量 再走到下一步
[00:02:53.380 --> 00:02:57.400]  那第二個呢 是一痛就苦
[00:02:57.400 --> 00:03:01.040]  稍殘即廢 就說很正常啊
[00:03:01.040 --> 00:03:03.720]  我遇到困難我就跌倒了 等等
[00:03:03.720 --> 00:03:06.600]  但是還有第三種人 很特別 就是
[00:03:06.600 --> 00:03:08.580]  痛而不苦 殘而不廢
[00:03:08.580 --> 00:03:12.000]  大家跟我說一次好不好 痛而不苦
[00:03:12.000 --> 00:03:15.020]  殘而不廢 再來一次 痛而不苦
[00:03:15.020 --> 00:03:17.880]  殘而不廢 那怎麼樣可以成為
[00:03:17.880 --> 00:03:20.640]  這種痛而不苦 殘而不廢呢 因為我們剛才說
[00:03:20.640 --> 00:03:23.620]  痛苦是肯定要面對的 對不對 那所以我們今天
[00:03:23.620 --> 00:03:26.600]  希望從經文當中 幫助大家
[00:03:26.600 --> 00:03:28.940]  去了解聖經是怎麼樣
[00:03:28.940 --> 00:03:31.360]  在這方面對我們有個幫助
[00:03:31.360 --> 00:03:34.800]  但是我們也不可否認
[00:03:34.800 --> 00:03:38.780]  現實當中有一些的基督徒 有些信徒認為
[00:03:38.780 --> 00:03:42.160]  如果我們信了主 愛主 侍奉主 我們就可以
[00:03:42.160 --> 00:03:45.760]  免受這些的痛苦 但事實上
[00:03:46.300 --> 00:03:48.060]  在問聖經的時候
[00:03:48.060 --> 00:03:51.980]  神如果愛我們的時候 祂
[00:03:51.980 --> 00:03:54.980]  是藉著一些苦難讓我們成長
[00:03:54.980 --> 00:03:58.980]  好 那我們一起今天看這段經文是
[00:03:58.980 --> 00:04:01.700]  關於
[00:04:01.700 --> 00:04:04.960]  保羅受到自己的痛苦的一些經歷
[00:04:04.960 --> 00:04:07.440]  那哥林多後書是
[00:04:07.440 --> 00:04:10.440]  保羅寫給哥林多教會的一個書信
[00:04:10.440 --> 00:04:13.140]  那大概是在主後56年的時候
[00:04:13.980 --> 00:04:17.000]  剛開始的時候 保羅酸稱自己是一個
[00:04:17.000 --> 00:04:19.580]  從神而來的一個使徒
[00:04:19.580 --> 00:04:23.180]  原因是當時那個教會有人質疑他的使徒的身份
[00:04:23.180 --> 00:04:26.660]  但是在他澄清了之後
[00:04:26.660 --> 00:04:29.680]  他依然感謝神 因為這樣的誤會
[00:04:29.680 --> 00:04:33.360]  這樣的誣告 對他來說是有益處的
[00:04:33.360 --> 00:04:37.320]  在這段經文
[00:04:37.320 --> 00:04:42.400]  第一章三到十一節裡面
[00:04:42.400 --> 00:04:45.180]  有很多個詞 裡面出現了很多
