
[00:00:00.000 --> 00:00:03.800]  小孩子最喜歡說的話是什麼?
[00:00:03.800 --> 00:00:08.000]  No,對不對?
[00:00:08.000 --> 00:00:14.200]  我們在哪一個情況裏面要說不可以?
[00:00:14.200 --> 00:00:19.800]  在哪一個情況裏面說可以呢?
[00:00:19.800 --> 00:00:24.600]  特別要跟,有人來跟我們要求的時候,
[00:00:24.600 --> 00:00:33.200]  我們不願意的時候,或我們不答應他的要求的時候,
[00:00:33.200 --> 00:00:37.600]  我們覺得很難說No,對不對?
[00:00:37.600 --> 00:00:42.000]  因爲我們不要傷到人的心,
[00:00:42.000 --> 00:00:48.000]  所以對我們來說,講No這個字是很困難的。
[00:00:48.000 --> 00:00:53.000]  所以今天我們要從這段經文裏面看,
[00:00:53.000 --> 00:00:58.000]  耶穌在某某情況裏面說可以,
[00:00:58.000 --> 00:01:03.600]  在另外一個情況裏面他說可以。
[00:01:03.600 --> 00:01:07.400]  我們剛纔讀的經就告訴我們,
[00:01:07.400 --> 00:01:19.600]  他爲什麼在對斐羅西亞的女兒他們的要求說可以,
[00:01:19.600 --> 00:01:25.400]  但是以法聯跟馬來西亞的人,他們的要求說不可以。
[00:01:25.400 --> 00:01:28.600]  爲什麼一個可以,一個不可以呢?
[00:01:28.600 --> 00:01:32.200]  所以今天我們就是要看看,
[00:01:32.200 --> 00:01:38.400]  我們照着耶穌亞的這段經文裏面來學習,
[00:01:38.400 --> 00:01:44.600]  在這種情況裏面我們怎麼去做我們的決定。
[00:01:44.600 --> 00:01:49.600]  從三節到十三節裏面我看到兩個原則,
[00:01:49.600 --> 00:01:54.200]  在耶穌亞的決定裏面。
[00:01:54.200 --> 00:01:59.600]  第一個原則就是,我們要做決定的時候,
[00:01:59.600 --> 00:02:03.800]  必須要照着神的話語,
[00:02:03.800 --> 00:02:13.000]  換個話來說就是要合法神的教導。
[00:02:13.000 --> 00:02:17.600]  在明書記第三支流章裏面,
[00:02:17.600 --> 00:02:21.600]  神已經吩咐摩西,
[00:02:21.600 --> 00:02:27.600]  當這些的婦女,這些五個斐羅法亞的女兒,
[00:02:27.600 --> 00:02:34.600]  這五個女兒,他們的情況摩西知道以後,
[00:02:34.600 --> 00:02:37.600]  求靠神的時候,神就告訴她,
[00:02:37.600 --> 00:02:44.600]  你要把他爸爸的產業給他們。
[00:02:44.600 --> 00:02:50.600]  爲什麼需要摩西,需要神來告訴他們呢?
[00:02:50.600 --> 00:02:57.600]  因爲斐羅西哈他沒有兒子,
[00:02:57.600 --> 00:03:01.600]  照着以色列他們的傳統裏面,
[00:03:01.600 --> 00:03:10.600]  只是男的後裔子孫纔可以借這個產業,
[00:03:10.600 --> 00:03:13.600]  所以他們沒有男生來借,
[00:03:13.600 --> 00:03:16.600]  所以因做這樣,
[00:03:16.600 --> 00:03:22.600]  這個五個女兒就來到摩西就求摩西幫助他們,
[00:03:22.600 --> 00:03:27.600]  然後照着神的旨意就給了他們。
[00:03:27.600 --> 00:03:31.600]  但是有個條件在明書記裏面有講到,
[00:03:31.600 --> 00:03:34.600]  條件就是他們嫁出去的時候,
[00:03:34.600 --> 00:03:38.600]  不能嫁別的民族或氏族,
[00:03:38.600 --> 00:03:43.600]  只是在他們自己的族裏面嫁出去。
[00:03:43.600 --> 00:03:53.600]  爲什麼呢?因爲他們所得到的產業就不會給別人拿去,
[00:03:53.600 --> 00:03:56.600]  他們留在自己的族裏面。
[00:03:56.600 --> 00:04:03.600]  所以在這個時間,在這個時候,
[00:04:03.600 --> 00:04:08.600]  當他們來到耶穌亞的面前來討他們爸爸的產業的時候,
[00:04:08.600 --> 00:04:11.600]  耶穌做的決定,
[00:04:11.600 --> 00:04:13.600]  祂說可以,我可以給你。
[00:04:13.600 --> 00:04:20.600]  不是因爲祂可憐這些五個女生,
[00:04:20.600 --> 00:04:31.600]  不是因爲她們是比較弱的性格,
[00:04:31.600 --> 00:04:34.600]  祂也不是因做這樣可憐她們做這個決定,
[00:04:34.600 --> 00:04:43.600]  乃是祂的決定是照着神已經說的給了她們。
[00:04:43.600 --> 00:04:47.600]  所以從耶穌亞的決定裏面我們可以看到,
[00:04:47.600 --> 00:04:51.600]  我們要做決定的時候,
[00:04:51.600 --> 00:04:54.600]  第一個要考慮的就是,
[00:04:54.600 --> 00:05:01.600]  我們的決定是跟神的話有沒有衝突。
[00:05:01.600 --> 00:05:07.600]  我們所做的決定不是因做我們的感受,
[00:05:07.600 --> 00:05:14.600]  或我們自己想的原因去做,
[00:05:14.600 --> 00:05:19.600]  對我們是神給我們一個腦,給我們一個思想,
[00:05:19.600 --> 00:05:26.600]  但是思想感受都要和神的話語。
[00:05:26.600 --> 00:05:34.600]  所以耶穌亞的決定不是靠着只是智慧跟感受,
[00:05:34.600 --> 00:05:39.600]  也是照着神的話語。
[00:05:39.600 --> 00:05:42.600]  我們都知道我們做基督徒的,
[00:05:42.600 --> 00:05:47.600]  我們應該要有愛心,有同情心,
[00:05:47.600 --> 00:05:55.600]  但是愛同情心不是非判神的話語,
[00:05:55.600 --> 00:05:59.600]  不能跟神的話語有衝突,
[00:05:59.600 --> 00:06:02.600]  也不是因做要討人的喜悅,
[00:06:02.600 --> 00:06:07.600]  我們就說可以。
[00:06:07.600 --> 00:06:15.600]  因爲如果只是照着我們的旨意,我們的感受去做的時候,
[00:06:15.600 --> 00:06:20.600]  那我們可以好像羅賓漢這樣做,
[00:06:20.600 --> 00:06:25.600]  去搶那些有錢人的東西給那些貧窮的人。
[00:06:25.600 --> 00:06:29.600]  這不是聖經所教導我們的。
[00:06:29.600 --> 00:06:40.600]  因爲如果你有好的動機,不是代表好的動機就是有好的做法或行爲。
[00:06:40.600 --> 00:06:48.600]  當沒有好的行爲的時候,也不能榮耀神的名。
[00:06:48.600 --> 00:06:56.600]  我記得我們開玩笑的時候,跟朋友開玩笑的時候,
[00:06:56.600 --> 00:07:01.600]  教會沒有錢,我們去賭博用錢來給教會,
[00:07:01.600 --> 00:07:05.600]  你說這樣做會討神的喜悅嗎?
[00:07:05.600 --> 00:07:07.600]  不會,對不對?
[00:07:07.600 --> 00:07:11.600]  因爲聖經很清楚教導我們做什麼?
[00:07:11.600 --> 00:07:15.600]  我們要依靠神,我們要相信神。
[00:07:15.600 --> 00:07:19.600]  聖經也教導我們不可以有貪心,
[00:07:19.600 --> 00:07:27.600]  因爲賭博很多時候都是我們的貪心,我們纔去賭博。
[00:07:27.600 --> 00:07:35.600]  或你在工作上有朋友叫你,或你的同工叫你幫他撒謊,
[00:07:35.600 --> 00:07:43.600]  因爲他要有個好的給老闆或什麼,有保障或不會被除掉,
[00:07:43.600 --> 00:07:45.600]  叫你幫他撒謊。
[00:07:45.600 --> 00:07:50.600]  我們要不要幫他撒謊呢?
[00:07:50.600 --> 00:07:54.600]  因爲我們可以幫這個人物,對不對?
[00:07:54.600 --> 00:07:58.600]  我們好心想幫他,但是我們所做的是對嗎?
[00:07:58.600 --> 00:08:03.600]  好的動機,但是做法是對嗎?
[00:08:03.600 --> 00:08:05.600]  不對。
[00:08:05.600 --> 00:08:17.600]  所以當我們用我們人自己的智慧,沒有道德或真理在我做我們的根據的時候,
[00:08:17.600 --> 00:08:27.600]  我們很多時候行出來的事情都是會非伴神的話,會跟神的話有衝突。
[00:08:27.600 --> 00:08:31.600]  聖經是教導我們要什麼?
[00:08:31.600 --> 00:08:32.600]  要相信神。
[00:08:32.600 --> 00:08:39.600]  當你相信神的時候,你要讓神來進入我們的生命裏面,
[00:08:39.600 --> 00:08:47.600]  我們的生命裏面來幫助我們,不是我們幫神去處理。
[00:08:47.600 --> 00:08:59.600]  所以,很多時候我們就是用我們的感情,用我們自己的智慧來做一個決定。
[00:08:59.600 --> 00:09:06.600]  或如果我們不幫這個人的時候,是不是我們沒有愛心?
[00:09:06.600 --> 00:09:13.600]  他叫我們幫他撒謊或幫他們做錯的事情的時候,
[00:09:13.600 --> 00:09:17.600]  我們不幫的時候,我們是不是沒有愛心?
[00:09:17.600 --> 00:09:19.600]  不是。
[00:09:19.600 --> 00:09:25.600]  因爲我們先要討神的喜悅,討神的榮耀。
[00:09:25.600 --> 00:09:35.600]  不是應做要討人的喜悅,特別當他要我們犯罪的時候。
[00:09:35.600 --> 00:09:46.600]  但是我們應該是用那個機會來幫助他們去怎麼樣去依靠相信神。
[00:09:46.600 --> 00:10:00.600]  所以,當你表現愛的時候,不和神的教導的時候,是在犯罪,是在不順服神。
[00:10:00.600 --> 00:10:10.600]  記得在柯林多前書,保羅教導柯林多教會,
[00:10:10.600 --> 00:10:21.600]  因爲有一個弟兄在裏面,他跟他的爺母,後母,後媽,後母有關係。
