
[00:00:00.000 --> 00:00:02.000]  謝謝Grace
[00:00:02.000 --> 00:00:04.000]  其實也有人問過我
[00:00:04.000 --> 00:00:08.000]  你上次講耶穌離別的禱告
[00:00:08.000 --> 00:00:10.000]  這次又講退休演說
[00:00:10.000 --> 00:00:12.000]  是不是跟你自己有關係
[00:00:12.000 --> 00:00:14.000]  其實是沒有的
[00:00:14.000 --> 00:00:16.000]  是我預備的講道
[00:00:16.000 --> 00:00:18.000]  是純屬巧合
[00:00:18.000 --> 00:00:20.000]  不關我的事
[00:00:20.000 --> 00:00:22.000]  不過想問問大家
[00:00:22.000 --> 00:00:24.000]  你有沒有參加過
[00:00:24.000 --> 00:00:26.000]  一些退休慶祝會呢
[00:00:26.000 --> 00:00:30.000]  通常那位退休人士
[00:00:30.000 --> 00:00:34.000]  會做一些演講演說
[00:00:34.000 --> 00:00:40.000]  這個演說應該怎樣講才算得體呢
[00:00:40.000 --> 00:00:42.000]  如果你問一些專家
[00:00:42.000 --> 00:00:44.000]  他會教你三道板斧
[00:00:44.000 --> 00:00:47.000]  那些還沒退休的人就聽著
[00:00:47.000 --> 00:00:49.000]  好像Alex那些
[00:00:49.000 --> 00:00:51.000]  還沒退休的那些
[00:00:51.000 --> 00:00:53.000]  三道板斧就是
[00:00:53.000 --> 00:00:57.000]  第一,你要精簡,千萬不要嘗試
[00:00:57.000 --> 00:01:01.000]  第二,要幽默
[00:01:01.000 --> 00:01:03.000]  第三,不要罵人
[00:01:03.000 --> 00:01:06.000]  有些人盡力一搏
[00:01:06.000 --> 00:01:07.000]  在退休的時候
[00:01:07.000 --> 00:01:10.000]  整間公司由頂罵到底
[00:01:10.000 --> 00:01:14.000]  但是薩姆爾好像不懂這些規律
[00:01:14.000 --> 00:01:16.000]  他全部犯了
[00:01:16.000 --> 00:01:19.000]  第一,他不精簡
[00:01:19.000 --> 00:01:22.000]  第二,看不到這個幽默
[00:01:22.000 --> 00:01:25.000]  第三,他又罵混那群以色列人
[00:01:25.000 --> 00:01:28.000]  還有,他還在退休演說當中
[00:01:28.000 --> 00:01:31.000]  祈禱求神,打雷降雨
[00:01:31.000 --> 00:01:35.000]  淋濕他們,嚇得他們死了
[00:01:35.000 --> 00:01:38.000]  但是薩姆爾就是神的僕人
[00:01:38.000 --> 00:01:40.000]  他所講的是上帝要他講的
[00:01:40.000 --> 00:01:43.000]  今天究竟上帝要我們
[00:01:43.000 --> 00:01:46.000]  在這個歷史的事件裡
[00:01:46.000 --> 00:01:48.000]  在一段經文裡學到些什麼呢
[00:01:48.000 --> 00:01:51.000]  一些很重要的東西
[00:01:51.000 --> 00:01:56.000]  我們今天來道思想
[00:01:56.000 --> 00:01:58.000]  或者你會問
[00:01:58.000 --> 00:02:01.000]  羅姆斯薩姆爾好像還沒退休
[00:02:01.000 --> 00:02:03.000]  因為十二章他演示之後
[00:02:03.000 --> 00:02:05.000]  還出現做了很多事情
[00:02:05.000 --> 00:02:09.000]  甚至高立了大位做下一任的皇帝
[00:02:09.000 --> 00:02:11.000]  即是隔代來欽點
[00:02:11.000 --> 00:02:14.000]  我們中國也有的
[00:02:14.000 --> 00:02:18.000]  聽聞說康熙欽點乾隆
[00:02:18.000 --> 00:02:22.000]  即是康熙雍正之後的乾隆
[00:02:22.000 --> 00:02:25.000]  也是康熙有份去祭拔
[00:02:25.000 --> 00:02:28.000]  不知道是不是真的
[00:02:28.000 --> 00:02:30.000]  他還沒退休
[00:02:30.000 --> 00:02:32.000]  為什麼說他退休演說呢
[00:02:32.000 --> 00:02:35.000]  其實薩姆爾的情景和我差不多
[00:02:35.000 --> 00:02:37.000]  我也退休了兩次
[00:02:37.000 --> 00:02:41.000]  不過換了崗位來侍奉神
[00:02:41.000 --> 00:02:46.000]  當時以色列的國政經歷了一個轉型
[00:02:46.000 --> 00:02:51.000]  從一個士師時代轉到一個先知時代
[00:02:51.000 --> 00:02:56.000]  也是從神權時代轉到一個軍權時代
[00:02:56.000 --> 00:02:59.000]  神權時代由上帝帶領
[00:02:59.000 --> 00:03:03.000]  軍權時代由一個人的皇帝帶領
[00:03:03.000 --> 00:03:07.000]  薩姆爾可以說是最後一個士師
[00:03:07.000 --> 00:03:11.000]  也可以說是先知時代的第一個先知
[00:03:11.000 --> 00:03:14.000]  由士師轉到先知時代的第一位先知
[00:03:14.000 --> 00:03:16.000]  薩姆爾所說的退休
[00:03:16.000 --> 00:03:20.000]  就是他從一個士師的位置退下來
[00:03:20.000 --> 00:03:23.000]  但是他就做了先知的位置
[00:03:23.000 --> 00:03:30.000]  就好像我從一個暴露總會的位置退下來
