
[00:00:00.000 --> 00:00:06.860]  大英節目早晨,我們平安女兒很感恩,我們一齊回來慶祝復活節
[00:00:06.860 --> 00:00:11.240]  今天我們看這段經文,可能你會少一點看
[00:00:11.240 --> 00:00:17.200]  有關於兩個人物,這兩個人物叫藥室,一個叫尼哥底墓
[00:00:17.200 --> 00:00:23.140]  我們平時都很少講到他,雖然聖誕復活的經文不是很多
[00:00:23.140 --> 00:00:28.060]  但我們復活節會少講,因為不知道放在哪個位置好
[00:00:28.060 --> 00:00:34.760]  因為如果是受苦節,我們通常講主耶穌遇難受害,十駕七言
[00:00:34.760 --> 00:00:43.400]  講耶穌所愛的門徒,耶穌母親,大致我們都在框架審判那一段
[00:00:43.400 --> 00:00:50.100]  如果講復活節的時候,就講到穆達拉瑪利亞來墳墓,要告耶穌
[00:00:50.100 --> 00:00:54.940]  大概講那些,或者耶穌所愛的門徒和彼得去到空墳墓
[00:00:54.940 --> 00:00:58.040]  大概我們會講這幾段經文,對不對?
[00:00:58.040 --> 00:01:01.440]  但剛剛中間這兩個,我覺得都很重要的人物
[00:01:01.440 --> 00:01:04.300]  不知道放在哪個位置好,所以平時很少講
[00:01:04.300 --> 00:01:09.640]  這個人物藥室和尼哥底墓,所以我今天要講出來
[00:01:09.640 --> 00:01:14.300]  這兩個人物有個特點,他們兩個都是暗暗的門徒
[00:01:14.300 --> 00:01:16.500]  所以我今天的題目是氣暗投明
[00:01:16.500 --> 00:01:21.000]  不知道你有沒有一些東西是藏起來,不想被人認識,不想被人知道的呢?
[00:01:21.000 --> 00:01:25.200]  或者隱藏在你心裡面,暗暗地做的
[00:01:25.200 --> 00:01:29.000]  我今天也想講,生命當中的暗暗
[00:01:29.000 --> 00:01:34.000]  會不會對於你來說,是一個抑壓,一個捆綁
[00:01:34.000 --> 00:01:40.300]  如果上帝為你,上帝主耶穌的恩典,讓你得到自由釋放的時候
[00:01:40.300 --> 00:01:44.200]  會不會成為主合用的器皿,也幫助到很多人
[00:01:44.200 --> 00:01:48.400]  我待會要和你分享這件事,要將這件事先藏在你心裡面
[00:01:48.400 --> 00:01:55.600]  這些事以後,這些事講到耶穌已經釘了十字架,已經斷氣了
[00:01:55.600 --> 00:01:59.000]  已經離開了,再人來看已經離世了
[00:01:59.000 --> 00:02:02.700]  這些事以後,有亞利馬太人藥室
[00:02:02.700 --> 00:02:07.900]  這個藥室,因為藥室中有很多個,你還記得哪個藥室?
[00:02:07.900 --> 00:02:11.000]  瑪麗亞的老公就叫藥室,還有哪個藥室?
[00:02:11.000 --> 00:02:15.200]  舊約還有一個藥室,一個舊全家
[00:02:15.200 --> 00:02:19.000]  亞國的兒子,其中一個兒子,一個舊全家的藥室
[00:02:19.000 --> 00:02:23.900]  所以特地要講明,這個是亞利馬太人藥室
