
[00:00:00.000 --> 00:00:01.320]  大英姐妹午安
[00:00:01.320 --> 00:00:05.880]  當我知道自己要跟大家分享這個題目的時候
[00:00:05.880 --> 00:00:12.160]  我就不期然地想起一首相當古老的
[00:00:12.160 --> 00:00:15.680]  反戰的一首文歌
[00:00:15.680 --> 00:00:19.200]  相信在座當中較為成熟的大英姐妹
[00:00:19.200 --> 00:00:20.720]  你必定聽過
[00:00:20.720 --> 00:00:23.600]  叫做《Where have all the flowers gone》
[00:00:23.600 --> 00:00:29.880]  其實這首歌1955年是由Peter Seeger所寫的
[00:00:29.880 --> 00:00:35.400]  被Peter Paul and Mary唱到街之巷聞
[00:00:35.400 --> 00:00:40.200]  這首歌一開始的時候歌詞是這樣說
[00:00:40.200 --> 00:00:42.880]  Where have all the flowers gone?
[00:00:42.880 --> 00:00:44.760]  Long time passing
[00:00:44.760 --> 00:00:46.760]  Where have all the flowers gone?
[00:00:46.760 --> 00:00:48.320]  Long time ago
[00:00:48.320 --> 00:00:50.320]  Where have all the flowers gone?
[00:00:50.320 --> 00:00:53.200]  Young girls have picked them everyone
[00:00:53.200 --> 00:00:55.440]  Oh, when will they ever learn?
[00:00:55.440 --> 00:00:58.760]  Oh, when will they ever learn?
[00:00:58.760 --> 00:01:05.360]  接下來每一段都相當之重複
[00:01:05.360 --> 00:01:07.640]  改了少少東西
[00:01:07.640 --> 00:01:11.560]  他去問究竟這些花去了哪裏
[00:01:11.560 --> 00:01:17.880]  原來去了那些年輕的少女那裏
[00:01:17.880 --> 00:01:20.760]  Where have all the young girls gone?
[00:01:20.760 --> 00:01:23.320]  這些年輕少女去了哪裏
[00:01:23.320 --> 00:01:25.320]  去了嫁人
[00:01:25.320 --> 00:01:27.960]  去了他們的Husbands那裏
[00:01:27.960 --> 00:01:30.600]  Where have all the Husbands gone?
[00:01:30.600 --> 00:01:32.600]  這些丈夫去了哪裏
[00:01:32.600 --> 00:01:36.120]  原來去了當兵
[00:01:36.120 --> 00:01:39.560]  Where have all the soldiers gone?
[00:01:39.560 --> 00:01:41.720]  因為打仗的緣故
[00:01:41.720 --> 00:01:45.360]  結果戰死沙場
[00:01:45.360 --> 00:01:48.440]  這些Graveyard又去了哪裏
[00:01:48.440 --> 00:01:52.600]  原來已經長滿了鮮花
[00:01:52.600 --> 00:01:57.240]  當每一段去到拉美的時候
[00:01:57.240 --> 00:02:01.400]  其實他都在問同一個問題
[00:02:01.400 --> 00:02:04.520]  When will they ever learn?
[00:02:04.520 --> 00:02:08.280]  似乎從有歷史開始
[00:02:08.280 --> 00:02:11.400]  人和人之間那種衝突
[00:02:11.400 --> 00:02:14.240]  國和國之間那種紛爭
[00:02:14.240 --> 00:02:16.960]  好像都沒有停過
[00:02:16.960 --> 00:02:22.240]  人真的好像這首詩歌裏面所講
[00:02:22.240 --> 00:02:24.840]  好像沒有辦法學懂
[00:02:24.840 --> 00:02:29.200]  使人和睦或者和睦這件事
[00:02:29.200 --> 00:02:31.760]  根本就是一個天方夜譚
[00:02:31.760 --> 00:02:33.760]  遙不可及
[00:02:33.760 --> 00:02:35.040]  所以有人說
[00:02:35.040 --> 00:02:39.000]  如果真的能夠做得到使人和睦
[00:02:39.000 --> 00:02:41.800]  就天下太平了
[00:02:41.800 --> 00:02:43.640]  在兩個星期之前
[00:02:43.640 --> 00:02:45.480]  吳牧師就和我們分享
[00:02:45.480 --> 00:02:48.640]  《清心的人》這個題目
[00:02:48.640 --> 00:02:52.680]  當時就用《瑪麗福音》第五章第八節
[00:02:52.680 --> 00:02:54.680]  這一段的聖經
[00:02:54.680 --> 00:02:59.480]  今日這個使人和睦這個題目
[00:02:59.480 --> 00:03:02.480]  就接著去講第九節
[00:03:02.480 --> 00:03:03.800]  這一節的經文
[00:03:03.800 --> 00:03:07.200]  亦都是八幅裏面尾二那一幅
[00:03:07.200 --> 00:03:10.280]  剛才大家都讀過了
[00:03:10.280 --> 00:03:13.840]  使人和睦其實是一個複合字
[00:03:13.840 --> 00:03:17.480]  意思就是由兩個字拼在一起
[00:03:17.480 --> 00:03:19.240]  和睦peace
[00:03:19.240 --> 00:03:23.720]  和使到xxxx的人maker
[00:03:23.720 --> 00:03:28.200]  簡單的直譯就是製造和平的人
[00:03:28.200 --> 00:03:30.800]  如果這個字和睦
[00:03:30.800 --> 00:03:32.960]  我們想一想
[00:03:32.960 --> 00:03:34.480]  我們就會想像到
[00:03:34.480 --> 00:03:38.680]  可能是人和人之間的和合相處
