
[00:00:00.000 --> 00:00:02.800]  今天我們講的經文是
[00:00:02.800 --> 00:00:06.920]  《馬克福音》第七章第二十四節至三十一節
[00:00:06.920 --> 00:00:08.680]  我們的講題是
[00:00:08.680 --> 00:00:14.640]  「伶涼從天降,小狗變公主」
[00:00:14.640 --> 00:00:17.720]  今天這段聖經表面上好像很簡單
[00:00:17.720 --> 00:00:19.360]  只有七節的聖經
[00:00:19.360 --> 00:00:24.400]  但其實是非常難解、難明白的一段聖經
[00:00:24.400 --> 00:00:27.280]  很多人當你去讀這個故事的時候
[00:00:27.280 --> 00:00:29.840]  很容易犯兩個錯誤
[00:00:29.840 --> 00:00:34.520]  第一個錯誤是將焦點放在小狗上
[00:00:34.520 --> 00:00:39.000]  他們會說為什麼耶穌會叫那個婦人做狗
[00:00:39.000 --> 00:00:41.440]  為什麼耶穌這麼尖酸刻薄
[00:00:41.440 --> 00:00:42.760]  這是第一個錯誤
[00:00:42.760 --> 00:00:47.720]  第二個錯誤是將焦點放在公主的身上
[00:00:47.720 --> 00:00:52.400]  就是當這個故事是一個趕鬼醫治的神蹟
[00:00:52.400 --> 00:00:56.400]  於是他們會很專注地想著耶穌基督的大能
[00:00:56.400 --> 00:00:59.680]  他們會很專注地想著這個婦人的信心
[00:00:59.680 --> 00:01:01.280]  希望自己都有信心
[00:01:01.280 --> 00:01:07.080]  希望自己從耶穌身上都可以得著一些大能
[00:01:07.080 --> 00:01:10.360]  但當你仔細地去研讀這個故事的時候
[00:01:10.360 --> 00:01:14.480]  你會發現原來故事真正的主角
[00:01:14.480 --> 00:01:17.480]  既不是小狗又不是公主
[00:01:17.480 --> 00:01:20.720]  而是中間的狗糧
[00:01:20.720 --> 00:01:22.680]  是那些麵包碎
[00:01:22.680 --> 00:01:25.760]  是天上降下來的麵包碎
[00:01:25.760 --> 00:01:29.120]  他們是生命的麵包
[00:01:29.120 --> 00:01:33.080]  最後一切指向主耶穌祂自己
[00:01:33.080 --> 00:01:36.280]  是耶穌自己才是整個故事的中心
[00:01:36.280 --> 00:01:39.000]  整個故事最終的主角
[00:01:39.000 --> 00:01:45.120]  我想邀請你跟我一起去重聽這個福音的故事
