
[00:00:00.000 --> 00:00:03.000]  講一個很特別的題目
[00:00:03.000 --> 00:00:06.300]  這個題目我應該在會點也是第一次講
[00:00:06.300 --> 00:00:08.300]  這段經文也是第一次講
[00:00:08.300 --> 00:00:10.300]  我們會講一個題目
[00:00:10.300 --> 00:00:12.300]  因爲這個月是我們的家庭月
[00:00:12.300 --> 00:00:14.500]  我們會講一個有關家庭的
[00:00:14.500 --> 00:00:17.500]  今天這個震撼的題目
[00:00:17.500 --> 00:00:20.000]  就是由我教大家怎麼做媽媽
[00:00:20.000 --> 00:00:22.000]  基本上就是這個題目
[00:00:22.000 --> 00:00:25.500]  今天我們會講《針研三十一章》
[00:00:25.500 --> 00:00:28.500]  《針研三十一章》其實是一段
[00:00:28.500 --> 00:00:31.000]  很多人會誤解的經文
[00:00:31.000 --> 00:00:33.000]  因爲很多人會
[00:00:33.000 --> 00:00:38.500]  很多女性說她們很憎《針研三十一章》
[00:00:38.500 --> 00:00:41.000]  因爲裏面講到一個完美的婦人
[00:00:41.000 --> 00:00:44.000]  每一次見到這個完美的婦人就很憎她
[00:00:44.000 --> 00:00:46.500]  每一次看到這麼完美就覺得自己很自卑
[00:00:46.500 --> 00:00:48.000]  很有自卑感
[00:00:48.000 --> 00:00:49.000]  經常覺得
[00:00:49.000 --> 00:00:53.000]  無論我怎麼努力做一個好的妻子
[00:00:53.000 --> 00:00:55.000]  好的媽媽
[00:00:55.000 --> 00:00:57.000]  或者一個好的sister在教會
[00:00:57.000 --> 00:00:59.000]  但是一旦一開始比較
[00:00:59.000 --> 00:01:03.000]  《針研三十一章》裏面那個完美的婦人
[00:01:03.000 --> 00:01:06.000]  你會發覺突然間那種自卑感就會來襲
[00:01:06.000 --> 00:01:07.000]  會突然間
[00:01:07.000 --> 00:01:09.000]  原來我真的差很遠
[00:01:09.000 --> 00:01:12.000]  所以有一位姐妹在她的blog上寫
[00:01:12.000 --> 00:01:16.000]  她說如果這位《針研三十一章》這個完美的婦人
[00:01:16.000 --> 00:01:18.000]  突然間暴斃的話
[00:01:18.000 --> 00:01:20.000]  她說一點都不會覺得傷心
[00:01:20.000 --> 00:01:21.000]  她說應該的
[00:01:21.000 --> 00:01:23.000]  所以她很憎這個婦人
[00:01:23.000 --> 00:01:25.000]  所以今天我想和大家
[00:01:25.000 --> 00:01:27.000]  先花點時間在第一個point
[00:01:27.000 --> 00:01:30.000]  先解釋一下《針研三十一章》
[00:01:30.000 --> 00:01:32.000]  到底她說的是什麼
[00:01:32.000 --> 00:01:36.000]  還有這段經文應該是怎麼去使用
[00:01:36.000 --> 00:01:38.000]  以至於你明白之後
[00:01:38.000 --> 00:01:42.000]  我希望你愛上這個《針研三十一章》這個完美的婦人
[00:01:42.000 --> 00:01:44.000]  兼且你愛上《針研三十一章》
[00:01:44.000 --> 00:01:46.000]  你會明白
[00:01:46.000 --> 00:01:48.000]  你會愛上原來《針研三十一章》裏面
[00:01:48.000 --> 00:01:52.000]  有很多很好的智慧來教導我們
[00:01:52.000 --> 00:01:55.000]  特別是女性那方面
[00:01:55.000 --> 00:01:58.000]  怎麼成爲一個敬畏神又有智慧的女性
[00:01:58.000 --> 00:02:01.000]  第一個point我們就先看看
[00:02:01.000 --> 00:02:03.000]  這個智慧
[00:02:03.000 --> 00:02:07.000]  這個很嚴衛女性的價值和她的定義
[00:02:07.000 --> 00:02:09.000]  就在《針研三十一章》第十節
[00:02:09.000 --> 00:02:14.000]  那裏說嚴衛的妻子哪裏去找呢
[00:02:14.000 --> 00:02:18.000]  她說她的價值遠勝過珠寶
[00:02:18.000 --> 00:02:20.000]  原文是Rubies
[00:02:20.000 --> 00:02:25.000]  當年Rubies其實是比黃金還要貴重
[00:02:25.000 --> 00:02:27.000]  聖經就非常之
[00:02:27.000 --> 00:02:30.000]  給予女性價值一個很高的定位
[00:02:30.000 --> 00:02:34.000]  就是說她比珠寶比黃金更加貴重
[00:02:34.000 --> 00:02:36.000]  基本上她是無價的
