
[00:00:00.000 --> 00:00:05.000]  大家好,今天我們一起學習這個課題積極人生
[00:00:05.000 --> 00:00:09.000]  我不知道你心目中是否一個積極的人
[00:00:09.000 --> 00:00:12.000]  不過聖經提醒我們,每個人都要積極
[00:00:12.000 --> 00:00:17.000]  我們看看我們的積極和世人所說的積極有何不同
[00:00:17.000 --> 00:00:24.000]  有些人覺得自我膨脹得很厲害,我一定可以
[00:00:24.000 --> 00:00:30.000]  聖經怎樣看呢?願意我們一起學習,我們一起禱告
[00:00:30.000 --> 00:00:37.000]  多謝你讓我們今天看到傳道書裏面一個很重要的訊息
[00:00:37.000 --> 00:00:42.000]  幫助我們,讓我們做一個積極的人,活出美好的生命
[00:00:42.000 --> 00:00:49.000]  求主你去幫助我們,願意你自己的話語,節著,無用的氣命
[00:00:49.000 --> 00:00:52.000]  能夠講得清楚明白,我們一起得到幫助
[00:00:52.000 --> 00:00:56.000]  我們祈禱,奉主耶穌基督的名,阿們
[00:00:56.000 --> 00:01:04.000]  在美國有一個很有爆炸性的報道家,叫John Hegar
[00:01:04.000 --> 00:01:12.000]  John Hegar是一個很有恩賜的講員,他講道很精彩
[00:01:12.000 --> 00:01:17.000]  John Hegar有一個特色,他不喜歡墨守成規一些東西
[00:01:17.000 --> 00:01:21.000]  他看到一些東西要做,就會去創新做一些事情
[00:01:21.000 --> 00:01:27.000]  在60年代他就看到亞洲地區很多政局的改變
[00:01:27.000 --> 00:01:32.000]  他作為一個報道家,他覺得這個情況我們要有一個新的策略
[00:01:32.000 --> 00:01:39.000]  他就仰望禱告,用了好幾年的時間做一些研究工作
[00:01:39.000 --> 00:01:44.000]  後來他創立了一個機構,這個機構專門做什麼呢?
[00:01:44.000 --> 00:01:52.000]  John Hegar有個想法,這些世界的變動和以往傳福音的方法不可以再這樣
[00:01:52.000 --> 00:01:56.000]  我們的宣教士去到那裡做很多事情,不可以的
[00:01:56.000 --> 00:02:02.000]  一定要讓他們自己去做,所以他的目的就是訓練一些傳道人
[00:02:02.000 --> 00:02:09.000]  然後讓傳道人自己在那個地方將福音傳遍他們自己本地的人
[00:02:09.000 --> 00:02:20.000]  所以他就一直做這個培訓的工作,在很多年來他培訓了數以萬計的亞洲領袖
[00:02:20.000 --> 00:02:26.000]  這些領袖數以萬計,然後他們又去傳福音,然後又訓練很多人
[00:02:26.000 --> 00:02:30.000]  倍增得非常厲害,很有爆炸力
[00:02:30.000 --> 00:02:37.000]  John Hegar是一個很積極的人,他可以影響很多人的生命
[00:02:37.000 --> 00:02:43.000]  他很多年的工作,在這個傳道工作60年之久
