
[00:00:00.000 --> 00:00:03.560]  好 今天我們就看《新面記》識讀的第三
[00:00:03.560 --> 00:00:05.160]  上次我們看到
[00:00:05.160 --> 00:00:09.600]  國之四維有四種很重要的質素就是
[00:00:09.600 --> 00:00:12.700]  禮 義 廉 恥
[00:00:12.700 --> 00:00:14.700]  大家可以在YouTube再聽聽
[00:00:14.700 --> 00:00:17.800]  但是今天我們就會看四樣東西
[00:00:17.800 --> 00:00:22.900]  大家都很熟悉就是修身 齊家 治國 平天下
[00:00:22.900 --> 00:00:26.200]  原來這個出自禮記的大學
[00:00:26.200 --> 00:00:29.500]  是儒家思想的核心中心
[00:00:29.500 --> 00:00:32.800]  特別是先講個人
[00:00:32.800 --> 00:00:35.200]  個人有好的道德修養
[00:00:35.200 --> 00:00:36.800]  每個人都是
[00:00:36.800 --> 00:00:38.800]  然後有好的家庭之後
[00:00:38.800 --> 00:00:42.500]  就能夠令到國家上面可以很安穩
[00:00:42.500 --> 00:00:44.000]  甚至天下太平
[00:00:44.000 --> 00:00:49.700]  這句話講到原來是逐漸由個人一路擴展上去
[00:00:49.700 --> 00:00:52.300]  這句話來自哪裡呢?
[00:00:52.300 --> 00:00:54.700]  就是禮記大學裡面
[00:00:54.700 --> 00:01:00.700]  好 我們請Yvonne幫我們讀出這一段古文 好嗎?
[00:01:23.700 --> 00:01:24.800]  如果大家留意到
[00:01:24.800 --> 00:01:27.200]  我特別點亮了藍色的
[00:01:27.200 --> 00:01:29.200]  就是明德格物
[00:01:29.200 --> 00:01:32.200]  就是香港大學的校訓
[00:01:32.200 --> 00:01:34.700]  這段話講的是什麼呢?
[00:01:34.700 --> 00:01:38.200]  原來個人道德修養是影響自己的家庭
[00:01:38.200 --> 00:01:39.200]  這是很真的
[00:01:39.200 --> 00:01:41.200]  如果是一個好脾氣暴躁
[00:01:41.200 --> 00:01:43.200]  或者行為不羈的人
[00:01:43.200 --> 00:01:44.700]  這個家庭怎麼會好呢?
[00:01:44.700 --> 00:01:47.200]  所以如果你有好的道德修養
[00:01:47.200 --> 00:01:49.200]  就令到你的家庭是和諧的
[00:01:49.200 --> 00:01:51.700]  國家乃至天下的根本
[00:01:51.700 --> 00:01:54.700]  所以需要由自身做起
[00:01:54.700 --> 00:01:56.200]  循序漸進
[00:01:56.200 --> 00:02:01.200]  最終達到天下大治的理想狀態
[00:02:01.200 --> 00:02:03.200]  修身就是什麼呢?
[00:02:03.200 --> 00:02:06.200]  首先要修養自身的品德
[00:02:06.200 --> 00:02:10.200]  培養良好的道德操守和內在的修為
[00:02:10.200 --> 00:02:12.200]  齊家是什麼呢?
