
[00:00:00.000 --> 00:00:05.600]  今天晚上很特別可以回到北角宣導會
[00:00:05.600 --> 00:00:09.400]  我回來是因為我在這個地方長大
[00:00:09.400 --> 00:00:14.400]  我自己本身的教會就在這裡隔離的北角科音堂
[00:00:14.400 --> 00:00:18.200]  而我很小的時候就已經來過北角宣導會
[00:00:18.200 --> 00:00:23.200]  今天是一個很特別的時刻來到這裡
[00:00:23.200 --> 00:00:26.400]  跟大家分享一些聖經的說話
[00:00:26.400 --> 00:00:29.600]  以及我自己的一個體驗
[00:00:29.600 --> 00:00:35.800]  根據我面前這個Google的數字
[00:00:35.800 --> 00:00:43.000]  今天全球新的疫症肺炎
[00:00:43.000 --> 00:00:54.800]  只是今天就有多了23萬人感染了這個病
[00:00:54.800 --> 00:01:00.800]  到目前為止全世界有3650萬人感染了
[00:01:00.800 --> 00:01:04.800]  死亡人數是超過了100萬
[00:01:04.800 --> 00:01:07.800]  是160萬人死亡
[00:01:07.800 --> 00:01:19.800]  所以在這裡我是對著一個暫時沒有會眾的禮拜堂來分享
[00:01:19.800 --> 00:01:22.800]  但是我覺得這個很有意思
[00:01:22.800 --> 00:01:27.800]  我記得幾個月前我聽過一個很出名的男高音
[00:01:27.800 --> 00:01:30.800]  叫做Andrea Bocelli
[00:01:30.800 --> 00:01:35.800]  他在米蘭的Domo Church Cathedral
[00:01:35.800 --> 00:01:37.800]  很大的一個禮拜堂
[00:01:37.800 --> 00:01:38.800]  一個人都沒有的
[00:01:38.800 --> 00:01:40.800]  只有一個風琴
[00:01:40.800 --> 00:01:45.800]  他就站在這個禮拜堂裡面唱了一系列的聖詩
[00:01:45.800 --> 00:01:48.800]  最後一首就是奇異恩典
[00:01:48.800 --> 00:01:50.800]  Amazing Grace
[00:01:50.800 --> 00:01:52.800]  Absolutely Amazing
[00:01:52.800 --> 00:01:54.800]  是一個空的禮拜堂
[00:01:54.800 --> 00:01:57.800]  完全沒有人的
[00:01:57.800 --> 00:01:58.800]  米蘭市
[00:01:58.800 --> 00:02:02.800]  整個城市都像死城一樣
[00:02:02.800 --> 00:02:07.800]  唱出一首詩歌叫做Amazing Grace
[00:02:07.800 --> 00:02:13.800]  就令我回想起17年前在沙士的時候
[00:02:13.800 --> 00:02:19.800]  其實我們面對的疫情
[00:02:19.800 --> 00:02:24.800]  我覺得跟這次是非常不同的
[00:02:24.800 --> 00:02:26.800]  但是當年的疫情
[00:02:26.800 --> 00:02:29.800]  是讓我體會了很多東西
[00:02:29.800 --> 00:02:32.800]  特別作為一個基督徒的時候
[00:02:32.800 --> 00:02:37.800]  他教了我體會了很多很重要的人生的教訓
[00:02:37.800 --> 00:02:44.800]  今天我就想藉著兩段聖經和我的回憶
[00:02:44.800 --> 00:02:47.800]  跟大家分享一下
[00:02:47.800 --> 00:02:57.800]  當時香港有三千多名感染了沙士
[00:02:57.800 --> 00:03:03.800]  全香港有299人喪失了生命
[00:03:03.800 --> 00:03:08.800]  所以大約算起來死亡率是10%
[00:03:08.800 --> 00:03:13.800]  但是更加令我們震驚的是
[00:03:13.800 --> 00:03:17.800]  在感染的人當中有25%是醫護人員
[00:03:17.800 --> 00:03:21.800]  就是說他們是醫生或者護士
[00:03:21.800 --> 00:03:23.800]  或者物理治療員
[00:03:23.800 --> 00:03:31.800]  甚至乎是在醫院裡面幫忙換床單的阿姐
[00:03:31.800 --> 00:03:35.800]  總之有25%的沙士感染的人
[00:03:35.800 --> 00:03:41.800]  其實是在醫院裡面工作的
[00:03:41.800 --> 00:03:44.800]  甚至乎面對這個突如其來的疫情
[00:03:44.800 --> 00:03:46.800]  其實我照顧的人當中
[00:03:46.800 --> 00:03:52.800]  有一半是我自己的同事
[00:03:52.800 --> 00:03:54.800]  昨天還在跟他打球
[00:03:54.800 --> 00:03:59.800]  還是一個很年輕的二十多三十歲的醫生
[00:03:59.800 --> 00:04:02.800]  今天就睡在一張病床上
[00:04:02.800 --> 00:04:05.800]  喘氣喘到一個地步
[00:04:05.800 --> 00:04:08.800]  他連說一句話的氣力都沒有
[00:04:08.800 --> 00:04:10.800]  他的家人打電話給他
[00:04:10.800 --> 00:04:13.800]  他說不出他想說的那句話
[00:04:13.800 --> 00:04:15.800]  在一兩天之內
[00:04:15.800 --> 00:04:19.800]  當年的經歷歷歷在目
[00:04:19.800 --> 00:04:24.800]  我記得當第一個醫生感染了非典
[00:04:24.800 --> 00:04:26.800]  而進入深切治療部的時候
[00:04:26.800 --> 00:04:28.800]  我們心裡面都很擔心
[00:04:28.800 --> 00:04:37.800]  因為如果當時有一個醫生這麼早就去世的話
[00:04:37.800 --> 00:04:41.800]  一定會引起整個醫院很大的恐慌
[00:04:41.800 --> 00:04:47.800]  其他的人就會離開醫院
[00:04:47.800 --> 00:04:51.800]  就算那個醫生沒有離開這個世界
[00:04:51.800 --> 00:04:53.800]  我還記得我去到瑪嘉烈醫院
[00:04:53.800 --> 00:04:56.800]  去到伊利沙伯醫院去分享的時候
[00:04:56.800 --> 00:04:57.800]  一直說的時候
[00:04:57.800 --> 00:05:00.800]  我看到台下的護士和醫生
[00:05:00.800 --> 00:05:01.800]  特別是護士都一直在哭
[00:05:01.800 --> 00:05:02.800]  因為他們很害怕
[00:05:02.800 --> 00:05:07.800]  他們知道這個疫情一定會來到我們的中間
[00:05:07.800 --> 00:05:11.800]  於是瑪嘉烈醫院最後變成了整間沙士醫院
[00:05:11.800 --> 00:05:13.800]  很多很多的病人
[00:05:13.800 --> 00:05:15.800]  伊利沙伯醫院如是
[00:05:15.800 --> 00:05:17.800]  聯合醫院如是
[00:05:17.800 --> 00:05:19.800]  其實香港當時差不多所有的醫院
[00:05:19.800 --> 00:05:22.800]  都成為了沙士的醫院
[00:05:22.800 --> 00:05:24.800]  但是我今天想和大家分享的
[00:05:24.800 --> 00:05:27.800]  不是當日的疫情
[00:05:27.800 --> 00:05:31.800]  而是當日我看到有一個很奇怪的現象
[00:05:31.800 --> 00:05:37.800]  令我想起究竟信耶穌是一個怎樣的一回事
[00:05:37.800 --> 00:05:42.800]  我在這裡有幾張幻燈
[00:05:42.800 --> 00:05:45.800]  想和大家介紹一個病
[00:05:45.800 --> 00:05:49.800]  這個病是在幾百年前
[00:05:49.800 --> 00:05:51.800]  甚至乎在幾十年前
[00:05:51.800 --> 00:05:54.800]  都還在這個世界上
[00:05:54.800 --> 00:05:57.800]  而且對人類來說是一個很大的威脅
[00:05:57.800 --> 00:06:01.800]  這個病在聖經裡面出現過幾次
[00:06:01.800 --> 00:06:04.800]  而是一個很特別的病
[00:06:04.800 --> 00:06:06.800]  而我今天想和大家分享的
[00:06:06.800 --> 00:06:10.800]  是耶穌在兩個不同的場合裡面
[00:06:10.800 --> 00:06:12.800]  怎樣去醫治這個病
[00:06:12.800 --> 00:06:14.800]  而在當中我有一個體會
[00:06:14.800 --> 00:06:16.800]  這個病的英文
[00:06:16.800 --> 00:06:18.800]  當中有些醫生在這裡
[00:06:18.800 --> 00:06:21.800]  這個病的英文叫做Hanson's Disease
[00:06:21.800 --> 00:06:24.800]  是Hanson這個醫生發現的
[00:06:24.800 --> 00:06:28.800]  他今天叫做麻瘋
[00:06:28.800 --> 00:06:31.800]  我這幅圖給你看的是什麼呢
[00:06:31.800 --> 00:06:35.800]  右手邊就是那些細胞
