
[00:00:00.000 --> 00:00:02.000]  在新的一年開始
[00:00:02.000 --> 00:00:05.500]  我真的衷心的來帶去祝福大家
[00:00:05.500 --> 00:00:10.240]  是有神的恩典、平安和喜樂在大家的裡面
[00:00:10.240 --> 00:00:11.760]  特別是平安
[00:00:11.760 --> 00:00:13.760]  真正的平安不是外在
[00:00:13.760 --> 00:00:16.000]  是內心裡面那種的平安
[00:00:16.000 --> 00:00:18.000]  這個是很重要的
[00:00:18.000 --> 00:00:20.620]  每一年裡面我都會來帶去
[00:00:20.620 --> 00:00:25.000]  按照我自己的情況
[00:00:25.000 --> 00:00:28.000]  那個生肖就會講一篇道的
[00:00:28.000 --> 00:00:32.000]  但是呢 原來我還沒蓋過
[00:00:32.000 --> 00:00:34.880]  今年呢 就是農曆
[00:00:34.880 --> 00:00:36.500]  East of the Dragon
[00:00:36.500 --> 00:00:38.000]  就是農年
[00:00:38.000 --> 00:00:39.500]  這個時候呢
[00:00:39.500 --> 00:00:43.000]  我就會跟大家照樣去分享的
[00:00:43.000 --> 00:00:46.500]  不過 過去如果熟悉我的都知道
[00:00:46.500 --> 00:00:50.000]  我是會雞年華雞 牛年華牛
[00:00:50.000 --> 00:00:52.500]  但是今年是唯一一年最特別的
[00:00:52.500 --> 00:00:54.500]  就是農年華蛇
[00:00:54.500 --> 00:01:00.000]  首先要知道 用十二種動物循環成為那一年的生肖
[00:01:00.000 --> 00:01:02.500]  其實每年有一隻動物
[00:01:02.500 --> 00:01:05.000]  十二年就是一次的循環
[00:01:05.000 --> 00:01:07.000]  所以我都很大感受
[00:01:07.000 --> 00:01:10.000]  我相信我不會再有機會再講農年華蛇
[00:01:10.000 --> 00:01:12.500]  因為呢 求神憐憫
[00:01:12.500 --> 00:01:17.000]  如果是的話 我就應該八十多歲了
[00:01:17.000 --> 00:01:20.500]  原來由動物作為一個生肖
[00:01:20.500 --> 00:01:24.000]  相傳是由魏晉南北朝的時候開始的
[00:01:24.000 --> 00:01:26.500]  一直流傳至今
[00:01:26.500 --> 00:01:30.000]  現在呢 中國要用什麼呢
[00:01:30.000 --> 00:01:33.500]  Year of the Lone 都挺正確的
[00:01:33.500 --> 00:01:39.500]  剛剛才知道香港的小巴沒有錢供
[00:01:39.500 --> 00:01:42.500]  被銀行收回 銀行都很慘
[00:01:42.500 --> 00:01:44.000]  收回的小巴都沒用的
[00:01:44.000 --> 00:01:46.000]  就call Lone 就Lone了
[00:01:46.000 --> 00:01:48.500]  好了 早兩三年買樓的那些
[00:01:48.500 --> 00:01:50.000]  又Year of the Lone
[00:01:50.000 --> 00:01:52.000]  又會來到什麼呢
[00:01:52.000 --> 00:01:55.000]  炒賣樓房 炒賣股票
[00:01:55.000 --> 00:01:59.000]  但其實過去我們一向都說叫做Dragon
[00:01:59.000 --> 00:02:00.500]  但問題是現在中國就說到
[00:02:00.500 --> 00:02:02.500]  龍是吉祥的
[00:02:02.500 --> 00:02:06.500]  西方的龍就是不好的
[00:02:06.500 --> 00:02:08.500]  我們就會來看看
[00:02:08.500 --> 00:02:10.500]  究竟這些龍是怎樣的
[00:02:10.500 --> 00:02:13.500]  中國的龍是怎樣的呢
[00:02:13.500 --> 00:02:15.000]  如果我們留意一下
[00:02:15.000 --> 00:02:16.000]  十二種動物裡面
[00:02:16.000 --> 00:02:19.000]  只有龍是沒有實質的出現過的
[00:02:19.000 --> 00:02:21.500]  是一個很抽象的信念而已
[00:02:21.500 --> 00:02:28.500]  其餘的蛇 馬 羊 猴 雞 狗 豬 鼠 牛 虎 兔
[00:02:28.500 --> 00:02:31.000]  都是我們日常生活裡面所看到的
