
[00:00:00.000 --> 00:00:03.400]  主啊,祢是配授一切的掌聲
[00:00:03.400 --> 00:00:05.600]  主啊,祢先愛我們
[00:00:05.600 --> 00:00:07.500]  因為祢揀選我們今天
[00:00:07.500 --> 00:00:09.500]  可以在祢面前去站立
[00:00:09.500 --> 00:00:11.600]  一切來到祢面前去敬拜祢
[00:00:11.600 --> 00:00:13.000]  主啊,今天我們宣告
[00:00:13.000 --> 00:00:14.800]  我們每一個都是屬於祢
[00:00:14.800 --> 00:00:16.900]  無分彼此屬於祢
[00:00:16.900 --> 00:00:20.800]  今天讓聖靈和我們的心去印證
[00:00:20.800 --> 00:00:23.300]  我們每一個是祢寶貴的兒女
[00:00:23.300 --> 00:00:26.400]  這個身份是沒有任何的遭遇
[00:00:26.400 --> 00:00:27.600]  沒有任何的背景
[00:00:27.600 --> 00:00:29.500]  沒有任何的經歷
[00:00:29.500 --> 00:00:30.700]  可以奪去
[00:00:30.700 --> 00:00:33.600]  主啊,就讓主祢的靈來到我們當中
[00:00:33.600 --> 00:00:36.100]  讓我們經歷祢祥和高深的愛
[00:00:36.100 --> 00:00:37.200]  我們奉耶穌基督的名
[00:00:37.200 --> 00:00:38.700]  吩咐一切不屬於耶穌的
[00:00:38.700 --> 00:00:40.000]  都要離開等著祢的身心
[00:00:40.000 --> 00:00:41.400]  離開祢的地方
[00:00:41.400 --> 00:00:42.800]  主啊,這裡是屬於祢
[00:00:42.800 --> 00:00:44.300]  我們每一個是屬於祢
[00:00:44.300 --> 00:00:46.300]  所以主啊,讓我們專注於祢
[00:00:46.300 --> 00:00:47.600]  經歷祢的豐盛
[00:00:47.600 --> 00:00:48.800]  聽祢的聲音
[00:00:48.800 --> 00:00:50.800]  讓祢的真理來到我們當中
[00:00:50.800 --> 00:00:53.000]  讓我們更加明白祢的旨意
[00:00:53.000 --> 00:00:54.400]  體會祢的心腸
[00:00:54.400 --> 00:00:56.000]  多謝祢聽我們的禱告
[00:00:56.000 --> 00:00:58.700]  來奉耶穌基督得聖的名
[00:00:58.700 --> 00:01:00.700]  Amen,等姐妹請坐
[00:01:29.200 --> 00:01:30.700]  麻煩一碗湯麵
[00:01:30.700 --> 00:01:34.800]  三個人才叫一碗湯麵?
[00:01:34.800 --> 00:01:36.900]  老闆娘有點疑惑
[00:01:36.900 --> 00:01:39.700]  但心裡大概都明白
[00:01:39.700 --> 00:01:42.200]  老闆煮麵的時間
[00:01:42.200 --> 00:01:44.100]  特意加多半個麵
[00:01:44.100 --> 00:01:46.300]  用一隻大的碗盛著
[00:01:46.300 --> 00:01:47.900]  香噴噴的樣子
[00:01:47.900 --> 00:01:49.600]  這兩母子吃得
[00:01:49.600 --> 00:01:52.400]  這三母子吃得津津有味
[00:01:52.400 --> 00:01:53.900]  嗯,真的好吃
[00:01:53.900 --> 00:01:57.500]  當三母子找數離開的時間
[00:01:57.500 --> 00:02:00.200]  老闆夫婦向他們鞠躬
[00:02:00.200 --> 00:02:02.600]  多謝你們,新年快樂
[00:02:02.600 --> 00:02:06.400]  很快又過了一年
[00:02:06.400 --> 00:02:08.400]  在除夕的晚上
[00:02:08.400 --> 00:02:11.200]  當老闆娘正在上山舖的時間
[00:02:11.200 --> 00:02:14.400]  這三母子又再次出現
[00:02:14.400 --> 00:02:16.600]  麻煩一碗湯麵
[00:02:16.600 --> 00:02:19.200]  老闆娘靜悄悄跟老闆說
[00:02:19.200 --> 00:02:21.800]  不如乾脆煮三碗麵給她吧
[00:02:21.800 --> 00:02:24.800]  老闆說不行,不可以這樣
[00:02:24.800 --> 00:02:26.000]  你看這三母子
[00:02:26.000 --> 00:02:29.500]  她等所有客人都離開的時間才進來
[00:02:29.500 --> 00:02:31.500]  其實就是不想麻煩我們
[00:02:31.500 --> 00:02:33.000]  讓我們尷尬
[00:02:33.000 --> 00:02:34.300]  他們不付錢
[00:02:34.300 --> 00:02:35.900]  堅持要付足錢
[00:02:35.900 --> 00:02:38.100]  就是證明他們有骨氣
[00:02:38.100 --> 00:02:39.900]  如果我們這樣做
[00:02:39.900 --> 00:02:42.300]  他們會覺得我們施捨給他們
[00:02:42.300 --> 00:02:44.900]  反而傷害了他們的自尊心
[00:02:44.900 --> 00:02:48.100]  老闆一邊說一邊加多一個麵
[00:02:48.100 --> 00:02:50.000]  放在這碗麵裡
[00:02:50.000 --> 00:02:51.500]  這三母子吃完之後
[00:02:51.500 --> 00:02:52.900]  離開的時間
[00:02:52.900 --> 00:02:55.900]  老闆夫婦都是一樣向他們鞠躬
[00:02:55.900 --> 00:02:59.900]  謝謝你們,新年快樂
[00:02:59.900 --> 00:03:02.500]  第三年的除夕夜
[00:03:02.500 --> 00:03:05.300]  當所有客人離開的時間
[00:03:05.300 --> 00:03:06.800]  老闆娘一邊想
[00:03:06.800 --> 00:03:09.300]  這三母子會不會再來呢
[00:03:09.300 --> 00:03:13.000]  但是今年已經通貨膨脹
[00:03:13.000 --> 00:03:16.400]  一碗麵已經比以前貴了很多
[00:03:16.400 --> 00:03:17.900]  老闆娘一想
[00:03:17.900 --> 00:03:19.200]  拿餐牌出來
[00:03:19.200 --> 00:03:22.600]  就把新的價錢改回舊的價錢
[00:03:22.600 --> 00:03:26.700]  剛剛改完,這三母子就進來了
[00:03:26.700 --> 00:03:28.600]  麻煩兩碗湯麵
[00:03:28.600 --> 00:03:31.300]  老闆一樣,當煮麵的時間
[00:03:31.300 --> 00:03:34.300]  每碗麵加多半個麵
[00:03:34.300 --> 00:03:36.100]  三母子離開的時間
[00:03:36.100 --> 00:03:38.900]  老闆夫婦都是一樣向他們鞠躬
[00:03:38.900 --> 00:03:42.000]  謝謝你們,新年快樂
[00:03:42.000 --> 00:03:43.800]  但是從這一年開始
[00:03:43.800 --> 00:03:46.300]  這三母子就再沒有出現了
[00:03:46.300 --> 00:03:48.800]  這間麵店的生意
[00:03:48.800 --> 00:03:50.800]  它是蒸蒸日上
[00:03:50.800 --> 00:03:52.700]  並且擴充營業
[00:03:52.700 --> 00:03:54.700]  奇門如使
[00:03:54.700 --> 00:03:56.400]  這一晚的除夕夜
[00:03:56.400 --> 00:03:58.600]  他們全店滿座
[00:03:58.600 --> 00:04:01.600]  但是當所有客人在吃麵的時間
[00:04:01.600 --> 00:04:05.900]  這個店的門慢慢地打開
[00:04:05.900 --> 00:04:08.100]  老闆娘正在想說
[00:04:08.100 --> 00:04:09.700]  哎呀,真的很對不起
[00:04:09.700 --> 00:04:12.400]  我們全店滿座了
[00:04:12.400 --> 00:04:14.500]  當她說到這一句的時候
[00:04:14.500 --> 00:04:16.900]  忽然間說不出任何話
[00:04:16.900 --> 00:04:18.600]  是什麼事呢
[00:04:18.600 --> 00:04:22.000]  有兩個穿著西裝的年輕人走進來
[00:04:22.000 --> 00:04:23.400]  跟著他們背後的
[00:04:23.400 --> 00:04:27.700]  是一個穿著和服的女人走進來
[00:04:27.700 --> 00:04:30.000]  這個老闆娘一邊看他
[00:04:30.000 --> 00:04:33.000]  開始認得某些人
[00:04:33.000 --> 00:04:36.700]  你,你,你,你不是
[00:04:36.700 --> 00:04:38.800]  這個穿和服的女人
[00:04:38.800 --> 00:04:40.200]  就跟他們這樣說
[00:04:40.200 --> 00:04:41.800]  真的不好意思
[00:04:41.800 --> 00:04:43.400]  我們就是很多年前
[00:04:43.400 --> 00:04:47.500]  三個人只叫一碗麵的三母子
[00:04:47.500 --> 00:04:51.600]  當年我先生因為交通意外過身
[00:04:51.600 --> 00:04:54.500]  我們家欠了人家一大筆債
[00:04:54.500 --> 00:04:58.300]  於是我決定出來工作去還債
[00:04:58.300 --> 00:05:02.500]  我大兒子要去賣報紙去幫補家計
[00:05:02.500 --> 00:05:06.700]  我小兒子就來我家煮飯給我們吃
[00:05:06.700 --> 00:05:09.300]  我們三母子節衣縮食
[00:05:09.300 --> 00:05:11.100]  除夕過節的時間
[00:05:11.100 --> 00:05:13.700]  我們只夠錢叫一碗湯麵
[00:05:13.700 --> 00:05:16.200]  在我們最困難的時間
[00:05:16.200 --> 00:05:17.600]  多謝老闆你
[00:05:17.600 --> 00:05:20.500]  每一年都跟我們的湯麵加底
[00:05:20.500 --> 00:05:22.000]  明明麵貴了
[00:05:22.000 --> 00:05:24.000]  你都沒有收我們新的價錢
[00:05:24.000 --> 00:05:25.300]  沒有加我們價
