
[00:00:00.000 --> 00:00:05.100]  好,今天的主題是「上帝的指紋」
[00:00:05.100 --> 00:00:08.000]  「上帝的指紋」,我們來看看POWERPOINT
[00:00:08.000 --> 00:00:13.300]  我剛剛在九龍西說春家及記系列
[00:00:13.300 --> 00:00:17.600]  所以抽了一篇我很喜歡的經文來分享
[00:00:17.600 --> 00:00:19.200]  「上帝的指紋」
[00:00:19.200 --> 00:00:21.600]  指紋是甚麼呢?很容易的
[00:00:21.600 --> 00:00:24.400]  如果我們有眼鏡,我們可以脫下來
[00:00:24.400 --> 00:00:27.600]  摸一摸眼鏡,一人就有一個指紋
[00:00:27.600 --> 00:00:30.100]  代表一個MARK,一個記號
[00:00:30.100 --> 00:00:32.700]  你說很煩,脫掉自己的眼鏡
[00:00:32.700 --> 00:00:35.900]  你摸一摸旁邊有沒有人戴眼鏡就行了
[00:00:35.900 --> 00:00:39.200]  你就印下去,你看得更清楚
[00:00:39.200 --> 00:00:42.900]  上帝的指紋,指紋是祂的印記
[00:00:42.900 --> 00:00:46.600]  我有少許背景,接著我們進入訊息
[00:00:46.600 --> 00:00:49.400]  如果大家熟悉經文都知道
[00:00:49.400 --> 00:00:54.100]  當時是在說以色列人在埃及四百年
[00:00:54.100 --> 00:00:55.200]  以色列人在埃及四百年
[00:00:55.200 --> 00:01:00.400]  因為約申這個宰相死了
[00:01:00.400 --> 00:01:02.200]  法老王沒有人認識他
[00:01:02.200 --> 00:01:04.600]  但以色列人很強壯,越來越大
[00:01:04.600 --> 00:01:07.600]  埃及當時是一個很強的國家
[00:01:07.600 --> 00:01:09.600]  非常強
[00:01:09.600 --> 00:01:13.200]  這個故事是距離現在四千年
[00:01:13.200 --> 00:01:17.500]  埃及的金字塔是距離現在四千九百年有了
[00:01:17.500 --> 00:01:20.600]  金字塔是一個非常厲害的建築物
[00:01:20.600 --> 00:01:22.700]  稍後我會說多一點
[00:01:22.700 --> 00:01:25.600]  當時以色列人越來越多
[00:01:25.600 --> 00:01:27.000]  所以他控制不了
[00:01:27.000 --> 00:01:29.800]  他有些政策管理人口
[00:01:29.800 --> 00:01:33.000]  有三個當時的王令
[00:01:33.000 --> 00:01:35.900]  三個政策去壓制人口
[00:01:35.900 --> 00:01:38.000]  第一個政策叫做苦工
[00:01:38.000 --> 00:01:41.600]  很苦,讓他不能發揮
[00:01:41.600 --> 00:01:44.200]  但聖經說他們沒有認命
[00:01:44.200 --> 00:01:46.900]  不認環境,去認上帝
[00:01:46.900 --> 00:01:49.100]  所以他們越來越強壯
[00:01:49.100 --> 00:01:50.900]  我今天主要說第三個
[00:01:50.900 --> 00:01:53.700]  這個背景,你說今天還有沒有這些事?
[00:01:53.700 --> 00:01:55.700]  有,我們有排華
[00:01:55.700 --> 00:01:58.400]  中華很強,在馬來西亞不同的地方
[00:01:58.400 --> 00:01:59.900]  好的工作沒有你的份
[00:01:59.900 --> 00:02:02.700]  不好的有,我們仍然有
[00:02:02.700 --> 00:02:05.000]  接著搞不定,他們越來越強壯
[00:02:05.000 --> 00:02:07.100]  第二個王令出來了
[00:02:07.100 --> 00:02:09.000]  叫做接生婆
[00:02:09.000 --> 00:02:12.200]  見到男嬰出生,殺
[00:02:12.200 --> 00:02:15.600]  接著接生婆說
[00:02:15.600 --> 00:02:18.700]  我認神不認你,你說話我不怕
[00:02:18.700 --> 00:02:24.200]  他要付代價,他不聽法老王的命令
[00:02:24.200 --> 00:02:27.900]  這是一個很厲害的種族清洗
[00:02:27.900 --> 00:02:29.100]  今天也有
[00:02:29.100 --> 00:02:31.600]  種族清洗今天也有,當天也有
[00:02:31.600 --> 00:02:33.800]  日光之下無新事
[00:02:33.800 --> 00:02:35.100]  所以當時接生婆說
[00:02:35.100 --> 00:02:39.000]  我不行了,我還沒去到他們就生了
[00:02:39.000 --> 00:02:40.500]  你們有沒有聽過那些人說
[00:02:40.500 --> 00:02:42.100]  快要生了,醫生還沒到
[00:02:42.100 --> 00:02:44.500]  出來了,見到頭了,醫生呢?
[00:02:44.500 --> 00:02:46.500]  突然出來了,又失敗
[00:02:46.500 --> 00:02:53.100]  第三個王令,繼續壓制以色列人的資生
[00:02:53.100 --> 00:02:56.300]  婆婆,今天我主要說這件事
[00:02:56.300 --> 00:02:58.400]  我們看看第三個王令是什麼
[00:02:58.400 --> 00:02:59.900]  我們一起讀這個王令,好嗎?
[00:02:59.900 --> 00:03:01.300]  1,2,3
[00:03:01.300 --> 00:03:03.900]  法老吩咐他的眾民說
[00:03:03.900 --> 00:03:06.100]  以色列人所生的男孩
[00:03:06.100 --> 00:03:12.700]  你們都要丟在河裡
[00:03:12.700 --> 00:03:16.500]  將所有的男孩丟在尼羅河
[00:03:16.500 --> 00:03:20.900]  一個很殘忍的人口控制條款
[00:03:20.900 --> 00:03:22.300]  今天也有
[00:03:22.300 --> 00:03:25.300]  有些地方不可以多生一個
[00:03:25.300 --> 00:03:27.500]  一樣有,日光之下無新事
[00:03:27.500 --> 00:03:31.700]  為什麼當日以色列人要面對這麼困難
[00:03:31.700 --> 00:03:34.000]  不是沒理由的,在聖經說
[00:03:34.000 --> 00:03:36.300]  因為當時他們覺得
[00:03:36.300 --> 00:03:42.000]  埃及的情況很強,開始跟緊
[00:03:42.000 --> 00:03:45.300]  所以神的祝福離開了他們
[00:03:45.300 --> 00:03:47.700]  在以西傑書這樣說
[00:03:47.700 --> 00:03:50.300]  耶和華說當時在埃及的情境
[00:03:50.300 --> 00:03:55.500]  以色列人各人要拋棄眼所喜愛可憎之物
[00:03:55.500 --> 00:03:57.500]  為什麼我們喜歡這些,因為他們好
[00:03:57.500 --> 00:03:59.500]  他們比我們好
[00:03:59.500 --> 00:04:01.200]  我們也是,今天有很多挑戰
[00:04:01.200 --> 00:04:02.900]  拿不拿呢?當時說
[00:04:02.900 --> 00:04:05.700]  他們的偶像癲瘓你們,你們不好
[00:04:05.700 --> 00:04:08.500]  但是他們叛逆,耶和華不聽他們說
[00:04:08.500 --> 00:04:10.500]  不拋棄眼所喜愛
[00:04:10.500 --> 00:04:12.900]  他不離棄埃及的偶像
[00:04:12.900 --> 00:04:18.700]  所以神說我的憤怒要臨到你身上
[00:04:18.700 --> 00:04:21.300]  不過神很有趣,很幽默
[00:04:21.300 --> 00:04:24.800]  神只是做人也夠幽默
[00:04:24.800 --> 00:04:26.900]  他每次見到人這樣,他又捨不得
[00:04:26.900 --> 00:04:29.500]  又走來找你,又疼你,又抱你
[00:04:29.500 --> 00:04:31.600]  然後你不要他,他又要罰你
[00:04:31.600 --> 00:04:33.400]  然後他又不捨得,又回來
[00:04:33.400 --> 00:04:36.000]  今天第三個皇令,第三個政策
[00:04:36.000 --> 00:04:37.900]  就是說這個張陵
