
[00:00:00.000 --> 00:00:06.400]  今天很開心能夠再一次跟大家一起分享上帝的話語
[00:00:06.400 --> 00:00:10.500]  世界變幻無常
[00:00:10.500 --> 00:00:15.360]  香港過去十幾年都經歷到很多的改變
[00:00:15.360 --> 00:00:21.000]  無論在座當中,在你個人的層面,家庭的層面
[00:00:21.000 --> 00:00:23.560]  甚至是我們教會的層面
[00:00:23.560 --> 00:00:27.640]  都感受到這個改變帶來的影響
[00:00:29.180 --> 00:00:33.020]  在這個動盪不安的年代
[00:00:33.020 --> 00:00:36.340]  上帝竟然給我們傳恩堂一份禮物
[00:00:36.340 --> 00:00:39.420]  就是給我們一個新的地方
[00:00:39.420 --> 00:00:40.960]  這是一個改變
[00:00:40.960 --> 00:00:42.480]  是一個機會
[00:00:42.480 --> 00:00:46.840]  但是也是一個挑戰,一個信心的考驗
[00:00:46.840 --> 00:00:50.940]  你怎麼擁抱這個改變?你怎麼看待它?
[00:00:50.940 --> 00:00:56.820]  在你個人層面,可能上帝都爲你預備一些改變
[00:00:57.080 --> 00:00:59.380]  可能你面對一些的變數
[00:00:59.380 --> 00:01:03.980]  你驚不驚呢?你怎麼用那個態度來處理呢?
[00:01:03.980 --> 00:01:07.580]  在崇拜之前,我和吳比聊天
[00:01:07.580 --> 00:01:09.120]  吳比就是
[00:01:09.120 --> 00:01:13.460]  剛纔領我們的唱詩主席的神學生
[00:01:13.460 --> 00:01:18.580]  他告訴我,7月8月他去日本有個宣教的體驗
[00:01:18.580 --> 00:01:20.880]  回來之後,讀完最後一年神學
[00:01:20.880 --> 00:01:24.740]  就會面對一個宣教的工廠
[00:01:25.240 --> 00:01:28.320]  一個光維,這些變數他都不知道
[00:01:28.320 --> 00:01:31.640]  你會不會
[00:01:31.640 --> 00:01:35.740]  你遇見這樣類似的情況,你怎麼去處理
[00:01:35.740 --> 00:01:39.580]  今天我要和大家分享一段經文
[00:01:39.580 --> 00:01:41.120]  就是
[00:01:41.120 --> 00:01:43.160]  《以塞阿書》43章
[00:01:43.160 --> 00:01:47.520]  我給一個題目,就是上帝與你同去
[00:01:47.520 --> 00:01:50.080]  無論這條路是怎樣
[00:01:50.080 --> 00:01:51.600]  上帝與你同去
[00:01:52.120 --> 00:01:55.200]  無論是個人的層面,教會的層面
[00:01:55.200 --> 00:02:00.320]  我相信這段經文都會爲你帶來安慰和鼓勵
[00:02:00.320 --> 00:02:03.380]  加添你的信心力量
[00:02:03.380 --> 00:02:06.200]  讓你能夠勝過挑戰
