
[00:00:00.000 --> 00:00:08.400]  大家有否聽過《冤家宜解,不宜結》這句術語
[00:00:08.400 --> 00:00:09.800]  大家可能都聽過
[00:00:09.800 --> 00:00:11.640]  但是不知道大家知不知道
[00:00:11.640 --> 00:00:12.880]  它有下一句
[00:00:12.880 --> 00:00:14.520]  它下一句就是
[00:00:14.520 --> 00:00:20.120]  江南四大才子的唐伯虎後來嫁上去
[00:00:20.120 --> 00:00:21.200]  很有意思的
[00:00:21.200 --> 00:00:25.200]  全詩有四句
[00:00:25.200 --> 00:00:26.200]  分別是
[00:00:26.200 --> 00:00:28.840]  萬事由天莫強求
[00:00:28.840 --> 00:00:31.520]  何須夫婦用機謀
[00:00:31.520 --> 00:00:34.320]  飽三餐飯常知足
[00:00:34.320 --> 00:00:37.040]  得一帆風便可收
[00:00:37.040 --> 00:00:39.680]  生死是身何日了
[00:00:39.680 --> 00:00:42.720]  害人人害幾時休
[00:00:42.720 --> 00:00:44.160]  最後一句就是
[00:00:44.160 --> 00:00:46.280]  冤家宜解,不宜結
[00:00:46.280 --> 00:00:49.440]  各自回頭看後頭
[00:00:49.440 --> 00:00:52.760]  最後這段用了這句說話
[00:00:52.760 --> 00:00:54.640]  冤家宜解,不宜結
[00:00:54.640 --> 00:00:57.400]  各自回頭看後頭
[00:00:57.400 --> 00:01:01.960]  亦是我今天的講題之一
[00:01:01.960 --> 00:01:05.240]  唐伯虎用這句俗語
[00:01:05.240 --> 00:01:10.200]  道出詩人對世間的仇和怨的理解
[00:01:10.200 --> 00:01:12.880]  頭一句用了兩個兒的字
[00:01:12.880 --> 00:01:16.120]  去加強勸導的語氣
[00:01:16.120 --> 00:01:17.760]  而唐伯虎最後
[00:01:17.760 --> 00:01:20.640]  很巧妙地用了兩個頭
[00:01:20.640 --> 00:01:23.880]  冤有頭,債有主
[00:01:23.880 --> 00:01:26.280]  有仇的人應該和好
[00:01:26.280 --> 00:01:29.000]  不應該繼續結仇
[00:01:29.000 --> 00:01:31.720]  要看前看後
[00:01:31.720 --> 00:01:36.360]  回頭一看,可能已經不再一樣
[00:01:36.360 --> 00:01:38.640]  否則冤冤相報
[00:01:38.640 --> 00:01:43.520]  害人被害,就會永無休止
[00:01:43.520 --> 00:01:45.840]  曾經結過的仇怨
[00:01:45.840 --> 00:01:49.200]  會怎樣影響我們今後的人生呢?
[00:01:49.200 --> 00:01:52.040]  真的很值得我們去深思
[00:01:52.040 --> 00:02:00.080]  這句詩詞也寫了那種要我們去深思的意思
[00:02:00.080 --> 00:02:01.680]  唐伯虎的人生
[00:02:01.680 --> 00:02:06.520]  其實也沒有電影、電視和小說所說的那麼風乾
[00:02:06.520 --> 00:02:11.120]  他也經歷了人生的種種起起跌跌
[00:02:11.120 --> 00:02:14.000]  才有這樣的體會
[00:02:14.000 --> 00:02:17.080]  今天我們會看的故事也很相似
[00:02:17.080 --> 00:02:19.360]  亦是大家很熟悉的故事
