
[00:00:00.000 --> 00:00:03.400]  近日有機會去戲院看了一部獨立電影
[00:00:03.400 --> 00:00:04.600]  叫做《十年》
[00:00:04.600 --> 00:00:06.400]  不知道大家有沒有看過
[00:00:06.400 --> 00:00:10.000]  這部電影近來成爲一個話題戲
[00:00:10.000 --> 00:00:14.000]  而我自己看完之後都感觸良多
[00:00:14.000 --> 00:00:17.200]  這部電影其實是幾位年輕的導演
[00:00:17.200 --> 00:00:21.400]  他按着近幾年來香港的社會實況
[00:00:21.400 --> 00:00:23.400]  他做了幾個故事
[00:00:23.400 --> 00:00:26.200]  從他們的眼裏去估計
[00:00:26.200 --> 00:00:30.000]  十年後的香港究竟會變成怎樣
[00:00:30.000 --> 00:00:33.400]  我看完之後發現原來在導演的眼中
[00:00:33.400 --> 00:00:36.600]  香港好像一個亂局
[00:00:36.600 --> 00:00:39.200]  裏面暗湧處處
[00:00:39.200 --> 00:00:41.600]  而他說的就是這些暗湧
[00:00:41.600 --> 00:00:46.200]  其實並不只是香港本地情況的影響
[00:00:46.200 --> 00:00:51.200]  而是這些暗湧同時也受到周邊環境的變動
[00:00:51.200 --> 00:00:53.400]  而帶來的一些影響
[00:00:53.400 --> 00:00:57.000]  情況像是在一個很小的動物園裏
[00:00:57.000 --> 00:00:59.000]  有老虎有獅子
[00:00:59.000 --> 00:01:02.400]  有羊咩仔也有馬駿仔
[00:01:02.400 --> 00:01:04.600]  在一個這麼小的環境下
[00:01:04.600 --> 00:01:06.200]  如果那些猛獸
[00:01:06.200 --> 00:01:07.400]  獅子老虎
[00:01:07.400 --> 00:01:09.800]  乒乒磅磅地打起架來
[00:01:09.800 --> 00:01:12.200]  其實身邊的羊仔馬駿仔
[00:01:12.200 --> 00:01:14.200]  怎麼避都避不了
[00:01:14.200 --> 00:01:17.200]  很難不受影響
[00:01:17.200 --> 00:01:20.200]  香港就好像面對一種這樣的情況
[00:01:20.200 --> 00:01:21.800]  受外圍的影響
[00:01:21.800 --> 00:01:26.000]  也都面對好像一個很大時代的轉變
