
[00:00:00.000 --> 00:00:02.240]  這個題目就是「重拾」
[00:00:02.240 --> 00:00:04.320]  為什麼我會想起這個題目的名字呢?
[00:00:04.320 --> 00:00:07.300]  事源就是幾天 兩三天前左右
[00:00:07.300 --> 00:00:12.400]  我不知道大家有沒有看過「聖鬥士星矢」這套卡通片
[00:00:12.400 --> 00:00:15.200]  有沒有? 有的 可能未必那麼出聲
[00:00:15.200 --> 00:00:17.280]  因為可能是某一個年代了
[00:00:17.280 --> 00:00:20.520]  「星矢小宇宙」大家有沒有聽過?
[00:00:20.520 --> 00:00:23.200]  我老公最近就發現
[00:00:23.200 --> 00:00:25.480]  原來「聖鬥士星矢」
[00:00:25.480 --> 00:00:28.360]  就是我中學那個年代 大家想一想
[00:00:28.360 --> 00:00:29.920]  給一點空間 大家想一想
[00:00:29.920 --> 00:00:34.240]  他說「聖鬥士星矢」原來現在是新畫的
[00:00:34.240 --> 00:00:37.360]  重新再畫過 再製作過
[00:00:37.360 --> 00:00:42.480]  他在網上看到 原來可以看的
[00:00:42.480 --> 00:00:43.920]  他就很興奮
[00:00:43.920 --> 00:00:47.120]  因為他之前終於可以找到他中學年代
[00:00:47.120 --> 00:00:49.320]  那些「聖鬥士星矢」重溫的時候
[00:00:49.320 --> 00:00:51.320]  他覺得 嘩 真是
[00:00:51.320 --> 00:00:53.800]  他在看「黃金戰士」 是吧?
[00:00:53.800 --> 00:00:56.000]  「黃金聖鬥士」?
[00:00:56.000 --> 00:00:58.000]  有人糾正我了
[00:00:58.000 --> 00:01:01.400]  聖鬥士大家互相打鬥 都不知道多開心
[00:01:01.400 --> 00:01:05.480]  當他看新一輯 重新再畫過那部分的時候
[00:01:05.480 --> 00:01:07.360]  他內心裏面 看完兩集之後
[00:01:07.360 --> 00:01:08.520]  第二天早上就跟我說
[00:01:08.520 --> 00:01:11.920]  他就說 內心裏面有一種覺得很唏噓的感覺
[00:01:11.920 --> 00:01:12.760]  知道為什麼嗎?
[00:01:12.760 --> 00:01:15.400]  因為原來他說之前那些全都死了
[00:01:15.400 --> 00:01:17.280]  已經剩下一些精神
[00:01:17.280 --> 00:01:19.760]  他畫的是全部新一批那些
[00:01:19.760 --> 00:01:23.680]  接著他就說 內心裏面有一種很唏噓的感覺
[00:01:23.680 --> 00:01:26.640]  他覺得自己好像光輝不再
[00:01:26.640 --> 00:01:30.040]  雖然他說可能可以dress up得比較年輕
[00:01:30.040 --> 00:01:33.200]  但是已經不同那種年青
[00:01:33.200 --> 00:01:35.840]  那種什麼 你可能要補充一下
[00:01:35.840 --> 00:01:39.200]  沒有那種青年那種光輝
[00:01:39.200 --> 00:01:42.040]  那種的東西 大家明白嗎?
[00:01:42.040 --> 00:01:44.000]  特別可能你不同年紀的時候
[00:01:44.000 --> 00:01:45.920]  你可能會重拾不同的東西
[00:01:45.920 --> 00:01:48.200]  譬如我們這些年紀
[00:01:48.200 --> 00:01:50.320]  可能會重拾童真
[00:01:50.320 --> 00:01:51.960]  說一下 其實可能很多人都是
[00:01:51.960 --> 00:01:54.360]  看回卡通片 你會重拾童真
[00:01:54.360 --> 00:01:55.320]  或者年紀再大一點
[00:01:55.320 --> 00:01:58.680]  其實很想重拾那種健康
[00:01:58.680 --> 00:02:02.600]  那種的體魄 或者那種的熱誠
[00:02:02.600 --> 00:02:04.960]  甚至有一段時間的話
[00:02:04.960 --> 00:02:07.160]  你都可能很想重拾那種
[00:02:07.160 --> 00:02:09.080]  起初對神那種的愛
[00:02:09.080 --> 00:02:12.440]  我不知道你有沒有這樣的心情
[00:02:12.440 --> 00:02:13.760]  但是我想一想
[00:02:13.760 --> 00:02:16.120]  究竟我們在信仰的路程裏面
[00:02:16.120 --> 00:02:19.480]  有什麼需要重拾的呢?
[00:02:19.480 --> 00:02:21.440]  其實我們信耶穌的
[00:02:21.440 --> 00:02:24.600]  我們其實大家都會很想學耶穌的
[00:02:24.600 --> 00:02:26.600]  耶穌做什麼 我們就跟著做什麼
[00:02:26.600 --> 00:02:29.120]  耶穌說什麼 我們學著學著就說什麼
[00:02:29.120 --> 00:02:31.520]  但是無奈 如果你看聖經的話
[00:02:31.520 --> 00:02:34.120]  發覺聖經裏面實在有很多的空間
[00:02:34.120 --> 00:02:35.840]  譬如說耶穌祈禱
[00:02:35.840 --> 00:02:37.320]  其實很多時候就交代
[00:02:37.320 --> 00:02:39.160]  耶穌上山祈禱
[00:02:39.160 --> 00:02:41.080]  接著就沒有說祂怎麼祈禱
[00:02:41.080 --> 00:02:45.440]  我想最出名的就是這個《主禱文》
[00:02:45.440 --> 00:02:48.240]  但是如果你看《路加福音》第十一章的時候
[00:02:48.240 --> 00:02:49.920]  你就會發覺 咦?
[00:02:49.920 --> 00:02:53.760]  門徒就問 看到耶穌祈禱
[00:02:53.760 --> 00:02:56.360]  可能他們內心有一種被吸引的感覺
[00:02:56.360 --> 00:02:58.840]  於是就問 耶穌怎麼祈禱?
[00:02:58.840 --> 00:03:02.520]  接著就說 耶穌你可不可以教我們祈禱?
[00:03:02.520 --> 00:03:05.920]  就好像約翰怎麼教他的門徒一樣
[00:03:05.920 --> 00:03:08.000]  其實門徒在問什麼呢?
[00:03:08.000 --> 00:03:11.880]  他們在問 耶穌你有沒有什麼祈禱的方法
[00:03:11.880 --> 00:03:14.000]  讓我們可以跟著祈禱?
[00:03:14.000 --> 00:03:15.520]  於是耶穌就回答了
[00:03:15.520 --> 00:03:17.080]  於是就回答了《主禱文》
[00:03:17.080 --> 00:03:20.200]  接著再回答祂們兩個的比喻
[00:03:20.200 --> 00:03:22.840]  其實耶穌最想說的
[00:03:22.840 --> 00:03:24.960]  不是教祂 不是想給祂一個方程式
[00:03:24.960 --> 00:03:28.960]  其實最重要的反而是後面那兩個的比喻
[00:03:28.960 --> 00:03:30.720]  所以其實你看回聖經
[00:03:30.720 --> 00:03:35.520]  不是很多講到耶穌實質怎麼去教門徒
[00:03:35.520 --> 00:03:37.000]  怎麼去祈禱
[00:03:37.000 --> 00:03:38.640]  又或者耶穌治病
[00:03:38.640 --> 00:03:40.720]  你都會發覺都很不同的
[00:03:40.720 --> 00:03:43.400]  有時總說 耶穌治了很多人
[00:03:43.400 --> 00:03:45.560]  接著他治盲眼的人
[00:03:45.560 --> 00:03:47.040]  每次都不同的
[00:03:47.040 --> 00:03:50.760]  有時就戳一戳 接著就去治好他
[00:03:50.760 --> 00:03:52.680]  有時摸也不用摸
[00:03:52.680 --> 00:03:54.120]  又可以治好他
[00:03:54.120 --> 00:03:57.200]  所以你想找一種公式
[00:03:57.200 --> 00:03:59.000]  或者找一種方程式
[00:03:59.000 --> 00:04:00.640]  你想去醫循的話
[00:04:00.640 --> 00:04:03.240]  你會發覺其實真的很困難
[00:04:03.240 --> 00:04:05.040]  所以為什麼今天這麼多人都在問
[00:04:05.040 --> 00:04:07.840]  究竟怎樣去尋求神的心意呢?
[00:04:07.840 --> 00:04:09.880]  究竟怎樣可以知道
[00:04:09.880 --> 00:04:12.320]  神帶領我前面的路是怎樣呢?
[00:04:12.320 --> 00:04:15.360]  就是因為其實聖經裏面有很多的空間
[00:04:15.360 --> 00:04:16.600]  但是很有趣
[00:04:16.600 --> 00:04:18.280]  我們就經常有一種掙扎
[00:04:18.280 --> 00:04:21.840]  就覺得我們很想事情搞得清清楚楚
[00:04:21.840 --> 00:04:25.440]  很想知道究竟聖經講些什麼
[00:04:25.440 --> 00:04:30.280]  最近我就和幾個基督徒
[00:04:30.280 --> 00:04:31.200]  很少叫基督徒
[00:04:31.200 --> 00:04:33.880]  就是信耶穌的人一起吃飯 有幾個人
[00:04:33.880 --> 00:04:35.600]  其中一個就問
[00:04:35.600 --> 00:04:39.880]  他說 究竟信耶穌能不能打麻將呢?
[00:04:39.880 --> 00:04:43.000]  大家能不能打?
[00:04:43.000 --> 00:04:48.200]  在這個時候大家都很聰明地保持執迷
[00:04:48.200 --> 00:04:51.000]  這個人他真的很想知道
[00:04:51.000 --> 00:04:52.800]  他是一個華語背景的人
[00:04:52.800 --> 00:04:55.720]  他就說 究竟打不打得麻將呢?
[00:04:55.720 --> 00:04:57.160]  跟著同桌吃飯的
[00:04:57.160 --> 00:05:00.520]  其實有一個就信了主比較久了
[00:05:00.520 --> 00:05:02.840]  他就說 唉 當然不能打
[00:05:02.840 --> 00:05:05.640]  雖然聖經沒有明文規定 沒有講明
[00:05:05.640 --> 00:05:07.640]  但是它又是道具來的
[00:05:07.640 --> 00:05:10.760]  還有什麼見證問題
[00:05:10.760 --> 00:05:12.760]  萬一別人看到怎麼辦呢?
[00:05:12.760 --> 00:05:16.640]  跟著就一連串講了四、五個答案
[00:05:16.640 --> 00:05:23.080]  另一個就問 它含著的那口煙行不行?
[00:05:23.080 --> 00:05:27.360]  這個信了主比較久的人就繼續回答
[00:05:27.360 --> 00:05:30.640]  唉 當然不行啦 什麼什麼
[00:05:30.640 --> 00:05:34.240]  大家都知道我叫做師母
[00:05:34.240 --> 00:05:36.080]  多謝你這樣稱呼我
[00:05:36.080 --> 00:05:38.640]  Jack呢?去了哪裡?
[00:05:38.640 --> 00:05:41.760]  我叫他師母 他就問我怎麼回答
[00:05:41.760 --> 00:05:45.840]  其實我就覺得 應該先不要開估
[00:05:45.840 --> 00:05:48.400]  是不是等一會兒再回答好一點?
[00:05:48.400 --> 00:05:51.920]  其實問題不是能不能做
[00:05:51.920 --> 00:05:57.040]  是另一種層面
[00:05:57.040 --> 00:05:59.280]  應該說是另一種層面
[00:05:59.280 --> 00:06:01.200]  但是我就覺得很有趣
[00:06:01.200 --> 00:06:03.520]  在大家的對答裡面
[00:06:03.520 --> 00:06:08.400]  大家就很想知道究竟是打得還是不能打
[00:06:08.400 --> 00:06:10.000]  其實我說了一個答案
[00:06:10.000 --> 00:06:14.640]  但是其實桌子裡面那四、五個人是沒有人理我的
[00:06:14.640 --> 00:06:16.880]  他們覺得我沒有說過答案
[00:06:16.880 --> 00:06:19.600]  大家聽到這個信主比較久的人
[00:06:19.600 --> 00:06:22.400]  大家心裡就覺得很安定了
[00:06:22.400 --> 00:06:25.120]  我回去回想一下 挺有趣的
[00:06:25.120 --> 00:06:27.040]  在這個對答裡面
[00:06:27.040 --> 00:06:32.320]  我發覺很多人都很想有疑問的時候
[00:06:32.320 --> 00:06:34.560]  是要窮追猛打
[00:06:34.560 --> 00:06:37.520]  很清楚知道答案為止
[00:06:37.520 --> 00:06:40.160]  其實問問題是好的
[00:06:40.160 --> 00:06:44.400]  用一些理性去解決一些問題都是需要的
[00:06:44.400 --> 00:06:50.080]  但是當我們如果問問題
[00:06:50.080 --> 00:06:53.280]  時時都要得到答案的時候
[00:06:53.280 --> 00:06:54.560]  如果你得不到答案
[00:06:54.560 --> 00:06:58.080]  內心裡面覺得很忐忑不安
[00:06:58.080 --> 00:07:00.640]  你就要問一下自己
[00:07:00.640 --> 00:07:02.880]  究竟是不是反映我這個人
[00:07:02.880 --> 00:07:06.560]  不能夠接受一些不肯定的東西呢?
[00:07:06.560 --> 00:07:08.880]  或者一些不明白的事情呢?
[00:07:08.880 --> 00:07:12.240]  或者是不是反映著我們自己內心裡面
[00:07:12.240 --> 00:07:15.040]  很想去操控一些東西
[00:07:15.040 --> 00:07:16.400]  其實問問題是好的
[00:07:16.400 --> 00:07:19.360]  問一些理性的問題我覺得是很需要的
[00:07:19.360 --> 00:07:24.160]  但是你需要知道為什麼我會問這個問題
[00:07:24.160 --> 00:07:26.640]  大家明白我在說什麼嗎?
[00:07:26.640 --> 00:07:31.520]  你要知道你其實為什麼會問這個問題
[00:07:31.520 --> 00:07:34.320]  其實我們今天問問題的方式
[00:07:34.320 --> 00:07:37.440]  跟我們的背景、跟我們的歷史很有關係的
[00:07:37.440 --> 00:07:39.920]  大家有沒有想過?
[00:07:39.920 --> 00:07:45.360]  當我現在去讀這個課程
[00:07:45.360 --> 00:07:49.440]  有些人知道我一年會飛去雪梨那邊三次讀一個課程
[00:07:49.440 --> 00:07:51.760]  他們最近就幫我們看一些歷史
[00:07:51.760 --> 00:07:56.640]  當我在追溯我們遠古基督教的歷史的時候
[00:07:56.640 --> 00:07:59.360]  我發覺原來其實神學這件事
[00:07:59.360 --> 00:08:04.480]  根本不是牧師或者是神學家的專利
[00:08:04.480 --> 00:08:08.640]  在第三、第四世紀有一個神學家他就這麼說
[00:08:08.640 --> 00:08:11.600]  大家聽清楚 這個神學家就這麼說
[00:08:11.600 --> 00:08:18.080]  他說 如果你是神學家 你會真正的祈禱
[00:08:18.080 --> 00:08:22.720]  如果你真正祈禱的話 你就是神學家了
[00:08:22.720 --> 00:08:25.040]  聽到嗎?我再讀多一次
