
[00:00:00.000 --> 00:00:04.140]  各位電影節目 今天和大家分享的題目是
[00:00:04.140 --> 00:00:06.760]  「聖餐一 紀念我」
[00:00:06.760 --> 00:00:10.640]  你見到「一」應該是一連串的系列
[00:00:10.640 --> 00:00:14.040]  所以每一個月 第一個星期聖餐主日
[00:00:14.040 --> 00:00:17.460]  我都會和你們繼續一起去看看不同的經文
[00:00:17.460 --> 00:00:20.720]  講關於聖餐 究竟聖餐是什麼意義呢
[00:00:20.720 --> 00:00:23.020]  我們怎樣去領聖餐呢
[00:00:23.020 --> 00:00:27.080]  今天講第一件事 就是「紀念我」
[00:00:27.080 --> 00:00:30.560]  「紀念我」
[00:00:30.560 --> 00:00:36.780]  在香港有一個著名的歌手叫許冠傑
[00:00:36.780 --> 00:00:38.680]  許冠傑在他四十四歲的時候
[00:00:38.680 --> 00:00:41.900]  他就宣佈退出香港的樂壇
[00:00:41.900 --> 00:00:45.000]  他有一首歌叫「急流勇退」
[00:00:45.000 --> 00:00:47.760]  有沒有聽過
[00:00:47.760 --> 00:00:51.040]  年輕的可能還沒聽過
[00:00:51.040 --> 00:00:53.600]  他最後兩句歌詞是這樣說的
[00:00:53.600 --> 00:01:00.460]  「期望你記住我 今晚分手以後 從舊歌中心靈互扣」
[00:01:00.460 --> 00:01:03.280]  雖然他當時決定要離開樂壇
[00:01:03.280 --> 00:01:05.400]  但其實他的心是很不捨得
[00:01:05.400 --> 00:01:09.680]  也很想他的歌迷在日後能夠記得著他
[00:01:09.680 --> 00:01:13.080]  的而且確在這二十八年裡
[00:01:13.080 --> 00:01:16.600]  仍然有很多人是很記得他
[00:01:16.600 --> 00:01:20.400]  早幾個星期在網上有他直播的演唱會
[00:01:20.400 --> 00:01:21.960]  你知不知道有多少人看
[00:01:21.960 --> 00:01:26.600]  有超過二百五十五萬的人一齊去收看
[00:01:26.600 --> 00:01:28.480]  因為大家很記住他
[00:01:28.480 --> 00:01:32.200]  當然大部分都是上了年紀的
[00:01:32.200 --> 00:01:34.120]  「記住我」
[00:01:34.120 --> 00:01:37.520]  耶穌已經死而復活了二千多年
[00:01:37.520 --> 00:01:41.480]  有多少人會這樣記住耶穌呢
[00:01:41.480 --> 00:01:43.000]  「記住我」
[00:01:43.000 --> 00:01:47.520]  今天我們讀的經文是在哥林多前書十一章
[00:01:47.520 --> 00:01:51.680]  其實那裡是保羅當時就著哥林多教會
[00:01:51.680 --> 00:01:53.640]  他們吃聖餐的時候
[00:01:53.640 --> 00:01:55.000]  那個情況是很混亂
[00:01:55.000 --> 00:01:57.080]  很多問題出現了
[00:01:57.080 --> 00:02:00.160]  所以使徒保羅就在那裡引用
[00:02:00.160 --> 00:02:03.400]  耶穌在福音書裡面的記載
[00:02:03.400 --> 00:02:08.920]  當時耶穌怎樣跟門徒有最後的晚餐
[00:02:08.920 --> 00:02:12.760]  他藉著這裡再一次教導哥林多教會的弟兄姊妹
[00:02:12.760 --> 00:02:17.040]  明白聖餐的意義和怎樣領聖餐
[00:02:17.040 --> 00:02:19.680]  主耶穌在最後晚餐裡面
[00:02:19.680 --> 00:02:21.640]  他重複提醒門徒
[00:02:21.640 --> 00:02:24.560]  日後你們要行這個儀式
[00:02:24.560 --> 00:02:27.840]  是要紀念祂
[00:02:27.840 --> 00:02:31.400]  「紀念我」是什麼意思呢
[00:02:31.400 --> 00:02:37.080]  為什麼耶穌要我們這樣紀念祂
[00:02:37.080 --> 00:02:39.320]  還有
[00:02:39.320 --> 00:02:47.720]  今天我們可以怎樣去紀念耶穌呢
[00:02:47.720 --> 00:02:49.720]  首先我們看看第一
[00:02:49.720 --> 00:02:52.880]  「紀念我」是什麼意思呢
[00:02:52.880 --> 00:02:54.480]  其實我們回到聖經
[00:02:54.480 --> 00:02:57.760]  當時主耶穌原來是跟他的門徒
[00:02:57.760 --> 00:03:01.080]  在吃一個最後的晚餐
[00:03:01.080 --> 00:03:02.520]  這個最後的晚餐
[00:03:02.520 --> 00:03:06.760]  原來就是當時一個逾越節的晚餐
[00:03:06.760 --> 00:03:10.000]  逾越節是紀念以色列人
[00:03:10.000 --> 00:03:11.800]  他們能夠從埃及地
[00:03:11.800 --> 00:03:13.480]  遺牢之地
[00:03:13.480 --> 00:03:17.240]  被神拯救釋放出來
