
[00:00:00.000 --> 00:00:02.360]  以下這個人叫做蘇利文
[00:00:02.360 --> 00:00:07.340]  蘇利文是美國一個出名的導演、編劇
[00:00:07.340 --> 00:00:09.340]  他不單是這樣
[00:00:09.340 --> 00:00:12.820]  他也是一個出色的運動員
[00:00:12.820 --> 00:00:17.040]  曾經兩次贏得全美的摔角冠軍
[00:00:17.040 --> 00:00:22.060]  並且代表美國參加東京的亞運會
[00:00:22.060 --> 00:00:23.040]  不單是這樣
[00:00:23.040 --> 00:00:27.060]  他也是眾多清談節目的紅人
[00:00:27.060 --> 00:00:28.680]  也不單是這樣
[00:00:28.680 --> 00:00:32.660]  他也是哈佛大學的臨床心理學家
[00:00:32.660 --> 00:00:34.660]  並且著書納說
[00:00:34.660 --> 00:00:37.840]  曾經出版過12本書
[00:00:37.840 --> 00:00:39.340]  說了這麼多蘇利文的資料
[00:00:39.340 --> 00:00:41.660]  但我漏了一件事告訴大家
[00:00:41.660 --> 00:00:47.140]  就是蘇利文其實是從小到大天生的實名人士
[00:00:47.140 --> 00:00:52.260]  但這個缺陷並不阻礙蘇利文的發展
[00:00:52.260 --> 00:00:54.680]  他曾經在小時候去公園玩
[00:00:54.680 --> 00:00:57.500]  他聽見一班小朋友玩得很開心
[00:00:57.500 --> 00:01:00.080]  他問他們究竟在玩什麼
[00:01:00.080 --> 00:01:03.000]  那班小朋友說我們在玩棒球
[00:01:03.000 --> 00:01:04.820]  蘇利文說我也想玩
[00:01:04.820 --> 00:01:06.820]  但他失明的怎麼玩呢
[00:01:06.820 --> 00:01:08.460]  但他決定嘗試
[00:01:08.460 --> 00:01:13.060]  他就在公園的樹旁擺了一個目標
[00:01:13.060 --> 00:01:15.520]  向那個目標去擲球
[00:01:15.520 --> 00:01:19.220]  為他的緣故把收音機放在目標旁邊
[00:01:19.220 --> 00:01:22.500]  失明人士對聲音特別敏感
[00:01:22.500 --> 00:01:26.820]  於是他就向公園這個目標去擲球
[00:01:26.820 --> 00:01:28.780]  日子有功
[00:01:28.780 --> 00:01:30.320]  他不斷地練習
[00:01:30.320 --> 00:01:32.300]  有一天蘇利文跟他爸爸說
[00:01:32.300 --> 00:01:35.220]  爸爸我想在學校打棒球
[00:01:35.220 --> 00:01:36.980]  他爸爸說
[00:01:36.980 --> 00:01:38.320]  你看不到東西的
[00:01:38.320 --> 00:01:39.680]  怎麼打棒球
[00:01:39.680 --> 00:01:41.340]  但因為愛兒子的緣故
[00:01:41.340 --> 00:01:44.720]  他爸爸努力為他預備
[00:01:44.720 --> 00:01:46.780]  結果出人意表
[00:01:46.780 --> 00:01:49.800]  蘇利文的投球百發百中
[00:01:49.800 --> 00:01:52.340]  很快他就加入了校隊
[00:01:52.340 --> 00:01:54.320]  蘇利文曾經在一個聚會
[00:01:54.320 --> 00:01:58.880]  對著五千個商業界的領袖演講
[00:01:58.880 --> 00:02:00.200]  他對他們這樣說
[00:02:00.200 --> 00:02:02.000]  或者你覺得
[00:02:02.000 --> 00:02:04.660]  你的人生是有缺陷的
[00:02:04.660 --> 00:02:07.060]  但是我可以告訴大家
[00:02:07.060 --> 00:02:09.980]  這個反而是你獨有的良機
[00:02:09.980 --> 00:02:14.920]  因為這樣可以令你的世界變得更加廣闊
[00:02:14.920 --> 00:02:16.960]  我們中國人有一句說話叫做
[00:02:16.960 --> 00:02:19.520]  眼盲心不盲
[00:02:19.520 --> 00:02:22.380]  蘇利文其實見到他的世界這麼廣闊
[00:02:22.380 --> 00:02:24.720]  不是因為他肉眼見到
[00:02:24.720 --> 00:02:27.820]  而是他心靈的眼打開
[00:02:27.820 --> 00:02:33.480]  讓他比其他人見到更多的東西
[00:02:33.480 --> 00:02:34.640]  蘇利文的經驗
[00:02:34.640 --> 00:02:37.700]  跟我們今天講到的主題很有關係
[00:02:37.700 --> 00:02:41.000]  我們今天講到的主題是約翰福音第九章
[00:02:41.000 --> 00:02:42.820]  他描述兩類人
[00:02:42.820 --> 00:02:45.420]  第一類人是天生失明的
[00:02:45.420 --> 00:02:48.740]  但他最終卻看得見
[00:02:48.740 --> 00:02:51.560]  另外一類人是覺得自己看得見
[00:02:51.560 --> 00:02:54.040]  但其實他們是看不見
[00:02:54.040 --> 00:02:56.120]  這類人就是法利塞人
[00:02:56.120 --> 00:02:59.400]  究竟兩類人的經歷是怎樣呢
[00:02:59.400 --> 00:03:02.400]  其實今天我們講約翰福音第九章
[00:03:02.400 --> 00:03:04.900]  其實約翰福音第九章和第一章
[00:03:04.900 --> 00:03:07.680]  兩章的性格是遙相呼應的
[00:03:07.680 --> 00:03:08.660]  為什麼呢
[00:03:08.660 --> 00:03:10.720]  我們看看約翰福音第一章
[00:03:10.720 --> 00:03:13.280]  其實有一組相對的字
[00:03:13.280 --> 00:03:16.020]  是黑暗和光明
