
[00:00:00.000 --> 00:00:04.000]  首先祝各位弟兄姊妹新年蒙福
[00:00:04.000 --> 00:00:07.000]  今年是很特別的一年
[00:00:07.000 --> 00:00:09.000]  舉幾個例子
[00:00:09.000 --> 00:00:14.000]  假如你有1986年的日曆的話
[00:00:14.000 --> 00:00:16.000]  你今年可以再用
[00:00:16.000 --> 00:00:22.000]  因為今年的日曆和星期的時間
[00:00:22.000 --> 00:00:29.000]  和1986年、1997年、2003年、2004年的日曆是一模一樣的
[00:00:29.000 --> 00:00:34.000]  所以你今年收到很多航空公司、銀行免費送給你的東西
[00:00:34.000 --> 00:00:37.000]  留下來若干年後可以再用
[00:00:37.000 --> 00:00:42.000]  原來那些時間約隔多少年會重覆一次
[00:00:42.000 --> 00:00:48.000]  另外每年現在越來越多漢字圈的國家
[00:00:48.000 --> 00:00:55.000]  包括大陸、台灣、香港、聖馬泰的華人社會
[00:00:55.000 --> 00:00:57.000]  甚至日本、韓國
[00:00:57.000 --> 00:01:06.000]  每年選一個漢字來代表那一年人們的期望和時代精神
[00:01:06.000 --> 00:01:09.000]  你知不知道香港今年選了一個什麼字?
[00:01:09.000 --> 00:01:15.000]  好像是「融」字,如果我沒記錯
[00:01:15.000 --> 00:01:17.000]  就是恐融的「融」
[00:01:17.000 --> 00:01:19.000]  不是「融我融」
[00:01:19.000 --> 00:01:20.000]  恐融的「融」
[00:01:20.000 --> 00:01:23.000]  「融」好像是化開、滲透
[00:01:23.000 --> 00:01:26.000]  也有一種包含的意思
[00:01:26.000 --> 00:01:34.000]  也代表著香港人在面對香港、面對亞洲、面對世界
[00:01:34.000 --> 00:01:39.000]  2014年有很多不穩定的狀況中有一種期盼
[00:01:39.000 --> 00:01:44.000]  香港今年很重要的話題仍然是佔中
[00:01:44.000 --> 00:01:51.000]  亞洲中日韓之間的外交關係是怎樣呢?
[00:01:51.000 --> 00:01:57.000]  世界泰國和以前蘇聯解體的一些國家
[00:01:57.000 --> 00:01:59.000]  雖然是民主選舉
[00:01:59.000 --> 00:02:01.000]  但是現在的趨勢就是
[00:02:01.000 --> 00:02:05.000]  在野黨只要執政黨任何的東西不合意
[00:02:05.000 --> 00:02:07.000]  他有足夠的人手的話
[00:02:07.000 --> 00:02:09.000]  就會癱瘓
[00:02:09.000 --> 00:02:11.000]  這是時候趨勢
[00:02:11.000 --> 00:02:18.000]  美國的退市會不會帶來樓市和股票各樣東西下跌呢?
[00:02:18.000 --> 00:02:19.000]  不知道
[00:02:19.000 --> 00:02:20.000]  充滿很多挑戰
[00:02:20.000 --> 00:02:22.000]  所以這個「融」字
[00:02:22.000 --> 00:02:24.000]  一個字這麼簡單
[00:02:24.000 --> 00:02:30.000]  很代表著時代精神和人心裏的一種期盼
[00:02:30.000 --> 00:02:33.000]  除了社會其實教會也很特別
[00:02:33.000 --> 00:02:36.000]  我早前收到一個WhatsApp
[00:02:36.000 --> 00:02:37.000]  裏面有條連結
[00:02:37.000 --> 00:02:40.000]  連結去美國一個電視台
[00:02:40.000 --> 00:02:43.000]  就是Fox News
[00:02:43.000 --> 00:02:50.000]  這個Fox都是美國其中幾個大電視台之一
[00:02:50.000 --> 00:02:54.000]  這個不是具有宗教背景的電視台
[00:02:54.000 --> 00:02:57.000]  他竟然訪問一個聖經學者
[00:02:57.000 --> 00:03:00.000]  專研究聖經語言
[00:03:00.000 --> 00:03:04.000]  這個聖經學者最近寫了一本書
[00:03:04.000 --> 00:03:07.000]  叫做《四個血紅的月亮》
[00:03:07.000 --> 00:03:12.000]  這本書講到在今年和明年
[00:03:12.000 --> 00:03:16.000]  根據美國太空總署的資料
[00:03:16.000 --> 00:03:19.000]  將會有四次的日全食
[00:03:19.000 --> 00:03:21.000]  日全食有什麼特別呢?
[00:03:21.000 --> 00:03:26.000]  剛好都是猶太人一些重要的節期
[00:03:26.000 --> 00:03:29.000]  其中一個是寓月節
[00:03:29.000 --> 00:03:31.000]  他說根據過往的歷史
