
[00:00:00.000 --> 00:00:03.480]  剛才主席陳慧明執事和我們讀出這兩節經文
[00:00:03.480 --> 00:00:07.880]  是主耶穌基督親自講出來的
[00:00:07.880 --> 00:00:12.320]  當耶穌基督準備去耶路撒冷的時候
[00:00:12.320 --> 00:00:16.080]  祂一路向著十字架前進
[00:00:16.080 --> 00:00:19.960]  有一班人是跟隨著祂
[00:00:19.960 --> 00:00:24.560]  裏面有很多是耶穌基督的門徒
[00:00:24.560 --> 00:00:28.600]  但可能中間有很多是一知半解
[00:00:28.600 --> 00:00:32.320]  他們不是知道耶穌究竟是走哪一條路
[00:00:32.320 --> 00:00:36.600]  他們以為耶穌是去進入耶路撒冷
[00:00:36.600 --> 00:00:39.480]  準備建立一個王國
[00:00:39.480 --> 00:00:42.080]  可能他們以為跟隨耶穌
[00:00:42.080 --> 00:00:45.360]  會能夠和祂一起享受一些權勢
[00:00:45.360 --> 00:00:47.000]  一些榮耀
[00:00:47.000 --> 00:00:49.080]  但主耶穌在這一刻
[00:00:49.080 --> 00:00:52.880]  很鄭重地和跟隨的人去講
[00:00:52.880 --> 00:00:55.160]  因為祂自己走的這條路
[00:00:55.160 --> 00:00:57.240]  不是他們所想的
[00:00:57.240 --> 00:01:01.560]  所以在第十四章第二十六節前面
[00:01:01.560 --> 00:01:03.360]  已經講得很清楚
[00:01:03.360 --> 00:01:05.440]  無論甚麼人要跟隨主
[00:01:05.440 --> 00:01:08.480]  都要撇下所有去跟隨主
[00:01:08.480 --> 00:01:11.920]  主耶穌說祂自己就是這樣的情況
[00:01:11.920 --> 00:01:14.880]  我們必須是一個忠心
[00:01:14.880 --> 00:01:16.160]  一夥忠心
[00:01:16.160 --> 00:01:18.120]  準備犧牲的心
[00:01:18.120 --> 00:01:21.440]  或者要犧牲我們很多珍貴的東西
[00:01:21.440 --> 00:01:27.440]  才能夠去合適地跟隨主耶穌基督
[00:01:27.440 --> 00:01:31.520]  所以事實上我們對這段經文都不陌生
[00:01:31.520 --> 00:01:37.120]  因為這段經文在很多封書裏面都提及到
[00:01:37.120 --> 00:01:40.200]  講到人要跟隨主的時候
[00:01:40.200 --> 00:01:41.840]  要放下一切
[00:01:41.840 --> 00:01:43.680]  要捨棄跟隨主
[00:01:43.680 --> 00:01:46.960]  背十字架等等類似的經文
[00:01:46.960 --> 00:01:48.280]  但這次我們看的時候
[00:01:48.280 --> 00:01:49.960]  在這兩節就會發覺
[00:01:49.960 --> 00:01:54.240]  耶穌基督是用了兩個比喻
[00:01:54.240 --> 00:01:57.040]  是很生動地表達
[00:01:57.040 --> 00:01:59.640]  我們要去計算代價
[00:01:59.640 --> 00:02:01.960]  才可以去跟從祂
[00:02:01.960 --> 00:02:04.520]  所以今天其實我們在生活裏面
[00:02:04.520 --> 00:02:06.800]  事實上我們作為基督徒
[00:02:06.800 --> 00:02:09.480]  我們會面對很多很多的掙扎
[00:02:09.480 --> 00:02:10.880]  很多的壓力
[00:02:10.880 --> 00:02:12.400]  很多因為我們的信仰
[00:02:12.400 --> 00:02:18.680]  而帶給我們一些內心裏面的爭鬥
[00:02:18.680 --> 00:02:21.040]  究竟是怎樣做呢?
[00:02:21.040 --> 00:02:23.840]  究竟是應該這樣做
[00:02:23.840 --> 00:02:27.720]  或者是做另一種的方法等等等等
[00:02:27.720 --> 00:02:29.720]  很多這樣的情況
[00:02:29.720 --> 00:02:34.480]  所以有時我們好像跟我們的主去鬥爭
[00:02:34.480 --> 00:02:38.920]  亦是有時跟我們自己內心的一些爭鬥
[00:02:38.920 --> 00:02:42.720]  我們盼望藉著這兩節經文能夠幫助我們
[00:02:42.720 --> 00:02:45.120]  究竟我們跟隨主
[00:02:45.120 --> 00:02:50.040]  怎樣可以去撫平我們內心裏面這些的掙扎
[00:02:50.040 --> 00:02:51.640]  這些的鬥爭
[00:02:51.640 --> 00:02:53.800]  甚至我們說這個題目
[00:02:53.800 --> 00:02:56.200]  「把敵為友」
[00:02:56.200 --> 00:02:59.720]  首先我們看看這個計算代價
[00:02:59.720 --> 00:03:03.880]  耶穌就用了去蓋房子和一個打仗
[00:03:03.880 --> 00:03:09.240]  去表達了跟隨的人要去計算代價
[00:03:09.240 --> 00:03:11.400]  因為如果你不計算代價
[00:03:11.400 --> 00:03:12.760]  後果會很嚴重
[00:03:12.760 --> 00:03:15.560]  有多嚴重呢?
[00:03:15.560 --> 00:03:16.640]  有多嚴重呢?
[00:03:16.640 --> 00:03:20.640]  當然如果回到第一個的例子
[00:03:20.640 --> 00:03:21.920]  就是蓋房子
[00:03:21.920 --> 00:03:23.440]  如果蓋不成房子
[00:03:23.440 --> 00:03:25.120]  可能就荒廢了
[00:03:25.120 --> 00:03:28.560]  我們經常發覺有時候有這樣的情況
[00:03:28.560 --> 00:03:30.880]  爛尾樓等等的情況
[00:03:30.880 --> 00:03:33.520]  我記得在九十年代
[00:03:33.520 --> 00:03:37.280]  我們就去美國的蒙古國短孫
[00:03:37.280 --> 00:03:42.200]  當時蒙古人民共和國就改稱叫蒙古共和國
[00:03:42.200 --> 00:03:44.480]  開始對外開放
[00:03:44.480 --> 00:03:46.200]  又有宗教自由
[00:03:46.200 --> 00:03:48.440]  我們就可以去傳福音
[00:03:48.440 --> 00:03:52.080]  我記得那時候去到蒙古的地方
[00:03:52.080 --> 00:03:56.560]  因為蘇聯解體之後
[00:03:56.560 --> 00:03:58.160]  俄羅斯人都走了
[00:03:58.160 --> 00:04:02.040]  他們蒙古人生活真是遊牧民族
[00:04:02.040 --> 00:04:04.240]  找朝不得晚的那種
[00:04:04.240 --> 00:04:07.160]  所以他們當時的經濟是很差的
[00:04:07.160 --> 00:04:09.240]  有四成的失業率
[00:04:09.240 --> 00:04:11.160]  很多人就要離開
[00:04:11.160 --> 00:04:14.560]  晚上你會看到很多人喝醉酒等等的情況
[00:04:14.560 --> 00:04:16.560]  所以那個地方
[00:04:16.560 --> 00:04:19.960]  一個城市好像很荒蕪的城市
[00:04:19.960 --> 00:04:25.400]  我們都因為宣教的因素都想去
[00:04:25.400 --> 00:04:30.480]  發覺到後來有一間建築物建起來了
[00:04:30.480 --> 00:04:32.920]  這個建築物原來是一個酒店
[00:04:32.920 --> 00:04:35.640]  記得宏偉的
[00:04:35.640 --> 00:04:41.200]  名稱聽起來很厲害是成吉思汗大酒店
[00:04:41.200 --> 00:04:42.560]  這麼大的酒店
[00:04:42.560 --> 00:04:43.880]  很大間的酒店
[00:04:43.880 --> 00:04:44.960]  很大的地方
[00:04:44.960 --> 00:04:46.360]  建起來了
[00:04:46.360 --> 00:04:49.960]  每次見他都一直建
[00:04:49.960 --> 00:04:52.360]  很快終於建好
[00:04:52.360 --> 00:04:53.560]  但是我們再去
[00:04:53.560 --> 00:04:57.160]  始終看不到他開張
[00:04:57.160 --> 00:04:59.640]  始終好像都是黑漆漆的
[00:04:59.640 --> 00:05:01.720]  沒有人入住
[00:05:01.720 --> 00:05:04.640]  如是者過了十年
[00:05:04.640 --> 00:05:08.080]  十年這個建築物都是這樣擺在那裏
[00:05:08.080 --> 00:05:10.360]  但是那些外牆又剝落
[00:05:10.360 --> 00:05:12.200]  那些玻璃又爛了
[00:05:12.200 --> 00:05:15.320]  我們都是遠觀的
[00:05:15.320 --> 00:05:18.600]  知道原來這個投資
[00:05:18.600 --> 00:05:22.240]  就是當時南斯拉夫的政府投資的
[00:05:22.240 --> 00:05:24.360]  大家知道九十年代南斯拉夫
[00:05:24.360 --> 00:05:25.440]  有很多的問題發生
[00:05:25.440 --> 00:05:26.880]  有很多的內戰
[00:05:26.880 --> 00:05:29.680]  現在南斯拉夫都沒有了這個國家的名
[00:05:29.680 --> 00:05:31.880]  分裂了很多不同的國家
[00:05:31.880 --> 00:05:35.720]  所以他們沒有以為計繼續去投資
[00:05:35.720 --> 00:05:38.560]  在蒙古國的酒店裏面
[00:05:38.560 --> 00:05:40.560]  所以就荒廢了一段時間
[00:05:40.560 --> 00:05:42.280]  都成為了一個笑柄
[00:05:42.280 --> 00:05:45.120]  就是說有些東西都是建了建築物
[00:05:45.120 --> 00:05:46.920]  沒有能夠繼續完成
[00:05:46.920 --> 00:05:48.240]  沒有辦法可以落成
[00:05:48.240 --> 00:05:51.000]  沒有辦法可以開幕這樣的情況
[00:05:51.000 --> 00:05:52.520]  所以我們看到
[00:05:52.520 --> 00:05:54.200]  同樣耶穌就是這樣的比喻
[00:05:54.200 --> 00:05:56.760]  說我們人生如果好像蓋房子一樣
[00:05:56.760 --> 00:05:58.640]  蓋完或者蓋不到一半
[00:05:58.640 --> 00:06:00.680]  已經那些功夫停了
