
[00:00:00.000 --> 00:00:07.000]  我相信在這個世界上,其中一件很難管理的事就是人事管理。
[00:00:07.000 --> 00:00:10.000]  我覺得這個世界上有件很難管理的事情,那就是人事管理。
[00:00:10.000 --> 00:00:17.000]  至於在過去這一年裏,我用了一段時間在香港及中國大陸裏面生活工作。
[00:00:17.000 --> 00:00:23.000]  在過去這一年裏,我花了大概有半年時間在香港和中國大陸生活。
[00:00:23.000 --> 00:00:33.000]  我發現了無論在教會裏面或者在普通的工作環境裏面,人事管理是其中一件最難管理的事。
[00:00:33.000 --> 00:00:39.000]  我無論是在教會還是在工作場所發現這個人事管理是一件很難的事情。
[00:00:39.000 --> 00:00:40.000]  為什麽難呢?
[00:00:40.000 --> 00:00:41.000]  為什麽難呢?
[00:00:41.000 --> 00:00:50.000]  原本對著一班應該是屬於這個世界有最高等智慧的動物,叫人,應該是很容易管理的。
[00:00:50.000 --> 00:00:56.000]  原本對著一班應該是屬於這個世界有最高等智慧的動物,叫人,應該是很容易管理的。
[00:00:56.000 --> 00:01:02.000]  原來人最難管理的地方就是因為每一個人都有自己一套的想法。
[00:01:02.000 --> 00:01:06.000]  原來在世界上每一個人都有自己的一套想法。
[00:01:06.000 --> 00:01:08.000]  當罪進入這個世界之後,
[00:01:08.000 --> 00:01:10.000]  當罪進入這個世界之後,
[00:01:10.000 --> 00:01:13.000]  人在罪的捆綁之下,
[00:01:13.000 --> 00:01:15.000]  人在罪的捆綁之下,
[00:01:15.000 --> 00:01:17.000]  他將自己的看法,
[00:01:17.000 --> 00:01:19.000]  他將自己的看法,
[00:01:19.000 --> 00:01:23.000]  就變成了全部人應該有同意的看法。
[00:01:23.000 --> 00:01:26.000]  就變成了全部人應該有同意的看法。
[00:01:26.000 --> 00:01:31.000]  於是乎不能夠打開大家彼此交通交談商議這個層面。
[00:01:31.000 --> 00:01:34.000]  就不能打開大家交通商議的層面。
[00:01:34.000 --> 00:01:36.000]  當聽到別人的意見的時候呢?
[00:01:36.000 --> 00:01:38.000]  當聽到別人的意見的時候呢?
[00:01:38.000 --> 00:01:41.000]  就馬上要去將別人的意見否定。
[00:01:41.000 --> 00:01:43.000]  就馬上要將別人的意見否定。
[00:01:43.000 --> 00:01:47.000]  然後要別人去跟從自己的想法。
[00:01:47.000 --> 00:01:49.000]  然後要別人去跟從自己的想法。
[00:01:49.000 --> 00:01:52.000]  我在神學院和在大學讀書這麼多年的裡面,
[00:01:52.000 --> 00:01:55.000]  我在神學院和在大學讀書這麼多年裡面,
[00:01:55.000 --> 00:01:58.000]  發現到這個這樣的操練,
[00:01:58.000 --> 00:02:00.000]  發現到這個這樣的操練,
[00:02:00.000 --> 00:02:01.000]  是正正因為某一個人,
[00:02:01.000 --> 00:02:02.000]  是正正因為某一個人,
[00:02:02.000 --> 00:02:04.000]  不要將個人的想法成為獨一的想法。
[00:02:04.000 --> 00:02:05.000]  不要將個人的想法成為獨一的想法。
[00:02:05.000 --> 00:02:09.000]  不要將個人的想法成為獨一的想法。
[00:02:09.000 --> 00:02:12.000]  我們在神學院裡面討論每一段經文的時候,
[00:02:12.000 --> 00:02:14.000]  我們在神學院裡面討論每一段經文的時候,
[00:02:14.000 --> 00:02:18.000]  你可以將你所看到的經文學習講出來,
[00:02:18.000 --> 00:02:22.000]  你可以將你所看到的經文學習講出來,
[00:02:22.000 --> 00:02:26.000]  但是從來不應該將自己的看法成為獨一的看法。
[00:02:26.000 --> 00:02:26.000]  但是從來不應該將自己的看法成為獨一的看法。
[00:02:26.000 --> 00:02:29.000]  但是從來不應該將自己的看法成為獨一的看法。
[00:02:29.000 --> 00:02:30.000]  人事管理困難的就是,
[00:02:30.000 --> 00:02:31.000]  人事管理困難的就是,
[00:02:31.000 --> 00:02:33.000]  因為這個世界上每一個人都習慣了
[00:02:33.000 --> 00:02:35.000]  因為這個世界上每一個人都習慣了
[00:02:35.000 --> 00:02:37.000]  只將自己的看法成為獨一的想法。
[00:02:37.000 --> 00:02:38.000]  只將自己的看法成為獨一的想法。
[00:02:38.000 --> 00:02:40.000]  文士管理的難處就在於,
[00:02:40.000 --> 00:02:43.000]  很多人都願意將自己的看法成為獨一的看法。
[00:02:43.000 --> 00:02:44.000]  於是就沒得談了。
[00:02:44.000 --> 00:02:45.000]  於是就沒得談了。
[00:02:45.000 --> 00:02:46.000]  於是就沒得談了。
[00:02:46.000 --> 00:02:48.000]  而很多時候沒得談的狀態之下,
[00:02:48.000 --> 00:02:51.000]  大家就在裏面有很多的暗鬥。
[00:02:51.000 --> 00:02:54.000]  就是說在沒法談的狀態下就會產生暗鬥。
[00:02:54.000 --> 00:02:56.000]  你又不知道我怎麽想。
