
[00:00:00.000 --> 00:00:03.000]  《馬太福音》系列來到第20篇
[00:00:03.000 --> 00:00:05.300]  我們特別集中去看
[00:00:05.300 --> 00:00:08.800]  「擁戴我王」這個方向
[00:00:08.800 --> 00:00:11.600]  我們一起去看《馬太福音》的時候
[00:00:11.600 --> 00:00:14.200]  我們先做一次思想
[00:00:14.200 --> 00:00:15.600]  我剛才說到
[00:00:15.600 --> 00:00:18.000]  耶穌基督進入耶路撒冷
[00:00:18.000 --> 00:00:22.000]  正正就是這張聖經裏面最大的主題和方向
[00:00:22.000 --> 00:00:23.400]  整個聖經裏面
[00:00:23.400 --> 00:00:26.600]  不單止耶穌騎驢驅進入耶路撒冷
[00:00:26.600 --> 00:00:29.400]  那個榮耀、輝煌和呼喊聲
[00:00:29.400 --> 00:00:31.200]  和煞啊和煞啊
[00:00:31.200 --> 00:00:34.000]  聖經裏面說到那些人呼喊著
[00:00:34.000 --> 00:00:37.800]  邀請著耶穌進入耶路撒冷
[00:00:37.800 --> 00:00:40.600]  因為祂騎著驢驅進入
[00:00:40.600 --> 00:00:42.800]  就正正是一個表徵
[00:00:42.800 --> 00:00:44.600]  在舊約聖經裏面說
[00:00:44.600 --> 00:00:46.400]  石安的女子漢
[00:00:46.400 --> 00:00:49.000]  你的王溫柔地騎著驢驅子
[00:00:49.000 --> 00:00:50.600]  進入來到你的地方
[00:00:50.600 --> 00:00:52.400]  你不用怕
[00:00:52.400 --> 00:00:55.200]  聖經正正就演繹著
[00:00:55.200 --> 00:00:56.800]  耶穌基督的表徵
[00:00:56.800 --> 00:01:00.600]  祂就是一個王利塞亞進入耶路撒冷
[00:01:00.600 --> 00:01:02.200]  進入耶路撒冷
[00:01:02.200 --> 00:01:04.800]  整張聖經有很多章律
[00:01:04.800 --> 00:01:07.000]  我再說,今天是冷一點的
[00:01:07.000 --> 00:01:08.400]  不過不要緊
[00:01:08.400 --> 00:01:10.400]  上帝以愛包底
[00:01:10.400 --> 00:01:12.000]  冷一點的裏面
[00:01:12.000 --> 00:01:15.000]  我們很想去思考
[00:01:15.000 --> 00:01:18.000]  耶路撒冷本身沒有主耶穌的時候
[00:01:18.000 --> 00:01:20.200]  它仍然運作中
[00:01:20.200 --> 00:01:21.800]  一樣有人來獻祭
[00:01:21.800 --> 00:01:24.200]  一樣在聖殿裏面有不同的活動
[00:01:24.200 --> 00:01:27.600]  一樣宗教民事的祭司長
[00:01:27.600 --> 00:01:29.600]  仍然以他自己為首
[00:01:29.600 --> 00:01:33.000]  帶領著耶路撒冷敬拜的中心
[00:01:33.000 --> 00:01:35.400]  但是王進入耶路撒冷
[00:01:35.400 --> 00:01:38.000]  進入敬拜中心的時候
[00:01:38.000 --> 00:01:40.600]  整個敬拜中心翻天覆地
[00:01:40.600 --> 00:01:42.600]  所以那段經文一直說下去
[00:01:42.600 --> 00:01:45.000]  那些人呼喊「聖黨」
[00:01:45.000 --> 00:01:46.400]  耶穌進入的時候
[00:01:46.400 --> 00:01:48.000]  整個城都震盪
[00:01:48.000 --> 00:01:51.400]  然後問「哪位呀?」
[00:01:51.400 --> 00:01:55.800]  他就說「這就是拿撒冷耶穌」
[00:01:55.800 --> 00:01:57.800]  我不知道今天在這個心田裏面
[00:01:57.800 --> 00:01:59.600]  當耶穌進入
[00:01:59.600 --> 00:02:02.000]  或者我們教會這個敬拜的場地
[00:02:02.000 --> 00:02:06.400]  當主這位王要在我們當中坐直的時候
[00:02:06.400 --> 00:02:09.200]  究竟祂會有什麼地方要提醒我們
[00:02:09.200 --> 00:02:11.200]  而今天我們從這篇聖經
[00:02:11.200 --> 00:02:13.200]  在四個方向裏面
[00:02:13.200 --> 00:02:15.200]  讓我們能夠在敬拜裏面
[00:02:15.200 --> 00:02:18.200]  更加能夠吐出歡喜
[00:02:18.200 --> 00:02:20.600]  我們有四個方向去思考
[00:02:20.600 --> 00:02:22.000]  第一方向
[00:02:22.000 --> 00:02:23.000]  我們用一個題目
[00:02:23.000 --> 00:02:26.000]  不斷用題目去反省和思考
[00:02:26.000 --> 00:02:28.800]  上帝在這一章的聖經裏面
[00:02:28.800 --> 00:02:30.400]  要表達的事情
[00:02:30.400 --> 00:02:32.000]  第一個問題是
[00:02:32.000 --> 00:02:35.400]  是交換還是拯救呢?
