
[00:00:00.000 --> 00:00:04.000]  各位朋友弟兄姊妹平安
[00:00:04.000 --> 00:00:08.000]  今日我這個講題叫做耶穌跟得過媽
[00:00:08.000 --> 00:00:10.000]  如果我們說要去跟一個人
[00:00:10.000 --> 00:00:15.000]  我們一定要想一下這個人是不是真的跟得過才行
[00:00:15.000 --> 00:00:20.000]  歷史上曾經出現過一些叱吒風雲的領袖
[00:00:20.000 --> 00:00:23.000]  不知道大家又會想跟哪一個呢
[00:00:23.000 --> 00:00:27.000]  我給幾個例子給大家去選擇
[00:00:27.000 --> 00:00:35.000]  第一個就是亞歷山大大帝
[00:00:35.000 --> 00:00:39.000]  這個人他二十歲就做皇帝了
[00:00:39.000 --> 00:00:42.000]  三十二歲他就猝死在巴比倫
[00:00:42.000 --> 00:00:44.000]  短短在十二年的裏面
[00:00:44.000 --> 00:00:49.000]  他就建立了橫跨歐亞非三洲的帝國
[00:00:49.000 --> 00:00:54.000]  可以說是歷史上最年輕的世界征服者
[00:00:54.000 --> 00:00:57.000]  第二個就是希特拉
[00:00:57.000 --> 00:01:00.000]  大家都知道他是德國的政治人物
[00:01:00.000 --> 00:01:02.000]  他是納粹黨的領袖
[00:01:02.000 --> 00:01:06.000]  1939年他發動了波蘭戰役
[00:01:06.000 --> 00:01:11.000]  導致第二次世界大戰在歐洲爆發
[00:01:11.000 --> 00:01:16.000]  而他也是納粹大屠殺的主要發動者之一
[00:01:16.000 --> 00:01:19.000]  他殺了至少五百五十萬的猶太人
[00:01:19.000 --> 00:01:25.000]  和那些被他視為低等的不受歡迎的群體
[00:01:25.000 --> 00:01:28.000]  第三個相信大家都認識他
[00:01:28.000 --> 00:01:32.000]  毛澤東就是中國共產黨的創始人之一
[00:01:32.000 --> 00:01:40.000]  他也是中國人民解放軍和中華人民共和國的主要締造者和領導人
[00:01:40.000 --> 00:01:45.000]  同時他又因為主導或者發動反右的運動
[00:01:45.000 --> 00:01:52.000]  大躍進、文化大革命和帶給國家和人民很多災難而被批評
[00:01:52.000 --> 00:01:58.000]  三個領袖不知道你最想跟誰呢?
[00:01:58.000 --> 00:02:04.000]  或者你會想怎樣的領袖才值得我去跟隨呢?
[00:02:04.000 --> 00:02:10.000]  無論這三位領袖他們過去怎樣叱咤風雲都好
[00:02:10.000 --> 00:02:17.000]  但他們總會隨著年日的過去而成為過去
[00:02:17.000 --> 00:02:20.000]  但只有一位他卻歷久不衰
[00:02:20.000 --> 00:02:25.000]  到今天他仍然在世界上發揮最重要的影響力
[00:02:25.000 --> 00:02:28.000]  他就是耶穌基督
[00:02:28.000 --> 00:02:33.000]  或者你會問耶穌到底是誰呢?
[00:02:33.000 --> 00:02:39.000]  我們從今天的經文可以看到他有幾大特點
[00:02:39.000 --> 00:02:45.000]  第一,他就是聖經早已預言的那位尼塞
[00:02:45.000 --> 00:02:48.000]  尼塞其實就是救主的意思
[00:02:48.000 --> 00:02:54.000]  當我們看回第一章其他的經節的時候
[00:02:54.000 --> 00:02:57.000]  在第二第三節說到
[00:02:57.000 --> 00:03:01.000]  他說在舊約一個先知的書上記載了
[00:03:01.000 --> 00:03:12.000]  你們看,我要差遣我的使者在你面前,預備你的道路,在曠野有呼喊者的聲音,預備主的道,修直他的路
[00:03:12.000 --> 00:03:17.000]  這個主和尼字其實就是指向救主
[00:03:17.000 --> 00:03:21.000]  但其實在新約裏面這段經文
[00:03:21.000 --> 00:03:29.000]  其實是引申至兩段更早之前舊約的先知的說話
[00:03:29.000 --> 00:03:34.000]  其中一段就在《馬拉基書》三章裏面
[00:03:34.000 --> 00:03:37.000]  這個馬拉基本身也是一個先知
[00:03:37.000 --> 00:03:41.000]  他大概在主前的四百七十五年
[00:03:41.000 --> 00:03:45.000]  如果在中國的時代就是戰國的期間
[00:03:45.000 --> 00:03:49.000]  馬拉基先知記載了一段說話
[00:03:49.000 --> 00:03:51.000]  他說萬軍的耶和華說
[00:03:51.000 --> 00:03:55.000]  看啊,我要派我的使者在我前面,預備道路
[00:03:55.000 --> 00:03:59.000]  這一段是不是和剛才那段有些相似
[00:03:59.000 --> 00:04:06.000]  另一段經文就來自另一位先知,就是以塞亞
[00:04:06.000 --> 00:04:09.000]  以塞亞他在主前大概七百年左右
[00:04:09.000 --> 00:04:13.000]  在當時來說就是中國的春秋時代左右
[00:04:13.000 --> 00:04:18.000]  在他的《以塞亞書》裏面也記載了
