
[00:00:00.000 --> 00:00:04.760]  今天很開心可以回來跟你們分享訊息
[00:00:04.760 --> 00:00:07.640]  我看回那些紀錄
[00:00:07.640 --> 00:00:11.960]  原來都沒有來了一段時間
[00:00:11.960 --> 00:00:13.680]  因為疫情的緣故
[00:00:13.680 --> 00:00:16.720]  錄影就有兩次
[00:00:16.720 --> 00:00:19.120]  終於可以回來實體見面
[00:00:19.120 --> 00:00:21.760]  都見到大家各樣都安好
[00:00:21.760 --> 00:00:24.160]  都感恩一下,為你們感恩
[00:00:24.160 --> 00:00:27.200]  不如在我們一起聽到
[00:00:27.200 --> 00:00:29.960]  先講道資,我們討論一下
[00:00:29.960 --> 00:00:33.920]  親愛的天父、親愛的耶穌、親愛的聖靈
[00:00:33.920 --> 00:00:36.160]  我們多謝你,因為你的緣故
[00:00:36.160 --> 00:00:38.640]  我們可以在這裡一起聚集
[00:00:38.640 --> 00:00:41.040]  一起敬拜、讚美你
[00:00:41.040 --> 00:00:42.760]  神啊,求你的話語
[00:00:42.760 --> 00:00:46.000]  進入我們每一個人的心裡
[00:00:46.000 --> 00:00:48.200]  進入我們的生命裡
[00:00:48.200 --> 00:00:51.400]  叫我們每一個道路都不偏離
[00:00:51.400 --> 00:00:53.000]  多謝你,我們的禱告
[00:00:53.000 --> 00:00:56.000]  是奉耶穌基督,得聖的名祈求
[00:00:56.000 --> 00:00:57.440]  阿們
[00:00:57.440 --> 00:00:59.960]  好,我知道在系列裡...
[00:00:59.960 --> 00:01:03.840]  不用紙巾,我帶了手巾
[00:01:03.840 --> 00:01:05.480]  我知道在系列裡
[00:01:05.480 --> 00:01:10.000]  你們在說人的自由,是嗎?
[00:01:10.000 --> 00:01:11.040]  是嗎?
[00:01:11.040 --> 00:01:13.040]  沒有錯吧?沒有弄錯
[00:01:13.040 --> 00:01:16.080]  好,阿楠很肯定沒有錯
[00:01:16.080 --> 00:01:19.040]  現在不是,我馬上改題目
[00:01:19.040 --> 00:01:20.880]  想人的自由
[00:01:20.880 --> 00:01:30.400]  話說,在七月底,我中了新冠肺炎
[00:01:30.400 --> 00:01:33.280]  很多人覺得中了就慘了
[00:01:33.280 --> 00:01:36.040]  你就要隔離了,沒有自由了
[00:01:36.040 --> 00:01:40.160]  但對於我來說,我不是太大問題
[00:01:40.160 --> 00:01:43.600]  我比較懶惰,不外出是很OK的
[00:01:43.600 --> 00:01:47.080]  自己在房間裡,我覺得很OK
[00:01:47.080 --> 00:01:49.720]  反而覺得有一點自由
[00:01:49.720 --> 00:01:52.440]  因為在房間裡,關上門
[00:01:52.440 --> 00:01:53.840]  吃東西也有人照顧
[00:01:53.840 --> 00:01:56.720]  自己可以在房間裡
[00:01:56.720 --> 00:01:58.560]  喜歡就睡覺
[00:01:58.560 --> 00:02:00.440]  喜歡又聽歌
[00:02:00.440 --> 00:02:03.400]  播甚麼歌也不需要得到別人的同意
[00:02:03.400 --> 00:02:05.320]  自己自由地播
[00:02:05.320 --> 00:02:07.160]  喜歡又甚麼時候吃東西也行
[00:02:07.160 --> 00:02:10.520]  睡覺也行,各樣都很自由
[00:02:10.520 --> 00:02:15.360]  直至在我隔離了第四天
[00:02:15.360 --> 00:02:17.120]  壞消息就來了
[00:02:17.120 --> 00:02:20.320]  就是黎叔也中了
[00:02:20.320 --> 00:02:24.200]  於是他很開心地收拾好他的行李
[00:02:24.200 --> 00:02:27.520]  走進我們狹窄的房間裡
[00:02:27.520 --> 00:02:30.360]  當他入住的時候,我發現了
[00:02:30.360 --> 00:02:35.880]  「你怎麼了?拿了幾個啞鈴進來」
[00:02:35.880 --> 00:02:40.920]  「不僅如此,還有幾條橡筋健身帶」
[00:02:40.920 --> 00:02:42.640]  「你打算做運動嗎?」
[00:02:42.640 --> 00:02:45.720]  「不然在房間裡做甚麼?還是做運動吧」
[00:02:45.720 --> 00:02:48.080]  我說「不舒服就不要做運動」
[00:02:48.080 --> 00:02:50.040]  再檢查一下
[00:02:50.040 --> 00:02:52.800]  50包的快速測試包
[00:02:52.800 --> 00:02:55.080]  「我要這麼多做甚麼?」
[00:02:55.080 --> 00:02:56.960]  他每天應該做幾次
[00:02:56.960 --> 00:02:58.480]  我說「今天每次做的時候」
[00:02:58.480 --> 00:03:01.320]  「都叫姐姐等在門口,我開門拿就可以了」
[00:03:01.320 --> 00:03:04.240]  「不用50包全都拿進來」
[00:03:04.240 --> 00:03:06.240]  然後還有甚麼呢?
[00:03:06.240 --> 00:03:09.840]  清溫甚麼的也有幾盒
[00:03:09.840 --> 00:03:13.440]  退燒丸也有幾盒
[00:03:13.440 --> 00:03:15.440]  喉糖也有幾盒
[00:03:15.440 --> 00:03:18.240]  然後我發覺這個狹窄的空間
[00:03:18.240 --> 00:03:20.000]  除了多了一個櫃縮之外
[00:03:20.000 --> 00:03:22.440]  還多了很多很無謂的東西
[00:03:22.440 --> 00:03:25.240]  我就把它們放在一起
[00:03:25.240 --> 00:03:28.640]  發現原來人的自由
[00:03:28.640 --> 00:03:32.280]  不是因為空間變少了
[00:03:32.280 --> 00:03:37.040]  而是因為有人跟你分享一個空間的時候
[00:03:37.040 --> 00:03:39.880]  這個自由就會受到影響
[00:03:39.880 --> 00:03:44.680]  這是在COVID-19 時領悟的
[00:03:44.680 --> 00:03:46.400]  原來當你自己的時候
[00:03:46.400 --> 00:03:52.040]  可能自由的幅度不是很受到限制
[00:03:52.040 --> 00:03:55.880]  但是當你有其他人在你身邊的時候
[00:03:55.880 --> 00:03:58.520]  你的自由就會受到限制
[00:03:58.520 --> 00:04:01.160]  所以今天的編導
[00:04:01.160 --> 00:04:03.360]  就是關於
[00:04:03.360 --> 00:04:05.000]  我想你們都很熟悉的
[00:04:05.000 --> 00:04:08.880]  在C篇裡的133篇的經文
[00:04:08.880 --> 00:04:11.800]  你們記不記得是甚麼?
[00:04:11.800 --> 00:04:20.720]  「看啊,弟兄和睦同居,是何等的善何等的美」
[00:04:20.720 --> 00:04:24.680]  我就想跟你們分享一下
[00:04:24.680 --> 00:04:27.880]  但是分享之前你們有工作要做的
[00:04:27.880 --> 00:04:30.240]  就是要讀這三節的經文
[00:04:30.240 --> 00:04:33.360]  我希望讀完之後你們懂得告訴別人
[00:04:33.360 --> 00:04:35.840]  我背了一篇C篇
[00:04:35.840 --> 00:04:37.000]  這個真的很值得背
[00:04:37.000 --> 00:04:40.040]  整篇C篇只有三節
[00:04:40.040 --> 00:04:41.400]  我們一起讀好嗎?
[00:04:41.400 --> 00:04:42.840]  一、二、三
[00:04:42.840 --> 00:04:49.640]  「看啊,弟兄和睦同居,是何等的善何等的美」
