
[00:00:00.000 --> 00:00:13.000]  今天是第五天,聖經人聖經時生命樹宣教網絡為你預備的宣傳耶穌
[00:00:13.000 --> 00:00:21.000]  第九章第十九節
[00:00:21.000 --> 00:00:24.000]  吃過飯就健壯了
[00:00:24.000 --> 00:00:31.000]  其實十九節的第一句
[00:00:31.000 --> 00:00:34.000]  沒什麼人寫書寫信的時候
[00:00:34.000 --> 00:00:39.000]  寫文章的時候會每一句都加個節數
[00:00:39.000 --> 00:00:42.000]  十九二十一二三
[00:00:42.000 --> 00:00:44.000]  不過我們聖經是有
[00:00:44.000 --> 00:00:46.000]  我想也是唯一一本書有
[00:00:46.000 --> 00:00:48.000]  我看過,看的書少
[00:00:48.000 --> 00:00:49.000]  為什麼呢
[00:00:49.000 --> 00:00:53.000]  因為幫助我們容易找回那一節
[00:00:53.000 --> 00:00:55.000]  經文太厚了
[00:00:55.000 --> 00:01:00.000]  於是編輯的人就加節數
[00:01:00.000 --> 00:01:01.000]  有時候是加錯的
[00:01:01.000 --> 00:01:03.000]  這裡就是其中一個錯的地方
[00:01:03.000 --> 00:01:05.000]  第十九節應該是從這裡開始
[00:01:05.000 --> 00:01:09.000]  Solo和大馬士革的門徒同住了些日子
[00:01:09.000 --> 00:01:11.000]  這裡是新的一段
[00:01:11.000 --> 00:01:13.000]  所以這裡是第十九節
[00:01:13.000 --> 00:01:15.000]  而這個吃過飯就健壯了
[00:01:15.000 --> 00:01:17.000]  應該是昨天的
[00:01:17.000 --> 00:01:23.000]  他看到有輪片脫落
[00:01:23.000 --> 00:01:26.000]  受洗之後吃過飯就健壯了
[00:01:26.000 --> 00:01:31.000]  這個應該是昨天的十八節
[00:01:31.000 --> 00:01:37.000]  十九節Solo和大馬士革的門徒同住了些日子
[00:01:37.000 --> 00:01:39.000]  即是說跟弟兄姊妹一起
[00:01:39.000 --> 00:01:41.000]  不是經常在一間屋住
[00:01:41.000 --> 00:01:43.000]  即是說跟他們一起
[00:01:43.000 --> 00:01:45.000]  很多來往認識
[00:01:45.000 --> 00:01:48.000]  開始學習多一點
[00:01:48.000 --> 00:01:51.000]  可能阿娜尼亞馬上補習
[00:01:51.000 --> 00:01:53.000]  來一個初訓班、學道班
[00:01:53.000 --> 00:01:55.000]  然後深造班
[00:01:55.000 --> 00:01:57.000]  他認識多了很多
[00:01:57.000 --> 00:01:59.000]  而他自己很厲害
[00:01:59.000 --> 00:02:04.000]  可能他有比較多哲學邏輯的分析思考
[00:02:04.000 --> 00:02:07.000]  猶太教的神學也很厲害
[00:02:07.000 --> 00:02:09.000]  加瑪列門下學的
[00:02:09.000 --> 00:02:11.000]  所以可能這樣的緣故
[00:02:11.000 --> 00:02:14.000]  他心裡已經有一套了
[00:02:14.000 --> 00:02:16.000]  由於他很有口才
[00:02:16.000 --> 00:02:18.000]  邏輯辯證也很好
[00:02:18.000 --> 00:02:20.000]  推理也不錯
[00:02:20.000 --> 00:02:25.000]  於是他就開始被當作是基督徒
[00:02:25.000 --> 00:02:28.000]  介紹到各個會堂
[00:02:28.000 --> 00:02:31.000]  會堂不是教堂
[00:02:31.000 --> 00:02:34.000]  是猶太教的會堂
[00:02:34.000 --> 00:02:35.000]  全部都是猶太教徒
[00:02:35.000 --> 00:02:38.000]  不承認耶穌是基督
[00:02:38.000 --> 00:02:40.000]  不過也接受他去
[00:02:40.000 --> 00:02:41.000]  為什麼呢?
[00:02:41.000 --> 00:02:43.000]  因為他本身也是猶太教徒
[00:02:43.000 --> 00:02:46.000]  也是猶太人兼猶太教徒
[00:02:46.000 --> 00:02:49.000]  不過和你不同的是我們學派不同
[00:02:49.000 --> 00:02:51.000]  你等著來塞亞
[00:02:51.000 --> 00:02:52.000]  我就說耶穌是來塞亞
[00:02:52.000 --> 00:02:54.000]  是神的兒子來到
[00:02:54.000 --> 00:02:57.000]  去到會堂一說這些
[00:02:57.000 --> 00:03:01.000]  那些猶太教徒是很不高興的
[00:03:01.000 --> 00:03:02.000]  他就去
[00:03:02.000 --> 00:03:04.000]  他又沒辦法不讓他去
[00:03:04.000 --> 00:03:05.000]  於是他去
[00:03:05.000 --> 00:03:06.000]  又好又聽聽你說什麼
[00:03:06.000 --> 00:03:09.000]  原來他逐間會堂去
[00:03:09.000 --> 00:03:16.000]  在很多會堂宣傳耶穌
[00:03:16.000 --> 00:03:18.000]  宣傳耶穌就是今天的主題
[00:03:18.000 --> 00:03:22.000]  他到處去宣傳講耶穌
[00:03:22.000 --> 00:03:24.000]  介紹講耶穌什麼?
[00:03:24.000 --> 00:03:26.000]  介紹耶穌是神的兒子
[00:03:26.000 --> 00:03:29.000]  是我們等待多年的基督
[00:03:29.000 --> 00:03:30.000]  來塞亞
[00:03:30.000 --> 00:03:31.000]  來塞亞 Messiah
