
[00:00:00.000 --> 00:00:02.260]  在中國古代戰國時代
[00:00:02.260 --> 00:00:04.940]  秦國出兵攻打趙國
[00:00:04.940 --> 00:00:08.260]  趙王就派平原軍出使楚國
[00:00:08.260 --> 00:00:13.640]  希望聯合楚國一起共同抗拒敵黨秦國
[00:00:13.640 --> 00:00:16.580]  平原軍的門下有幾千個門客
[00:00:16.580 --> 00:00:21.040]  他想選20個文武雙全的門客和他一起出使
[00:00:21.040 --> 00:00:23.860]  但是選來選去都是選到19個
[00:00:23.860 --> 00:00:26.340]  其他都不是很夠質數
[00:00:26.340 --> 00:00:27.960]  就在這個時間
[00:00:27.960 --> 00:00:33.820]  其中一個門客毛遂就走來自己推薦自己
[00:00:33.820 --> 00:00:35.840]  講到這裡可能鄧小姐會說
[00:00:35.840 --> 00:00:36.660]  我知道了
[00:00:36.660 --> 00:00:40.640]  你說的是毛遂自薦這個成語
[00:00:40.640 --> 00:00:41.740]  不好意思鄧小姐
[00:00:41.740 --> 00:00:43.580]  我不是在說這個成語
[00:00:43.580 --> 00:00:44.840]  人生就是這樣
[00:00:44.840 --> 00:00:46.580]  你以為一定會這樣發生
[00:00:46.580 --> 00:00:48.080]  未必一定會這樣發生
[00:00:48.080 --> 00:00:50.360]  所以請大家繼續聽下去
[00:00:50.360 --> 00:00:54.200]  平原軍問毛遂
[00:00:54.200 --> 00:00:55.880]  你在我這裡多少年
[00:00:55.880 --> 00:00:57.580]  毛遂說三年
[00:00:57.980 --> 00:00:59.100]  平原軍說
[00:00:59.100 --> 00:01:01.540]  一個有真材實料的人
[00:01:01.540 --> 00:01:04.400]  就好像一把尖鋒放進一個布袋
[00:01:04.400 --> 00:01:07.140]  由於那個尖鋒實在太鋒利
[00:01:07.140 --> 00:01:09.560]  所以一定會割穿那個布袋
[00:01:09.560 --> 00:01:11.180]  將自己凸了出來
[00:01:11.180 --> 00:01:13.080]  這個尖鋒就凸出來了
[00:01:13.080 --> 00:01:14.720]  你在我這裡三年
[00:01:14.720 --> 00:01:17.720]  從來都沒有聽過內臣稱讚你
[00:01:17.720 --> 00:01:21.300]  也看不到你任何有出色的表現
[00:01:21.300 --> 00:01:23.160]  可見你沒有什麼專長
[00:01:23.160 --> 00:01:25.280]  先生都是請你留下
[00:01:26.000 --> 00:01:28.820]  毛遂就這樣跟平原軍說
[00:01:28.820 --> 00:01:32.960]  今天我走來自我推薦自己
[00:01:32.960 --> 00:01:35.840]  就是請你將我放在一個布袋那裡
[00:01:35.840 --> 00:01:38.500]  如果以前有這個機會
[00:01:38.500 --> 00:01:40.600]  我不僅我的鋸尖凸了出來
[00:01:40.600 --> 00:01:44.240]  我整把尖鋸都完全凸出來了
[00:01:44.240 --> 00:01:46.640]  平原軍見他這麼有信心
[00:01:46.640 --> 00:01:48.640]  於是就邀請他一起加入
[00:01:48.640 --> 00:01:50.340]  到了楚國
[00:01:50.340 --> 00:01:52.360]  平原軍出盡一切法寶
[00:01:52.360 --> 00:01:53.360]  一切方法
[00:01:53.360 --> 00:01:54.360]  絞盡腦汁
[00:01:54.360 --> 00:01:57.600]  都沒有辦法說服楚王出兵
[00:01:57.600 --> 00:02:00.160]  他們兩個人由早上談到下午
[00:02:00.160 --> 00:02:01.560]  都沒有什麼結果
[00:02:01.560 --> 00:02:02.520]  就在這個時間
[00:02:02.520 --> 00:02:03.820]  毛遂拿起劍
[00:02:03.820 --> 00:02:06.360]  大步踏上台階
[00:02:06.360 --> 00:02:09.120]  大聲地跟楚王說
[00:02:09.120 --> 00:02:10.760]  出不出兵
[00:02:10.760 --> 00:02:12.560]  關鍵利害
[00:02:12.560 --> 00:02:13.960]  好處不好處
[00:02:13.960 --> 00:02:15.760]  都已經說得很清楚了
[00:02:15.760 --> 00:02:17.760]  為什麼意義不決
[00:02:17.760 --> 00:02:19.560]  楚王就發怒了
[00:02:19.560 --> 00:02:20.880]  誰這麼大膽
[00:02:20.880 --> 00:02:21.800]  沒有規矩
[00:02:21.800 --> 00:02:23.160]  你以為這裡是立法會嗎?
[00:02:23.160 --> 00:02:24.160]  亂說話
[00:02:24.160 --> 00:02:28.760]  平原軍見到楚王發怒
[00:02:28.760 --> 00:02:30.160]  就說不好意思大王
[00:02:30.160 --> 00:02:32.560]  這位是我的門客毛遂
[00:02:32.560 --> 00:02:35.560]  楚王就向毛遂大聲說
[00:02:35.560 --> 00:02:36.560]  你退下
[00:02:36.560 --> 00:02:38.560]  我和你的主人有話好說
[00:02:38.560 --> 00:02:40.360]  毛遂見到楚王發怒
[00:02:40.360 --> 00:02:41.760]  不僅沒有退下
[00:02:41.760 --> 00:02:43.760]  並且繼續拿著劍
[00:02:43.760 --> 00:02:46.760]  向台階繼續走上去
[00:02:46.760 --> 00:02:48.760]  並且大聲跟楚王說
[00:02:48.760 --> 00:02:49.760]  大王
[00:02:49.760 --> 00:02:50.960]  十步之內
