
[00:00:00.000 --> 00:00:06.000]  一個渾然一新的感覺是我們基督徒應該常常去追求
[00:00:06.000 --> 00:00:09.000]  去舊迎新
[00:00:09.000 --> 00:00:11.000]  願意我們今天每一個人
[00:00:11.000 --> 00:00:13.000]  還有機會
[00:00:13.000 --> 00:00:15.000]  2015年1月過了
[00:00:15.000 --> 00:00:17.000]  還有很多個月
[00:00:17.000 --> 00:00:19.000]  願意我們不要等到12月的時候
[00:00:19.000 --> 00:00:21.000]  我們才有這個心態
[00:00:21.000 --> 00:00:22.000]  要去舊迎新
[00:00:22.000 --> 00:00:24.000]  我們就現在開始
[00:00:24.000 --> 00:00:25.000]  有一種渾然一新
[00:00:25.000 --> 00:00:27.000]  在主裡面尋求一個
[00:00:27.000 --> 00:00:30.000]  嶄新的心
[00:00:30.000 --> 00:00:33.000]  因為活出真理
[00:00:33.000 --> 00:00:35.000]  聖經今天告訴我們
[00:00:35.000 --> 00:00:37.000]  我們需要脫去舊人
[00:00:37.000 --> 00:00:40.000]  我們需要穿上新人
[00:00:40.000 --> 00:00:42.000]  在二弗所書這樣說
[00:00:42.000 --> 00:00:43.000]  在第四章
[00:00:43.000 --> 00:00:46.000]  他說如果你聽過他的道
[00:00:46.000 --> 00:00:48.000]  領了他的教訓
[00:00:48.000 --> 00:00:50.000]  學了他的真理
[00:00:50.000 --> 00:00:54.000]  就要脫去你從前行為上的舊人
[00:00:54.000 --> 00:00:57.000]  這個舊人是因私慾的迷惑
[00:00:57.000 --> 00:00:59.000]  漸漸變壞
[00:00:59.000 --> 00:01:03.000]  又要將你們的心智改換一新
[00:01:03.000 --> 00:01:05.000]  我們一起讀最後一節好嗎
[00:01:05.000 --> 00:01:08.000]  並且穿上新人
[00:01:08.000 --> 00:01:11.000]  這新人是照著神的形象
[00:01:11.000 --> 00:01:15.000]  做的有真理的人而和聖潔
[00:01:15.000 --> 00:01:18.000]  你和我都聽過神的道
[00:01:18.000 --> 00:01:21.000]  領受過神的教訓
[00:01:21.000 --> 00:01:23.000]  也都學過神的真理
[00:01:23.000 --> 00:01:28.000]  但是否這麼容易脫去舊人
[00:01:28.000 --> 00:01:32.000]  是否這麼容易脫去舊人的行為
[00:01:32.000 --> 00:01:34.000]  很多根深蒂固的事
[00:01:34.000 --> 00:01:37.000]  是否一下子就可以改變
[00:01:37.000 --> 00:01:40.000]  其實你和我都帶著很多包袱
[00:01:40.000 --> 00:01:42.000]  進入這個信仰
[00:01:42.000 --> 00:01:44.000]  進入這個回點的教會
[00:01:44.000 --> 00:01:46.000]  你進入這個信仰
[00:01:46.000 --> 00:01:50.000]  你會帶著很多舊有的那種皮性
[00:01:50.000 --> 00:01:54.000]  你的習慣進入去
[00:01:54.000 --> 00:01:57.000]  有人就說這麼多包袱
[00:01:57.000 --> 00:02:00.000]  那我怎樣活出真理呢
[00:02:00.000 --> 00:02:02.000]  你的包袱多不多
[00:02:02.000 --> 00:02:04.000]  如果你今天都覺得你很多包袱
[00:02:04.000 --> 00:02:06.000]  很難活出你的真理
[00:02:06.000 --> 00:02:09.000]  活出真理是一種苦差的時候
[00:02:09.000 --> 00:02:12.000]  昔日以弗所教會的弟兄姊妹
[00:02:12.000 --> 00:02:17.000]  一定其實比你更多的包袱
[00:02:17.000 --> 00:02:19.000]  我們上次說過
[00:02:19.000 --> 00:02:21.000]  在以弗所教會裏面
[00:02:21.000 --> 00:02:25.000]  主要是甚麼人居多
[00:02:25.000 --> 00:02:28.000]  它是一個外邦人的教會
[00:02:28.000 --> 00:02:30.000]  是外邦人居多
[00:02:30.000 --> 00:02:31.000]  他們每一個的外邦人
[00:02:31.000 --> 00:02:35.000]  都帶著很多舊有的行為和文化
[00:02:35.000 --> 00:02:39.000]  進入以弗所教會
[00:02:39.000 --> 00:02:40.000]  去到教會的時候
[00:02:40.000 --> 00:02:43.000]  為那班猶太人
[00:02:43.000 --> 00:02:45.000]  很大的衝擊
[00:02:45.000 --> 00:02:47.000]  我們都說過
[00:02:47.000 --> 00:02:50.000]  到底他們帶著的是甚麼舊行為
[00:02:50.000 --> 00:02:52.000]  甚麼舊文化
[00:02:52.000 --> 00:02:55.000]  為什麼當我們看第五章的時候
[00:02:55.000 --> 00:02:57.000]  聖經也特別說到
[00:02:57.000 --> 00:03:00.000]  淫亂和一切污穢和貪婪
[00:03:00.000 --> 00:03:03.000]  連一句都不要提
[00:03:03.000 --> 00:03:07.000]  淫慈妄語和下流的笑話
[00:03:07.000 --> 00:03:10.000]  都是不相宜
[00:03:10.000 --> 00:03:12.000]  在第五章的時候
[00:03:12.000 --> 00:03:15.000]  保羅特別指出這一點
[00:03:15.000 --> 00:03:19.000]  相信大家如果上次
[00:03:19.000 --> 00:03:21.000]  我們一直談論到以弗所教會的時候
[00:03:21.000 --> 00:03:23.000]  我們都提及
[00:03:23.000 --> 00:03:26.000]  有一個亞底米女神
[00:03:26.000 --> 00:03:28.000]  我們都說過這個
[00:03:28.000 --> 00:03:33.000]  這個女神到底是甚麼女神
[00:03:33.000 --> 00:03:38.000]  為什麼她身上有這麼多女性器官
[00:03:38.000 --> 00:03:40.000]  其實這個女神
