
[00:00:00.000 --> 00:00:03.360]  平安!我們先一起祈禱
[00:00:03.360 --> 00:00:21.320]  (主席發言)
[00:00:21.320 --> 00:00:26.160]  今天是十二月的第二個主日
[00:00:26.160 --> 00:00:29.120]  我們繼續思想主耶穌的身份
[00:00:29.360 --> 00:00:31.360]  或者說是祂的特質
[00:00:31.360 --> 00:00:36.240]  我們這次根據《耳塞俠書》九章六節
[00:00:36.240 --> 00:00:37.200]  說:
[00:00:37.200 --> 00:00:39.760]  「因有一鷹孩為我們而生,
[00:00:39.760 --> 00:00:41.520]  有一子賜給我們,
[00:00:41.520 --> 00:00:44.200]  政權必擔在他的肩頭上。
[00:00:44.200 --> 00:00:46.760]  他名稱為奇妙測試,
[00:00:46.760 --> 00:00:48.240]  全能的上帝,
[00:00:48.240 --> 00:00:49.600]  永在的父,
[00:00:49.600 --> 00:00:51.600]  和平的君。」
[00:00:51.600 --> 00:00:56.280]  這裡提到四個身份來思想主耶穌的特質
[00:00:56.600 --> 00:00:59.840]  今天我們會思想「永在的父」
[00:00:59.840 --> 00:01:03.760]  下星期才會思想「全能的上帝」
[00:01:03.760 --> 00:01:07.440]  說到父親
[00:01:07.440 --> 00:01:11.760]  我不知道我們中間有沒有一些弟兄姊妹
[00:01:11.760 --> 00:01:16.640]  跟父親的關係是非常不好的
[00:01:16.640 --> 00:01:22.800]  如果有人跟他的父親的關係是極端不好的話
[00:01:22.800 --> 00:01:24.640]  一提起父親
[00:01:24.640 --> 00:01:27.400]  就會覺得怒火中燒
[00:01:27.400 --> 00:01:30.080]  負面情緒湧上心頭
[00:01:30.080 --> 00:01:32.480]  我建議你
[00:01:32.480 --> 00:01:35.840]  你真的要去找專業的心理輔導員
[00:01:35.840 --> 00:01:37.840]  來尋求幫助
[00:01:37.840 --> 00:01:41.200]  在人類的社會中
[00:01:41.200 --> 00:01:42.360]  一般來說
[00:01:42.360 --> 00:01:45.320]  父母親都是會愛護子女的
[00:01:45.320 --> 00:01:50.360]  所以很多都是會跟父母有好的關係
[00:01:50.360 --> 00:01:54.240]  我自己的父親是很嚴厲的
[00:01:54.680 --> 00:01:56.920]  我跟他不算是很好的關係
[00:01:56.920 --> 00:01:58.040]  不過感謝主
[00:01:58.040 --> 00:02:00.040]  他不是「永在的父」
[00:02:00.040 --> 00:02:01.520]  他已經離世了
[00:02:01.520 --> 00:02:03.840]  我二十多歲的時候就已經離世了
[00:02:03.840 --> 00:02:05.760]  心中對他的恨
[00:02:05.760 --> 00:02:10.200]  以後來都是藉著一些心理輔導方法處理過
[00:02:10.200 --> 00:02:11.120]  所以現在說起
[00:02:11.120 --> 00:02:12.440]  我不會生氣了
[00:02:12.440 --> 00:02:15.120]  父親
[00:02:15.120 --> 00:02:18.040]  一般在家庭裡面
[00:02:18.040 --> 00:02:20.880]  都要擔負起幾個角色
[00:02:21.800 --> 00:02:25.280]  首先他是家的創造者
[00:02:25.280 --> 00:02:29.000]  如果一個男人沒有結婚
[00:02:29.000 --> 00:02:31.000]  他不會有家庭的
[00:02:31.000 --> 00:02:33.000]  不會有兒女的
[00:02:33.000 --> 00:02:35.640]  創造了家庭之後
[00:02:35.640 --> 00:02:39.200]  父親又要擔負起供養家庭
[00:02:39.200 --> 00:02:41.200]  維持家庭開支
[00:02:41.200 --> 00:02:43.280]  有兒女之後
[00:02:43.280 --> 00:02:45.280]  還要供書教學
[00:02:45.280 --> 00:02:48.120]  還有管教小朋友
[00:02:48.120 --> 00:02:51.480]  在華人的文化中有句話說
[00:02:51.480 --> 00:02:53.920]  「養不教,父之過」
[00:02:53.920 --> 00:02:55.920]  不是說母之過
[00:02:55.920 --> 00:02:58.760]  所以我們看到爸爸的角色
[00:02:58.760 --> 00:03:04.240]  這個跟聖經中猶太文化都是很接近的
[00:03:04.240 --> 00:03:08.280]  在《新命紀》六章六到七節說
[00:03:08.280 --> 00:03:12.760]  「我今天吩咐你的姐姐都要記在心上」
[00:03:12.760 --> 00:03:16.160]  「也要殷勤教導你的兒女」
[00:03:16.160 --> 00:03:17.960]  「無論你坐在家裡
[00:03:17.960 --> 00:03:21.560]  走到路上躺下起來都要吟誦」
[00:03:21.560 --> 00:03:26.880]  這個就是聖經給猶太人父親的教導
[00:03:26.880 --> 00:03:29.120]  總括來說
[00:03:29.120 --> 00:03:32.600]  就聖經時代的文化來說
[00:03:32.600 --> 00:03:36.280]  父親是有四方面重要的責任
[00:03:36.280 --> 00:03:38.120]  創造家庭
[00:03:38.120 --> 00:03:39.840]  供應家庭
[00:03:39.840 --> 00:03:42.320]  教導兒女認識上主
[00:03:42.320 --> 00:03:43.760]  還有他的話語
[00:03:44.760 --> 00:03:48.720]  還有就是要將謀生的技能
[00:03:48.720 --> 00:03:50.440]  傳授給子女
[00:03:50.440 --> 00:03:55.200]  在這四方面的責任當中
