
[00:00:00.000 --> 00:00:02.540]  親愛的兄姊妹,在我們人生當中
[00:00:02.540 --> 00:00:04.380]  會不會碰到困難啊?
[00:00:04.380 --> 00:00:09.420]  在你一生當中,如果你從來沒有碰到困難
[00:00:09.420 --> 00:00:13.780]  我不知道為你高興,還是為你悲哀
[00:00:13.780 --> 00:00:17.140]  因為你沒有活過人生
[00:00:17.140 --> 00:00:20.340]  人生當中一定會有困難,是吧?
[00:00:20.340 --> 00:00:24.660]  親愛的兄姊妹,沒有人喜歡困難的
[00:00:24.660 --> 00:00:27.040]  沒有人喜歡苦爛的,有人喜歡苦爛的
[00:00:27.040 --> 00:00:29.180]  來,舉手,舉下手,我看一下
[00:00:30.040 --> 00:00:31.720]  沒有吧?是不是?
[00:00:31.720 --> 00:00:35.240]  我聽到弟兄姊妹在說,啊,牧師為我禱告的時候,都是什麼?
[00:00:35.240 --> 00:00:37.800]  都是說,哇,這個問題不要來
[00:00:37.800 --> 00:00:40.220]  那個問題要解決,是不是?
[00:00:40.220 --> 00:00:43.360]  有沒有人說,哇,牧師為我禱告
[00:00:43.360 --> 00:00:46.480]  讓我的苦難越來越多,有沒有?
[00:00:46.480 --> 00:00:47.900]  不會
[00:00:47.900 --> 00:00:50.440]  但是,親愛的兄姊妹
[00:00:50.440 --> 00:00:55.040]  感謝在美祖,今天我們要來看這段聖經裡面
[00:00:55.040 --> 00:00:57.800]  雖然它不是
[00:00:59.760 --> 00:01:00.800]  雖然它不是
[00:01:00.800 --> 00:01:06.360]  直接的在針對我們今天所面對到的生活上面的困難
[00:01:06.360 --> 00:01:11.040]  但是它講到了在聖經裡面一個非常重要的神學的觀念
[00:01:11.040 --> 00:01:14.480]  這也是,等一下我會仔細的解釋
[00:01:14.480 --> 00:01:16.160]  我們來看
[00:01:16.160 --> 00:01:20.720]  我們來看剛才所讀的這段聖經
[00:01:20.720 --> 00:01:24.480]  在上一次的信息裡面我們提到
[00:01:24.480 --> 00:01:26.480]  格羅西書第二章的
[00:01:26.480 --> 00:01:29.440]  這個十二、十三節
[00:01:29.880 --> 00:01:30.960]  我唸給大家聽好
[00:01:30.960 --> 00:01:37.520]  他說你們既受洗與他一同埋葬
[00:01:37.520 --> 00:01:41.000]  也就在此與他一同復活
[00:01:41.000 --> 00:01:46.720]  都因信納叫他從死裡復活,神的功用
[00:01:46.720 --> 00:01:51.800]  你們從前在過犯和未受割裡的肉體中死了
[00:01:51.800 --> 00:01:54.560]  神赦免了你們一切過犯
[00:01:54.560 --> 00:01:58.080]  便叫你們與基督一同活過來
[00:01:59.040 --> 00:02:01.280]  所以考考大家的記憶力
[00:02:01.280 --> 00:02:03.880]  這是我在復活節講的信息
[00:02:03.880 --> 00:02:06.280]  還記得復活節講什麼信息嗎
[00:02:06.280 --> 00:02:10.120]  OK,沒關係
[00:02:10.120 --> 00:02:12.040]  請問上個禮拜
