
[00:00:00.000 --> 00:00:04.480]  好 今天我跟各位繼續來看傳道書的第三章
[00:00:04.480 --> 00:00:08.840]  我不曉得各位還有多少的記憶
[00:00:08.840 --> 00:00:15.040]  我們上次在兩個月前講到傳道書第三章的第一個題目
[00:00:15.040 --> 00:00:19.000]  就是我的人生的規劃跟神的永恆計劃
[00:00:19.000 --> 00:00:22.360]  上兩個月前是講了第一章
[00:00:22.360 --> 00:00:24.120]  今天會講第二
[00:00:24.120 --> 00:00:29.040]  我不曉得下期講第三還是會有沒有第四個
[00:00:29.040 --> 00:00:30.440]  大概先講第二了
[00:00:30.440 --> 00:00:31.600]  講完再說了
[00:00:31.600 --> 00:00:34.880]  一天的擔子就一天當就好了
[00:00:34.880 --> 00:00:37.720]  好 傳道書第三章
[00:00:37.720 --> 00:00:39.600]  我還是會只是講
[00:00:39.600 --> 00:00:41.520]  上次我也是講第一的時候
[00:00:41.520 --> 00:00:42.560]  第一部分的時候
[00:00:42.560 --> 00:00:46.040]  是講到傳道書的第三章的第一到十三節
[00:00:46.040 --> 00:00:48.360]  這次講到有十
[00:00:48.360 --> 00:00:50.360]  有十
[00:00:50.360 --> 00:00:55.040]  十三節裏面我想跟各位來溫習一下
[00:00:55.040 --> 00:00:58.560]  我們主要看第九到十三節
[00:00:58.560 --> 00:01:00.000]  所以我想邀請各位
[00:01:00.000 --> 00:01:01.200]  我們先讀一遍
[00:01:01.200 --> 00:01:03.280]  先讀第九到十三
[00:01:03.280 --> 00:01:06.160]  讀一遍給我們能夠有一點的印象
[00:01:06.160 --> 00:01:07.960]  我們起來讀這段經文
[00:01:07.960 --> 00:01:09.440]  預備來
[00:01:09.440 --> 00:01:15.800]  這樣看來做事的人在他的老路上有什麼遺處
[00:01:15.800 --> 00:01:19.000]  我見神教世人老苦
[00:01:19.000 --> 00:01:22.440]  使他們在其中受驚念
[00:01:22.440 --> 00:01:24.040]  神造萬物
[00:01:24.040 --> 00:01:27.240]  各岸及時成爲美好
[00:01:27.240 --> 00:01:31.160]  將永生安置在世人心裏
[00:01:31.160 --> 00:01:34.840]  然而神從始至終的作爲
[00:01:34.840 --> 00:01:36.880]  人不能參透
[00:01:36.880 --> 00:01:42.760]  我知道世人莫嘗如終生喜樂行善
[00:01:42.760 --> 00:01:45.400]  地者人人之賀
[00:01:45.400 --> 00:01:48.840]  在他一切勞碌中享福
[00:01:48.840 --> 00:01:52.000]  這也是神的恩賜
[00:01:52.000 --> 00:01:54.680]  這個我在上次講到三個重點
[00:01:54.680 --> 00:02:00.000]  在我們講到從經文裏面告訴我們上主的無限
[00:02:00.000 --> 00:02:02.160]  但在上主的無限當中
[00:02:02.160 --> 00:02:06.480]  不代表他所創造的世界是無限的
[00:02:06.480 --> 00:02:08.520]  創造是有限的
[00:02:08.520 --> 00:02:13.880]  所以有時生有時死有時哭有時笑有時
[00:02:13.880 --> 00:02:19.360]  這個有時都是提醒我們創造是有限的
[00:02:19.360 --> 00:02:21.400]  這個是很重要的
[00:02:21.400 --> 00:02:25.560]  有人會覺得神所造的都是好
[00:02:25.560 --> 00:02:29.920]  我們相信這位創造主在創世紀告訴我們說
[00:02:29.920 --> 00:02:32.800]  神所創造的都看爲好
[00:02:32.800 --> 00:02:36.840]  但這個看爲好不代表說是完美
[00:02:36.840 --> 00:02:41.200]  不代表是無限好無限美
[00:02:41.200 --> 00:02:44.400]  所以神是無限的
[00:02:44.400 --> 00:02:46.640]  但他所創造這個世界
[00:02:46.640 --> 00:02:50.240]  我們活在這個世界是有限的
[00:02:50.240 --> 00:02:52.200]  這個世界是神所創造的
[00:02:52.200 --> 00:02:54.800]  所以是神賜予我們的
[00:02:54.800 --> 00:02:59.160]  我們在當中所能夠擁有的一切
[00:02:59.160 --> 00:03:02.960]  無論你今天你讀書好你工作好
[00:03:02.960 --> 00:03:05.400]  你的家庭也好你的生活也好
[00:03:05.400 --> 00:03:07.480]  你所擁有的
[00:03:07.480 --> 00:03:10.840]  不要單單以爲就是你屬於你自己
[00:03:10.840 --> 00:03:14.120]  是神給我們的是神賜予
[00:03:14.120 --> 00:03:16.600]  神讓我們得到
[00:03:16.600 --> 00:03:19.360]  所以也是屬於神掌管的
[00:03:19.360 --> 00:03:23.200]  所以我們每個人的生命都應該是屬於神
[00:03:23.200 --> 00:03:25.880]  是神所掌管我們的生命
[00:03:25.880 --> 00:03:28.000]  然後第三個重點上次講到是
[00:03:28.000 --> 00:03:32.520]  我們要與這位永恆的主結連在一起
[00:03:32.520 --> 00:03:36.080]  我們纔可以得到真正的滿足
[00:03:36.080 --> 00:03:38.080]  上次我提到也是很多時候
[00:03:38.080 --> 00:03:41.800]  在聽到一些有人會這樣子形容
[00:03:41.800 --> 00:03:43.600]  神創造我們每一個人
[00:03:43.600 --> 00:03:46.640]  在我們的這個人裏面
[00:03:46.640 --> 00:03:48.760]  有一個空洞
[00:03:48.760 --> 00:03:51.840]  有一個這個空洞是一個心靈的空洞
[00:03:51.840 --> 00:03:53.520]  是屬於spiritual
[00:03:53.520 --> 00:03:56.040]  是一個屬靈上的心靈上的
[00:03:56.040 --> 00:03:59.520]  所以這個空洞能夠真正的滿足
[00:03:59.520 --> 00:04:01.840]  纔是我們人生的滿足
[00:04:01.840 --> 00:04:05.440]  而這個滿足不是從物質上來的
[00:04:05.440 --> 00:04:08.440]  是要從我們的神他賜給我們的
[00:04:08.440 --> 00:04:11.160]  這是我們能夠跟這位神結連在一起
[00:04:11.160 --> 00:04:14.520]  我們纔可以得到真正心靈的滿足
[00:04:14.520 --> 00:04:17.680]  這是我們上次講到的
[00:04:17.680 --> 00:04:21.480]  今天在人生規劃跟神的永恆計劃裏面
