
[00:00:00.000 --> 00:00:03.400]  今天我們的講題是「為主作應作」的事
[00:00:03.400 --> 00:00:07.560]  我選了在路加坊23,50節至24,12節
[00:00:07.560 --> 00:00:10.000]  在開始之前
[00:00:10.000 --> 00:00:11.480]  就考考大家
[00:00:11.480 --> 00:00:14.520]  我想這裡有些人都看了聖經很多次
[00:00:14.520 --> 00:00:17.280]  四方書我們都知道
[00:00:17.280 --> 00:00:22.360]  都會同時記載一些跟耶穌有關的經文、事蹟
[00:00:22.360 --> 00:00:24.560]  有時是同一時間都會記載
[00:00:24.560 --> 00:00:28.160]  特別是耶穌由受死埋葬復活
[00:00:28.160 --> 00:00:30.280]  四方書都有同時記載
[00:00:30.280 --> 00:00:34.480]  我最近上一些課才聽到
[00:00:34.480 --> 00:00:37.960]  四方書裏面在耶穌死了之後
[00:00:37.960 --> 00:00:40.360]  仍然都會提名的人
[00:00:40.360 --> 00:00:43.080]  在四方書都同時出現
[00:00:43.080 --> 00:00:46.120]  只有三個
[00:00:46.120 --> 00:00:48.080]  我有一次問
[00:00:48.080 --> 00:00:49.960]  耶穌固然是
[00:00:49.960 --> 00:00:51.160]  那些就不算了
[00:00:51.160 --> 00:00:53.520]  之後說其他人
[00:00:53.520 --> 00:00:57.080]  大家猜猜是哪三個呢?
[00:00:57.080 --> 00:00:59.800]  瑪麗亞,對了
[00:00:59.800 --> 00:01:02.760]  她是第一個見證耶穌基督復活的女子
[00:01:02.760 --> 00:01:03.960]  就是婦女其中之一
[00:01:03.960 --> 00:01:06.320]  對了,還有呢
[00:01:06.320 --> 00:01:08.080]  彼得,很多人都以為是
[00:01:08.080 --> 00:01:12.000]  但原來在馬太和馬可
[00:01:12.000 --> 00:01:13.880]  是沒有記住彼得的名字
[00:01:13.880 --> 00:01:14.960]  當然有他出現
[00:01:14.960 --> 00:01:18.360]  不過沒有特意提名出現
[00:01:18.360 --> 00:01:19.960]  還有呢
[00:01:19.960 --> 00:01:23.720]  若瑟,誰是若瑟?
[00:01:23.720 --> 00:01:24.960]  二人若瑟,對了
[00:01:24.960 --> 00:01:27.320]  Grace說了我知道,一會兒會說
[00:01:27.320 --> 00:01:29.680]  還有一個呢
[00:01:29.680 --> 00:01:31.600]  猶大又不是
[00:01:31.600 --> 00:01:33.560]  好,就是比拉多
[00:01:33.560 --> 00:01:35.400]  就是比拉多,猜不到
[00:01:35.400 --> 00:01:37.840]  比拉多因為她是第一個
[00:01:37.840 --> 00:01:42.120]  她是唯一當時能夠判耶穌死刑的人
[00:01:42.120 --> 00:01:45.520]  因為就算猶太人當時在羅馬政府管治之下
[00:01:45.520 --> 00:01:47.800]  所以他們要判死刑的權
[00:01:47.800 --> 00:01:49.000]  都要交回給羅馬政府
[00:01:49.000 --> 00:01:52.800]  而當時羅馬政府派她在猶大管治的那個
[00:01:52.800 --> 00:01:54.400]  就好像香港特首那樣
