
[00:00:00.000 --> 00:00:02.960]  今日呢我所設定嘅題目呢
[00:00:02.960 --> 00:00:06.920]  其實呢係抄一個大台嘅電視節目嘅
[00:00:06.920 --> 00:00:08.600]  叫做「好睡好起」呀
[00:00:08.600 --> 00:00:12.440]  我想問下在座有冇大嬰姊妹你有睇過呢個節目㗎
[00:00:12.440 --> 00:00:13.760]  都有呀係咪呀
[00:00:13.760 --> 00:00:16.680]  都幾好睇喎呢一個嘅節目
[00:00:16.680 --> 00:00:20.040]  我個人呢就冇乜睡眠困難嘅
[00:00:20.040 --> 00:00:23.040]  在座大嬰姊妹會唔會好難入睡呀都
[00:00:23.040 --> 00:00:25.160]  畀啲反應先 都好似係㗎
[00:00:25.160 --> 00:00:27.720]  我呢就好鍾意瞓覺嘅
[00:00:27.720 --> 00:00:28.520]  啲人呢成日話
[00:00:28.520 --> 00:00:30.600]  喂 阿關牧師你真係好瘦呀
[00:00:30.600 --> 00:00:32.120]  次次見我都話我瘦咗㗎喎
[00:00:32.120 --> 00:00:33.600]  唔知點解呀
[00:00:33.600 --> 00:00:36.120]  其實呢我呢對於我嚟講呢
[00:00:36.120 --> 00:00:37.560]  食嘢就唔係好緊要嘅
[00:00:37.560 --> 00:00:39.200]  瞓覺就緊要啲
[00:00:39.200 --> 00:00:41.400]  所以呢我下午呢基本上呢
[00:00:41.400 --> 00:00:42.880]  用十分鐘嘅時間食嘢
[00:00:42.880 --> 00:00:45.640]  跟住呢就用九個字時間呢就要瞓覺㗎
[00:00:45.640 --> 00:00:47.160]  所以呢一到咁上下呢
[00:00:47.160 --> 00:00:49.200]  我個樣呢就會變樣㗎喇
[00:00:49.200 --> 00:00:51.280]  咁話說呢我呢未做
[00:00:51.280 --> 00:00:52.680]  即係未擔任牧師之前呢
[00:00:52.680 --> 00:00:54.600]  仍然係孫教師嘅時候呢
[00:00:54.600 --> 00:00:56.840]  我呢就喺區會其中一間中學
[00:00:56.840 --> 00:00:59.440]  叫做荷福堂書院都係喺屯門嘅
[00:00:59.440 --> 00:01:01.120]  咁就喺嗰度呢擔任校牧
[00:01:01.120 --> 00:01:04.040]  我亦都喺嗰度嘅畢業生嚟㗎
[00:01:04.040 --> 00:01:05.680]  咁就講個笑話畀大家聽下
[00:01:05.680 --> 00:01:06.920]  咁話說呢
[00:01:06.920 --> 00:01:09.200]  即係荷福堂書院呢就好錫我嘅
[00:01:09.200 --> 00:01:10.720]  好錫屯門堂嘅
[00:01:10.720 --> 00:01:12.200]  咁呢佢哋呢就特登呢
[00:01:12.200 --> 00:01:14.200]  安排咗一個地方
[00:01:14.200 --> 00:01:16.120]  一個即係位置呢
[00:01:16.120 --> 00:01:19.240]  就係作為一個校牧室
[00:01:19.240 --> 00:01:21.120]  咁佢呢校長就同我講
[00:01:21.120 --> 00:01:22.560]  佢話 唉 關孫
[00:01:22.560 --> 00:01:25.240]  嗱呢個校牧室呢就係畀你哋校牧呢
[00:01:25.240 --> 00:01:26.480]  去到使用㗎喇
[00:01:26.480 --> 00:01:28.040]  作為一啲福音活動
[00:01:28.040 --> 00:01:30.320]  嗱 你可以買任何嘅家具
[00:01:30.320 --> 00:01:33.840]  你可以隨你嘅喜歡去到佈置呢一個地方
[00:01:33.840 --> 00:01:36.680]  錢呢 就學校出
[00:01:36.680 --> 00:01:37.680]  嘩 好正喇
[00:01:37.680 --> 00:01:39.160]  一個校牧室 係咪
[00:01:39.160 --> 00:01:40.920]  可以畀我任我發揮
[00:01:40.920 --> 00:01:42.720]  任我去到佈置
[00:01:42.720 --> 00:01:44.640]  當時我諗
[00:01:44.640 --> 00:01:45.720]  咦 姐妹
[00:01:45.720 --> 00:01:48.280]  校牧室你覺得最重要有啲咩呀
[00:01:48.280 --> 00:01:50.760]  除咗聖經之外
[00:01:50.760 --> 00:01:52.680]  哎呀 好犀利
[00:01:52.680 --> 00:01:54.200]  係呀 有一張梳化
[00:01:54.200 --> 00:01:56.880]  我第一個就要諗要有一張梳化
[00:01:56.880 --> 00:01:57.840]  當然啦
[00:01:57.840 --> 00:01:59.800]  啲學生嚟坐下梳化好舒服啦
[00:01:59.800 --> 00:02:01.200]  不過更重要嘅
[00:02:01.200 --> 00:02:03.520]  我係有少少自肥呀
[00:02:03.520 --> 00:02:04.280]  姐係呢
[00:02:04.280 --> 00:02:06.680]  晏晝嘅時候呢可以眠一眠呀
[00:02:06.680 --> 00:02:08.240]  咁話說呢 有一次喇
[00:02:08.240 --> 00:02:10.040]  我哋喺學校嘅服侍呢
[00:02:10.040 --> 00:02:12.440]  就係當午飯嘅時間呢
[00:02:12.440 --> 00:02:13.440]  嗰啲孩子呢
[00:02:13.440 --> 00:02:15.400]  姐係啲學生就會落嚟食飯啦
[00:02:15.400 --> 00:02:17.080]  跟住呢我哋就會有茶經
[00:02:17.080 --> 00:02:18.040]  咁呀佢哋完咗呢
[00:02:18.040 --> 00:02:20.240]  就係我哋嘅食飯時間喇
[00:02:20.240 --> 00:02:21.880]  咁呀其實校牧室呢基本上呢
[00:02:21.880 --> 00:02:25.200]  就只有得我啦同埋一位福音幹事呀
[00:02:25.200 --> 00:02:27.840]  咁話說有一次呢就好攰好攰呀
[00:02:27.840 --> 00:02:29.880]  哇嗰班孩子呢就太活躍喇
[00:02:29.880 --> 00:02:31.880]  搞到我哋呢非常之攰
[00:02:31.880 --> 00:02:34.680]  所以呢送走咗佢哋上去上堂之後呢
[00:02:34.680 --> 00:02:38.080]  就得返我同埋呢另一個福音幹事喺度
[00:02:38.080 --> 00:02:39.760]  喂 瞓一陣先喇 好唔好呀
[00:02:39.760 --> 00:02:41.400]  好 梗係好啦
[00:02:41.400 --> 00:02:43.880]  於是呢福音幹事呢就趴咗喺張枱嗰度
[00:02:43.880 --> 00:02:46.680]  而我作為宣教師梗係可以瞓梳化啦
[00:02:46.680 --> 00:02:47.320]  係咪
[00:02:47.320 --> 00:02:48.600]  咁我哋就熄晒燈啦
[00:02:48.600 --> 00:02:49.880]  鎖晒到門啦
[00:02:49.880 --> 00:02:51.040]  咁就呢拉埋窗簾
[00:02:51.040 --> 00:02:54.120]  無人知 咁我哋兩個喺度瞓覺
[00:02:54.120 --> 00:02:55.560]  點知瞓瞓下
[00:02:55.560 --> 00:02:57.840]  突然間聽到有人開門喎
[00:02:57.840 --> 00:02:58.760]  原諒呢
