
[00:00:00.000 --> 00:00:03.080]  我收到這個題目
[00:00:03.080 --> 00:00:05.680]  遇上傷痛的不要苦
[00:00:05.680 --> 00:00:08.940]  不知道什麼令你很傷痛呢
[00:00:08.940 --> 00:00:10.560]  好 看看
[00:00:10.560 --> 00:00:14.500]  會不會是他當選令到你很傷痛呢
[00:00:14.500 --> 00:00:16.920]  是不是
[00:00:16.920 --> 00:00:18.380]  不知道
[00:00:18.380 --> 00:00:21.740]  是不是因為他當選又令到股市跌了呢
[00:00:21.740 --> 00:00:23.580]  跌了百百點 是不是
[00:00:23.580 --> 00:00:25.140]  是不是很傷痛
[00:00:25.140 --> 00:00:29.160]  是的 錢都沒有了
[00:00:29.160 --> 00:00:31.140]  那些資金飛去哪了
[00:00:31.140 --> 00:00:33.200]  飛去日圓了 是不是
[00:00:33.200 --> 00:00:34.160]  OK
[00:00:34.160 --> 00:00:35.980]  很傷痛 是不是
[00:00:35.980 --> 00:00:39.340]  你看看這個圖 是不是都是你的寫照
[00:00:39.340 --> 00:00:42.860]  是不是 出了些辣椒 是不是
[00:00:42.860 --> 00:00:46.020]  印花稅多了多少 15% 是不是
[00:00:46.020 --> 00:00:49.860]  就是說你買一層一千萬的房子 要付一百五十萬
[00:00:49.860 --> 00:00:52.260]  是不是想起都很傷痛 是不是
[00:00:52.260 --> 00:00:53.100]  好
[00:00:53.100 --> 00:00:56.600]  好了 除了這些東西之外
[00:00:56.600 --> 00:00:58.600]  尤其是女士 不知道大家會不會
[00:00:58.600 --> 00:01:01.860]  有時望一望鏡子都會覺得有點傷痛
[00:01:01.860 --> 00:01:05.680]  左手邊當然是現在那個大家 是不是
[00:01:05.680 --> 00:01:09.720]  那個就是捱完夜 或者若干年後的樣子
[00:01:09.720 --> 00:01:11.820]  這些失去的東西
[00:01:11.820 --> 00:01:14.060]  不知道會不會都令到你很傷痛
[00:01:14.060 --> 00:01:16.740]  甚至可能
[00:01:16.740 --> 00:01:19.240]  失去了一份工作
[00:01:19.240 --> 00:01:22.820]  又或者 這幅圖呢
[00:01:22.820 --> 00:01:24.820]  好得意 是不是
[00:01:25.780 --> 00:01:27.780]  你猜到是甚麼嗎
[00:01:27.780 --> 00:01:30.600]  第三者 是嗎 是啊
[00:01:30.600 --> 00:01:33.860]  無論拍拖 或者有時在婚姻裏面
[00:01:33.860 --> 00:01:37.020]  有時在我們不知不覺下
[00:01:37.020 --> 00:01:40.500]  原來對方 或者自己可能有第三者
[00:01:40.500 --> 00:01:43.280]  這些都是令到很傷痛的
[00:01:43.280 --> 00:01:44.540]  又或者
[00:01:44.540 --> 00:01:49.780]  摯愛的家人 或者朋友患病 甚至乎有時
[00:01:49.780 --> 00:01:54.500]  自己有些病患 都會令到很傷痛
[00:01:54.500 --> 00:01:56.500]  甚至乎
[00:01:56.500 --> 00:02:00.280]  病得嚴重 可能離世 又是另一種傷痛
[00:02:00.280 --> 00:02:04.660]  這個呢 大家猜到是甚麼令到你很傷痛嗎
[00:02:04.660 --> 00:02:07.840]  你看到一班人
[00:02:07.840 --> 00:02:11.140]  七嘴八舌 是不是想起你的辦公室
[00:02:11.140 --> 00:02:13.920]  是不是想起
[00:02:13.920 --> 00:02:17.760]  那些閒言閒語 令到你很煩惱 即是是非
[00:02:17.760 --> 00:02:21.840]  其實這些都會令到我們在工作環境裏面都很傷痛
[00:02:21.840 --> 00:02:24.080]  可能你明明很努力去工作
[00:02:24.080 --> 00:02:26.520]  但是有些同事又抹黑你
[00:02:26.520 --> 00:02:31.220]  或者搞小圈子 令到你在工作環境裏面都很困難
